N	2gram	Berdyaev_M	formyVre
1	и в	61	148
2	в этом	34	73
3	то есть	3	70
4	в нем	26	51
5	прежде всего	18	46
6	и не	26	37
7	в его	10	36
8	и его	13	36
9	но и	34	33
10	то же	4	32
11	не только	42	32
12	но в	12	31
13	жизни и	6	31
14	так и	5	29
15	может быть	42	27
16	не в	16	26
17	как и	14	25
18	как бы	10	25
19	человеческой жизни	4	24
20	точки зрения	6	24
21	в то	2	23
22	человека в	26	23
23	только в	7	23
24	то что	10	22
25	в том	9	22
26	жизни в	3	21
27	все эти	3	21
28	во всех	3	21
29	в своем	17	19
30	и для	7	19
31	и на	9	19
32	у него	38	18
33	и все	13	18
34	человека и	19	17
35	с этим	4	17
36	те же	5	17
37	так как	10	17
38	все же	2	16
39	и во	5	16
40	в основе	4	16
41	не может	39	16
42	и их	3	16
43	никогда не	30	15
44	в разных	3	15
45	в них	5	15
46	лишь в	8	15
47	с его	6	15
48	вместе с	7	15
49	так же	5	14
50	все это	6	14
51	и как	3	14
52	в конце	11	14
53	и с	6	14
54	а не	36	14
55	роль в	2	13
56	в их	4	13
57	а в	4	13
58	того чтобы	4	13
59	для того	4	13
60	как в	9	13
61	в котором	9	13
62	в самом	15	13
63	с ним	5	13
64	ничего не	4	12
65	в истории	2	12
66	не было	25	12
67	конечно не	3	12
68	но не	8	12
69	потому что	25	12
70	он не	34	12
71	что в	12	12
72	его в	6	11
73	и у	3	11
74	в образе	4	11
75	в ней	23	11
76	хотя и	2	11
77	ни в	3	11
78	уже в	6	11
79	мира и	6	11
80	в ее	3	10
81	сих пор	5	10
82	также и	6	10
83	входит в	3	10
84	уже не	8	10
85	до сих	5	10
86	могут быть	2	9
87	к себе	3	9
88	и других	2	9
89	всего в	2	9
90	жизнь и	5	9
91	том что	7	9
92	должно быть	5	9
93	мира в	2	9
94	та же	4	9
95	и это	16	9
96	на протяжении	2	9
97	для него	28	9
98	есть в	3	9
99	в самой	8	9
100	оно не	3	9
101	отношения к	6	9
102	до конца	16	8
103	это не	10	8
104	и потому	17	8
105	к тому	6	8
106	отношение к	9	8
107	все его	3	8
108	один из	9	8
109	что и	6	8
110	и то	2	8
111	время как	2	8
112	в этот	2	8
113	и по	4	8
114	если бы	5	8
115	мы еще	4	8
116	образ человека	8	8
117	в этих	6	8
118	отношению к	4	8
119	в жизни	7	8
120	в мире	12	8
121	и к	9	8
122	в виду	2	8
123	в себе	12	7
124	не как	4	7
125	у них	4	7
126	не знает	12	7
127	того что	13	7
128	в той	3	7
129	место в	4	7
130	было бы	11	7
131	себя и	6	7
132	мир в	3	7
133	к этому	3	7
134	и он	21	7
135	этот процесс	5	7
136	в которой	8	7
137	этого мира	3	7
138	еще более	3	7
139	нет ничего	9	7
140	то время	2	7
141	в романах	2	7
142	но он	17	7
143	в отношении	6	6
144	не могут	6	6
145	еще вернемся	2	6
146	и ее	2	6
