N	2gram	Voloshinov	Stilisti
1	и в	32	42
2	как бы	31	30
3	не только	18	28
4	и т.п	17	25
5	прежде всего	19	22
6	и т.д	6	21
7	хотя бы	8	18
8	внутренней речи	13	18
9	то же	19	16
10	но и	17	16
11	и не	42	14
12	социального общения	15	14
13	не может	40	13
14	может быть	50	13
15	как и	19	12
16	точки зрения	48	11
17	мы уже	7	11
18	в себе	5	10
19	и как	8	10
20	ситуации и	3	10
21	отнюдь не	14	10
22	мы должны	4	10
23	в этом	27	10
24	как мы	26	10
25	в то	7	9
26	для того	8	9
27	все же	13	9
28	то что	12	9
29	язык и	2	9
30	при этом	13	9
31	мы не	6	9
32	ничего не	9	8
33	так как	5	8
34	и это	6	8
35	речевого общения	11	8
36	слово как	6	8
37	в ней	5	8
38	что же	5	8
39	таким образом	29	8
40	с его	6	8
41	никогда не	7	7
42	другими словами	4	7
43	и от	6	7
44	в которой	4	7
45	речевое общение	6	7
46	мы можем	6	7
47	зависимости от	4	7
48	и той	2	7
49	же время	7	7
50	так и	21	7
51	потому что	2	7
52	слов и	3	7
53	только в	14	7
54	а не	15	7
55	и на	8	7
56	того чтобы	9	7
57	речевого взаимодействия	9	7
58	в зависимости	2	7
59	было бы	8	7
60	ситуация и	4	7
61	и его	33	7
62	той же	5	7
63	и тем	4	7
64	одно и	3	6
65	точкой зрения	2	6
66	или иной	8	6
67	и так	2	6
68	бы в	4	6
69	во всех	13	6
70	не в	13	6
71	но ведь	4	6
72	в области	3	6
73	говорящего и	4	6
74	язык в	5	6
75	точку зрения	4	6
76	в конце	5	6
77	или как	3	6
78	речевое взаимодействие	2	6
79	речи и	6	6
80	в нем	17	6
81	в свою	6	6
82	если б	2	6
83	в процессе	31	6
84	в его	10	6
85	в форме	3	6
86	слова в	8	6
87	в этой	3	6
88	с помощью	11	6
89	и то	4	5
90	высказывания но	2	5
91	того или	2	5
92	в сознании	2	5
93	независимо от	3	5
94	и следовательно	8	5
95	в нашем	4	5
96	то есть	2	5
97	внутренняя речь	9	5
98	что язык	2	5
99	мы увидим	3	5
100	слова и	8	5
101	не является	11	5
102	и их	2	5
103	самом деле	18	5
104	как это	2	5
105	же мы	2	5
106	мы видели	5	5
107	но все	4	5
108	и является	4	5
109	тому что	6	5
110	а в	5	5
111	но в	13	5
112	или иного	2	5
113	те же	5	5
114	в самом	14	5
115	и с	4	5
116	обратное влияние	4	5
117	уже в	3	5
118	в той	6	5
119	с точки	31	5
120	же самое	9	5
121	в живом	2	5
122	жизненная идеология	4	5
123	вместе с	2	5
124	что это	3	4
125	в одном	2	4
126	так же	10	4
127	так сказать	19	4
128	общения и	5	4
129	в данной	5	4
130	его в	7	4
131	если бы	12	4
132	лишь в	17	4
133	не что	2	4
134	так называемой	3	4
135	были бы	2	4
136	свою очередь	5	4
137	слова как	9	4
138	у нас	4	4
139	влияние на	3	4
140	к своему	2	4
141	того что	5	4
142	зрения в	2	4
143	которой мы	2	4
144	самого начала	9	4
145	можно было	2	4
146	общения в	5	4
147	одной и	2	4
148	и все	8	4
149	к данной	2	4
150	в каждом	8	4
151	с самого	9	4
152	к тому	8	4
153	о том	4	4
154	и пр	31	4
155	что такое	3	4
156	и слушающего	3	4
157	точка зрения	8	4
158	если мы	17	4
159	идеологический знак	17	4
160	уже не	2	4
161	и к	3	4
162	речь и	2	4
163	в целом	2	4
164	не существует	6	4
165	языка и	28	4
166	с определенной	2	4
167	жизненной идеологии	14	4
168	мы видим	2	4
169	во внутренней	3	4
170	той или	5	4
171	не просто	2	4
172	связаны с	3	4
173	все это	4	4
174	в качестве	4	4
175	себя в	2	4
176	можно сказать	4	4
177	не к	3	4
178	в слове	13	4
179	социальной группы	6	4
180	тем же	4	4
181	сказать что	7	3
182	на самом	10	3
183	связь и	2	3
184	мы ни	4	3
185	слово и	4	3
186	язык не	4	3
187	это не	5	3
188	слова но	3	3
189	но при	3	3
190	том что	12	3
191	нуждается в	4	3
192	внутренней жизни	4	3
193	в начале	7	3
194	и эта	5	3
195	но для	4	3
196	словом и	2	3
197	и даже	4	3
198	в социальной	3	3
199	этого слова	7	3
200	от того	4	3
201	то мы	4	3
202	и здесь	9	3
203	целый ряд	3	3
204	социальной жизни	3	3
205	в устах	4	3
206	конце концов	3	3
207	в виду	2	3
208	от переживания	2	3
209	в том	13	3
210	в частности	2	3
211	идеологические системы	2	3
212	в потоке	2	3
213	высказывания как	7	3
214	у них	2	3
215	еще не	7	3
216	только на	7	3
217	ведь в	2	3
218	совершенно не	6	3
219	его и	3	3
220	может стать	7	3
221	как в	5	3
222	и вот	2	3
223	свое выражение	2	3
224	не знает	4	3
225	в разных	2	3
226	для него	18	3
227	не с	2	3
228	не становится	3	3
229	не так	2	3
230	и для	15	3
231	нет и	4	3
232	всякое высказывание	3	3
233	идеологическом знаке	2	3
234	в котором	6	3
235	высказывания в	8	3
236	должно было	2	3
237	ответ на	3	3
238	всякое слово	3	3
239	что оно	3	3
240	выражение в	8	3
241	допустим что	4	3
242	между ними	6	3
243	из которых	2	3
244	не будет	7	3
245	главным образом	2	3
246	но что	2	3
247	из них	3	3
248	если он	2	3
249	идеологических знаков	2	3
250	ведь если	5	3
251	становится знаком	2	3
252	общества и	2	3
253	жизни и	4	3
254	что и	5	3
255	необходимо чтобы	5	3
256	в ее	9	3
257	жизненной идеологией	4	3
258	все эти	8	3
259	высказывания и	11	3
260	высказывание как	11	3
261	конечно не	9	3
262	связи с	22	3
263	что было	2	3
264	круг предметов	2	3
265	но вот	2	3
266	отношения к	2	3
267	этом случае	3	3
268	внешнее выражение	4	3
269	слова о	4	3
270	между тем	8	3
271	в основе	10	3
272	здесь мы	7	3
273	материальной действительности	3	3
274	еще и	2	2
275	до конца	6	2
276	в каком	6	2
277	идеологического знака	14	2
278	в отношении	7	2
279	и вообще	3	2
280	вопрос о	6	2
281	и переживания	2	2
282	и потому	7	2
