N	2gram	Potebnia_M	EvropaiE
1	и в	58	37
2	точки зрения	8	23
3	что в	34	21
4	не только	32	18
5	с точки	4	17
6	в то	6	16
7	хотя бы	4	15
8	то же	13	15
9	в своем	3	14
10	но в	12	14
11	но и	26	14
12	и не	34	14
13	же время	4	14
14	в этом	18	12
15	в том	38	11
16	в их	3	11
17	так и	17	10
18	с и	3	10
19	все более	3	9
20	так же	7	9
21	в смысле	4	9
22	не может	30	9
23	в себе	22	9
24	прежде всего	8	9
25	только в	36	9
26	одной стороны	6	8
27	между тем	7	8
28	в ее	2	8
29	думать что	6	8
30	было бы	21	8
31	в своей	3	8
32	с одной	7	8
33	к тому	5	8
34	нам кажется	2	7
35	с другой	13	7
36	как и	16	7
37	так как	29	7
38	между прочим	5	7
39	того что	15	7
40	том что	21	6
41	вслед за	2	6
42	во всех	12	6
43	то есть	69	6
44	и даже	4	6
45	может быть	47	6
46	и на	8	6
47	стороны и	3	6
48	с этой	3	6
49	того чтобы	4	6
50	для того	8	6
51	на то	5	6
52	то что	24	6
53	как бы	12	6
54	вовсе не	13	6
55	но не	19	5
56	от этого	2	5
57	тем самым	6	5
58	и по	8	5
59	и потому	7	5
60	столь же	6	5
61	но если	4	5
62	этой точки	2	5
63	как мы	3	5
64	со стороны	11	5
65	не в	23	5
66	в течение	2	5
67	сказать что	5	4
68	в каком	7	4
69	вопрос о	5	4
70	и притом	6	4
71	не имеет	9	4
72	во многих	5	4
73	само по	6	4
74	то в	6	4
75	независимо от	15	4
76	именно в	2	4
77	в самом	5	4
78	но даже	2	4
79	мы не	17	4
80	в ней	9	4
81	для нас	29	4
82	по себе	24	4
83	несмотря на	5	4
84	в некотором	2	4
85	тем более	2	4
86	к ней	3	4
87	ни было	4	4
88	не на	3	4
89	то ни	3	4
90	бы то	2	4
91	чем в	2	4
92	никогда не	7	3
93	с тем	9	3
94	и от	5	3
95	и для	8	3
96	можно считать	2	3
97	и только	6	3
98	приближается к	2	3
99	различия в	3	3
100	о том	6	3
101	очевидно что	5	3
102	к ним	3	3
103	того же	13	3
104	существования в	2	3
105	в которых	2	3
106	не из	3	3
107	этом смысле	4	3
108	бы ни	8	3
109	в свою	8	3
110	мы можем	10	3
111	но на	3	3
112	уже и	2	3
113	от них	2	3
114	не будет	2	3
115	из них	2	3
116	в известном	2	3
117	во все	2	3
118	в них	7	3
119	и народов	2	3
120	тем в	2	3
121	всяком случае	7	3
122	по общему	2	3
123	место в	3	3
124	мы видели	5	3
125	что и	16	3
126	некотором смысле	2	3
127	там где	8	3
128	и тем	5	3
129	не дает	2	3
130	тем что	15	3
131	не более	4	3
132	потому что	89	3
133	можно думать	4	3
134	себе не	3	3
135	в таком	7	3
136	себе в	2	3
137	в применении	3	3
138	заключает в	6	3
139	как в	18	3
140	в стороне	5	3
141	как на	5	3
142	применении к	3	3
143	во всяком	9	3
144	дело в	3	3
145	есть в	4	2
146	и если	6	2
147	в мире	3	2
148	на этот	2	2
149	если в	3	2
150	в его	7	2
151	отношений между	5	2
152	не есть	13	2
153	начиная с	2	2
154	например с	2	2
155	что это	5	2
156	в эту	2	2
157	что к	2	2
158	при помощи	2	2
159	и то	4	2
160	что если	7	2
161	к нему	2	2
162	не могут	10	2
163	помнить что	6	2
164	она не	3	2
165	а в	11	2
166	с этим	11	2
167	из того	3	2
168	мы должны	4	2
169	или по	2	2
170	с другими	3	2
171	в котором	5	2
172	даже при	3	2
173	его на	3	2
174	заметить что	7	2
175	но как	4	2
176	как оно	2	2
177	и другая	2	2
178	далеко не	4	2
179	в своих	4	2
180	от друга	3	2
181	с в	5	2
182	и поэтому	2	2
183	и с	3	2
184	бы в	6	2
185	этот вопрос	2	2
186	в другой	4	2
187	что на	9	2
188	во втором	6	2
189	могут быть	17	2
190	в развитии	2	2
191	другой стороны	7	2
192	что все	4	2
193	не дают	2	2
194	между ними	2	2
195	тогда когда	15	2
196	по своей	2	2
197	на язык	7	2
198	в одном	13	2
199	и как	11	2
200	не можем	5	2
201	мог бы	5	2
202	что же	3	2
203	есть не	7	2
204	если бы	23	2
205	для них	2	2
206	в этих	10	2
207	жизни и	3	2
208	еще более	2	2
209	как не	4	2
210	и того	6	2
211	в других	6	2
212	а не	38	2
213	и других	6	2
214	за тем	2	2
215	с а	4	2
216	мы видим	5	2
217	и что	13	2
218	и во	6	2
219	то не	5	2
220	свою очередь	8	2
221	же в	7	2
222	одном из	3	2
223	и все	6	2
224	влияние на	4	2
225	или в	4	2
226	друг от	3	2
227	таким образом	21	2
228	в истории	8	2
229	он не	4	2
230	как будто	2	2
231	такой же	4	2
232	на основании	3	2
233	главным образом	4	2
234	относятся к	2	2
235	же мало	2	2
236	в этой	3	2
237	в некоторых	4	2
238	но с	3	2
239	хотя и	6	2
240	в какой	2	2
241	духовной жизни	2	2
242	должна быть	4	2
243	эти последние	3	2
244	вместе с	12	2
245	заключается в	3	2
246	и более	3	2
247	имеет место	4	2
