N	2gram	Trubetskoy	VrazhdaK
1	не только	10	9
2	и что	9	8
3	в этом	13	8
4	и в	24	8
5	что в	9	7
6	но и	11	7
7	и все	9	7
8	то что	18	7
9	но в	5	6
10	как и	10	6
11	в котором	2	6
12	в начале	3	6
13	в нем	3	6
14	и с	5	6
15	все же	15	6
16	и не	9	5
17	не было	2	5
18	то же	4	5
19	в то	6	5
20	же время	2	5
21	у него	5	5
22	между тем	12	5
23	для нас	3	4
24	целый ряд	4	4
25	несмотря на	6	4
26	в своих	2	4
27	это не	3	4
28	в виду	2	4
29	все это	13	4
30	при этом	9	4
31	о том	7	4
32	в ней	3	4
33	как бы	10	4
34	так же	8	4
35	что он	7	4
36	в истории	3	4
37	с ним	6	4
38	может быть	17	4
39	давно уже	2	3
40	и у	4	3
41	в том	31	3
42	одним из	4	3
43	его в	5	3
44	далеко не	5	3
45	что у	2	3
46	и уже	2	3
47	в своем	12	3
48	том что	20	3
49	в его	5	3
50	в связи	3	3
51	и его	2	3
52	он не	4	3
53	связи с	4	3
54	к этому	5	3
55	на то	9	3
56	я не	2	3
57	в конце	4	3
58	никогда не	4	2
59	в одну	4	2
60	же не	3	2
61	и то	4	2
62	в них	2	2
63	в мире	6	2
64	одна из	2	2
65	к ним	2	2
66	в эти	3	2
67	для него	2	2
68	при помощи	3	2
69	и это	3	2
70	в в	4	2
71	на первый	2	2
72	с точки	8	2
73	мы знаем	10	2
74	а в	3	2
75	в этой	7	2
76	тогда как	6	2
77	столь же	5	2
78	том же	4	2
79	но как	2	2
80	в себе	5	2
81	еще не	6	2
82	точки зрения	14	2
83	же как	3	2
84	тем более	3	2
85	таким образом	34	2
86	и ее	2	2
87	в свою	2	2
88	их в	2	2
89	о которой	2	2
90	в эту	2	2
91	не может	18	2
92	из них	5	2
93	не менее	7	2
94	в среде	2	2
95	в глазах	2	2
96	отнюдь не	2	2
97	а с	4	2
98	вместе с	7	2
99	он тоже	2	2
100	отношение к	4	2
