N	2gram	Vygotskiy_	Narrotol
1	не только	16	62
2	и не	20	50
3	при этом	10	47
4	но и	6	45
5	а не	11	38
6	в качестве	2	35
7	в частности	3	31
8	может быть	33	30
9	и в	65	30
10	в том	46	29
11	том что	28	28
12	в этом	37	28
13	а в	9	27
14	состоит в	4	25
15	представляет собой	3	25
16	только в	9	25
17	в данном	5	24
18	как и	12	24
19	не в	12	23
20	то что	61	23
21	то есть	30	22
22	не может	17	20
23	в рассказе	9	18
24	данном случае	5	17
25	в себе	9	17
26	так и	3	17
27	со стороны	4	16
28	в его	11	16
29	но в	5	15
30	можно сказать	2	15
31	иначе говоря	10	15
32	к тому	18	15
33	в жизни	6	14
34	и его	8	14
35	в своем	8	13
36	в своей	6	13
37	то же	17	13
38	у него	6	13
39	о том	17	13
40	уже не	2	13
41	перед нами	12	12
42	все же	10	12
43	прежде всего	2	12
44	как в	8	12
45	как бы	29	12
46	тем самым	4	11
47	к себе	2	11
48	и тем	4	11
49	об этом	4	11
50	в нем	8	11
51	в этой	20	11
52	если бы	22	11
53	в мире	3	11
54	никогда не	9	10
55	в то	5	10
56	ничего не	4	10
57	как это	13	10
58	один из	7	10
59	точки зрения	19	10
60	того что	9	10
61	не является	2	10
62	и все	14	10
63	но не	3	10
64	жизни и	6	10
65	тому же	2	10
66	между тем	10	10
67	с его	2	10
68	еще не	3	9
69	что он	23	9
70	что в	36	9
71	отнюдь не	2	9
72	рассказа в	4	9
73	для него	4	9
74	далеко не	3	9
75	столь же	5	9
76	потому что	26	9
77	с ним	6	9
78	как раз	14	9
79	самом деле	33	8
80	но при	2	8
81	того чтобы	21	8
82	одна из	6	8
83	мы имеем	2	8
84	и он	5	8
85	у нее	2	8
86	у нас	4	8
87	действующих лиц	6	8
88	и для	4	8
89	в самом	41	8
90	и к	5	8
91	внимание на	4	8
92	в той	8	8
93	в таком	6	8
94	он не	11	8
95	не мог	4	8
96	в свою	6	7
97	это не	7	7
98	вслед за	4	7
99	в конце	5	7
100	едва ли	4	7
101	в чем	3	7
102	в ней	23	7
103	одного из	2	7
104	в целом	8	7
105	в ее	9	7
106	имеет место	2	7
107	же в	2	7
108	в речи	3	7
109	в силу	2	7
110	с другой	8	7
111	в котором	7	7
112	и на	7	7
113	или в	6	7
114	одной стороны	6	6
115	о нем	2	6
116	они не	2	6
117	могло бы	4	6
118	не могла	2	6
119	между двумя	3	6
120	что и	7	6
