N	3gram	Voloshinov	StatiiOP
1	о том что	2	29
2	в этом отношении	2	24
3	для того чтобы	7	19
4	с точки зрения	5	14
5	не может быть	2	11
6	в то же	9	9
7	в самом деле	2	9
8	то же время	7	9
9	вместе с тем	2	9
10	на самом деле	3	8
11	не только в	3	8
12	к тому что	2	8
13	в конце концов	3	7
14	но все же	3	7
15	по отношению к	2	6
16	с самого начала	4	5
17	и в области	2	5
18	но и в	3	5
19	в связи с	2	4
20	того или иного	5	4
21	прежде всего в	4	3
22	в той же	3	3
23	можно сказать что	2	3
24	в этом случае	3	3
25	и тем же	2	3
26	то или иное	4	3
27	только потому что	2	3
28	в значительной степени	2	3
29	то же самое	4	2
30	как мы видели	3	2
31	но в то	2	2
32	той или иной	4	2
33	и в то	2	2
34	у нас не	2	2
35	чуть ли не	2	2
36	в зависимости от	7	2
37	в свою очередь	4	2
