N	2gram	Medvedev_U	Vvedenie
1	в том	2	38
2	в этом	7	35
3	и в	14	35
4	том что	2	30
5	может быть	6	30
6	не только	10	26
7	таким образом	2	21
8	не может	7	19
9	то что	7	19
10	только в	2	16
11	и не	8	13
12	в самом	2	13
13	в их	4	12
14	что такое	4	12
15	в его	2	12
16	этом смысле	2	11
17	то же	5	11
18	по себе	2	11
19	не в	2	10
20	прежде всего	8	10
21	но в	3	10
22	между тем	2	10
23	все же	3	9
24	смысле этого	2	9
25	но не	2	9
26	это не	3	8
27	с другой	4	8
28	в широком	2	7
29	и то	3	7
30	самом деле	2	7
31	сих пор	2	7
32	как и	3	7
33	но и	4	7
34	было бы	3	7
35	до сих	2	7
36	не могут	2	6
37	хотя бы	5	6
38	тем что	2	6
39	могут быть	2	6
40	в то	3	6
41	все это	5	6
42	же время	3	6
43	и т.д	3	5
44	а как	2	5
45	одним из	2	5
46	что он	2	5
47	не есть	2	5
48	другой стороны	3	5
49	что и	2	5
50	а не	10	5
51	о чем	2	4
52	в области	3	4
53	этом отношении	2	4
54	по крайней	2	4
55	и для	2	4
56	даже и	2	4
57	в себе	2	4
58	крайней мере	2	4
59	в своей	3	4
60	как раз	2	4
61	бы и	2	3
62	для этого	3	3
63	что она	2	3
64	не как	3	3
65	в конце	2	3
66	если бы	2	3
67	этого термина	2	3
68	в частности	3	3
69	истории литературы	3	3
70	как такового	3	3
71	материал для	2	3
72	или иных	2	3
73	именно как	2	3
74	в конечном	4	3
75	тех или	2	3
76	вряд ли	3	3
77	вот почему	7	3
78	этой области	3	3
79	не следует	3	3
80	же самое	2	3
81	в этой	4	3
82	литературы и	2	2
83	ничего не	2	2
84	у нас	3	2
85	конце концов	2	2
86	должна была	2	2
87	надо было	2	2
88	это уже	2	2
89	и с	2	2
90	но это	2	2
91	а между	2	2
92	не столько	2	2
93	что мы	2	2
94	мы не	2	2
95	должна быть	2	2
96	художественных произведений	2	2
97	по существу	2	2
