N	2gram	Potebnia_M	UchenyiS
1	и в	48	14
2	не только	32	10
3	а не	22	10
4	и не	28	8
5	прежде всего	6	8
6	то что	37	7
7	не может	18	7
8	в этом	19	7
9	в искусстве	6	6
10	может быть	46	6
11	перестает быть	5	5
12	и только	5	5
13	то же	35	5
14	хотя бы	3	5
15	все это	4	5
16	художественное произведение	6	5
17	но и	30	4
18	в этой	3	4
19	что такое	2	4
20	с другой	8	4
21	в их	2	4
22	конечно не	2	4
23	у нас	2	3
24	не следует	6	3
25	это не	2	3
26	формы в	3	3
27	вряд ли	4	3
28	очевидно что	9	3
29	и то	13	3
30	в своей	2	3
31	все же	3	3
32	не как	3	3
33	как и	22	3
34	в то	16	3
35	но в	8	3
36	же время	8	3
37	произведения искусства	2	3
38	ни было	2	3
39	было бы	16	3
40	в области	3	3
41	бы то	2	3
42	другой стороны	4	3
43	для него	14	3
44	в самом	11	2
45	в себе	26	2
46	что мы	16	2
47	нас в	3	2
48	же самое	3	2
49	что он	8	2
50	крайней мере	8	2
51	таким образом	24	2
52	в буквальном	2	2
53	формы и	2	2
54	но не	8	2
55	если бы	20	2
56	более чем	2	2
57	не все	5	2
58	между тем	19	2
59	самом деле	5	2
60	только в	29	2
61	одним из	3	2
62	этом смысле	2	2
63	не есть	24	2
64	что она	4	2
65	и с	4	2
66	что и	16	2
67	по крайней	8	2
68	могут быть	6	2
69	а между	6	2
70	но даже	3	2
71	не могут	7	2
72	смысле этого	9	2
73	это было	3	2
74	превращается в	3	2
75	сих пор	4	2
76	по себе	26	2
77	тем что	13	2
78	том что	28	2
79	а как	2	2
80	в его	6	2
81	в том	47	2
82	что все	5	2
83	этом отношении	2	2
84	если не	6	2
85	художественного произведения	6	2
86	должна быть	2	2
87	представляется нам	2	2
88	но это	9	2
89	не в	24	2
90	бы и	4	2
91	в системе	2	2
92	мы не	17	2
93	до сих	4	2
94	могли бы	3	2
95	художественном произведении	3	2
96	не столько	2	2
