N	2gram	Tiupa_Vved	Stilisti
1	и в	23	42
2	как бы	8	30
3	не только	32	28
4	и т.п	14	25
5	прежде всего	11	22
6	и т.д	6	21
7	хотя бы	2	18
8	то же	8	16
9	но и	31	16
10	и не	24	14
11	не может	14	13
12	может быть	25	13
13	как и	21	12
14	что мы	2	11
15	в себе	15	10
16	и как	2	10
17	ситуации и	4	10
18	отнюдь не	14	10
19	в этом	27	10
20	как мы	5	10
21	в то	5	9
22	все же	10	9
23	то что	9	9
24	эти слова	2	9
25	при этом	43	9
26	мы не	6	9
27	тем самым	6	8
28	ничего не	3	8
29	и это	2	8
30	данной ситуации	2	8
31	в ней	5	8
32	что же	6	8
33	таким образом	6	8
34	никогда не	6	7
35	и от	3	7
36	мы можем	2	7
37	же время	4	7
38	так и	14	7
39	потому что	7	7
40	только в	9	7
41	а не	31	7
42	и на	5	7
43	того чтобы	2	7
44	было бы	4	7
45	и его	9	7
46	той же	3	7
47	и тем	3	7
48	или иной	5	6
49	бы в	4	6
50	во всех	2	6
51	не в	12	6
52	в области	5	6
53	точку зрения	2	6
54	в конце	3	6
55	в нем	9	6
56	в свою	5	6
57	на его	2	6
58	в его	9	6
59	слова в	3	6
60	в этой	2	6
61	в сознании	5	5
62	в нашем	9	5
63	то есть	13	5
64	слова и	3	5
65	не является	7	5
66	и наконец	2	5
67	своей жизни	3	5
68	самом деле	6	5
69	как это	2	5
70	а с	4	5
71	мы видели	3	5
72	тому что	2	5
73	точек зрения	2	5
74	а в	15	5
75	но в	14	5
76	те же	2	5
77	в самом	6	5
78	и с	2	5
79	уже в	2	5
80	в той	5	5
81	же самое	2	5
82	у которого	2	5
83	вместе с	2	5
84	да и	3	4
85	что это	2	4
86	слов в	2	4
87	в одном	5	4
88	так же	2	4
89	так сказать	2	4
90	в данной	2	4
91	на него	3	4
92	если бы	10	4
93	лишь в	4	4
94	так называемой	2	4
95	свою очередь	5	4
96	у нас	4	4
97	к своему	2	4
98	того что	7	4
99	можно было	2	4
100	один из	3	4
101	с появлением	2	4
102	и все	8	4
103	к тому	9	4
104	о том	7	4
105	что такое	23	4
106	точка зрения	3	4
107	уже не	7	4
108	и к	2	4
109	в целом	4	4
110	не существует	3	4
111	той или	5	4
112	было в	2	4
113	не просто	2	4
114	все это	3	4
115	в качестве	18	4
116	себя в	4	4
117	заключает в	4	4
118	можно сказать	6	4
119	не к	4	4
120	в слове	4	4
121	на самом	5	3
122	это не	7	3
123	слова но	2	3
124	которое может	2	3
125	но при	7	3
126	том что	16	3
127	бы мы	2	3
128	а к	3	3
129	в начале	3	3
130	перед нами	13	3
131	об этом	5	3
132	и даже	3	3
133	и здесь	2	3
134	целый ряд	2	3
135	роль в	2	3
136	в виду	3	3
137	в том	21	3
138	в частности	19	3
139	высказывания как	3	3
140	у них	3	3
141	еще не	8	3
142	только на	2	3
143	вследствие этого	5	3
144	совершенно не	2	3
145	как в	8	3
146	и вот	3	3
147	т.п и	2	3
148	не знает	2	3
149	в разных	2	3
150	мертвых душ	4	3
151	для него	5	3
152	не с	4	3
153	по своему	3	3
154	то он	2	3
155	и для	8	3
156	сознания не	2	3
157	что у	4	3
158	в котором	11	3
159	их в	3	3
160	заметить что	2	3
161	и само	2	3
162	в голову	2	3
163	ответ на	2	3
164	для нас	4	3
165	представить себе	2	3
166	хотя и	10	3
167	несмотря на	2	3
168	жизни и	8	3
169	что и	6	3
170	связи с	2	3
171	между тем	3	3
172	в основе	6	3
173	не мог	2	3
174	здесь мы	2	3
175	еще и	2	2
176	до конца	5	2
177	первый взгляд	3	2
178	для этого	2	2
179	очевидно что	2	2
180	и потому	2	2
181	первобытного человека	2	2
182	значительной степени	2	2
183	бытия в	3	2
184	мы имеем	8	2
185	нет ничего	2	2
186	из этих	5	2
187	бы и	4	2
188	времени и	7	2
189	к этому	3	2
190	по отношению	11	2
191	от их	2	2
192	с самим	2	2
193	следует искать	2	2
194	должны были	3	2
195	отношение к	5	2
196	ли не	2	2
197	должен быть	3	2
198	к которому	2	2
199	а на	4	2
200	на первый	3	2
201	тем что	2	2
202	человека в	2	2
203	бы не	3	2
204	этом отношении	7	2
205	в их	2	2
206	другого человека	2	2
207	не всегда	2	2
208	в значительной	2	2
209	художественного высказывания	2	2
210	слов или	2	2
211	в этих	5	2
212	что он	2	2
213	по своей	4	2
214	и сам	2	2
215	всех его	2	2
216	связано с	3	2
217	и вследствие	4	2
218	ни к	3	2
219	теперь же	2	2
220	отношению к	11	2
221	в пределах	3	2
222	в какой	4	2
223	не должен	2	2
224	в жизни	7	2
225	в мире	9	2
226	на этот	2	2
227	но не	9	2
228	в него	2	2
229	также и	6	2
230	к нему	2	2
231	тому же	6	2
232	которое не	2	2
233	слово это	2	2
234	зависит от	3	2
235	в своих	5	2
236	еще более	2	2
237	не есть	2	2
238	говорить и	2	2
239	из трех	2	2
240	о них	4	2
241	в которых	2	2
242	однако в	9	2
243	представляет собой	18	2
244	между собой	2	2
245	и он	4	2
246	место в	2	2
247	о чем	4	2
248	для них	3	2
249	не было	5	2
250	между двумя	5	2
251	здесь не	2	2
252	но это	4	2
253	в своей	10	2
254	или даже	2	2
255	или в	3	2
256	он не	6	2
257	с ним	3	2
258	ясно что	2	2
