N	2gram	Propp_Isto	RusskieA
1	и в	40	79
2	в том	12	64
3	том что	11	59
4	что в	19	57
5	т е	30	54
6	не только	28	41
7	во время	5	38
8	так как	20	34
9	в этом	13	33
10	и другие	7	33
11	как бы	6	31
12	но и	21	31
13	в других	3	30
14	как и	5	28
15	может быть	37	28
16	и на	6	28
17	одна из	4	24
18	и т	39	23
19	о том	12	23
20	при этом	6	22
21	в поле	2	22
22	т д	35	21
23	это не	8	20
24	как мы	3	20
25	а в	15	20
26	там же	3	20
27	из них	5	19
28	представляют собой	9	18
29	все это	6	18
30	с тем	13	17
31	потому что	12	17
32	д к	3	17
33	показывает что	7	17
34	то что	17	17
35	об этом	11	17
36	таким образом	13	17
37	вместе с	13	17
38	мы не	12	16
39	во многих	2	16
40	один из	10	15
41	или на	7	15
42	будто бы	4	15
43	мы видели	4	14
44	для нас	17	14
45	не менее	7	14
46	в них	2	14
47	как это	6	14
48	тем не	7	14
49	и не	19	14
50	и с	5	14
51	и что	14	14
52	так что	9	13
53	к зеленин	2	13
54	и по	4	13
55	к этому	2	13
56	не может	19	13
57	еще не	14	13
58	как в	7	13
59	уже не	3	13
60	в которых	2	13
61	в некоторых	4	13
62	этот обряд	3	12
63	в виде	2	12
64	между собой	4	12
65	этом случае	3	12
66	мы имеем	25	12
67	тем что	7	12
68	а затем	4	11
69	но это	8	11
70	мы увидим	17	11
71	в дом	2	11
72	в лесу	21	11
73	его в	15	10
74	так и	13	10
75	по существу	7	10
76	так например	7	10
77	между тем	2	10
78	все же	17	10
79	что и	9	10
80	а также	2	10
81	том чтобы	2	10
82	представляет собой	7	10
83	или в	6	10
84	но в	13	9
85	к жизни	2	9
86	что они	13	9
87	того как	6	9
88	с ней	2	9
89	то же	21	9
90	но не	7	9
91	видно что	9	9
92	в русском	2	9
93	так же	18	8
94	после этого	5	8
95	того что	6	8
96	одно из	2	8
97	как уже	2	8
98	на себя	2	8
99	того чтобы	3	8
100	их в	7	8
101	связи с	10	8
102	представление о	3	8
103	что это	12	8
104	не все	5	8
105	во всех	3	8
106	подобно тому	3	8
107	ее в	7	8
108	в этих	17	8
109	тому как	3	8
110	в лес	34	7
111	в своем	5	7
112	мы должны	17	7
113	ничего не	6	7
114	в свете	4	7
115	не в	11	7
116	главным образом	2	7
117	а с	4	7
118	к нему	3	7
119	предположить что	2	7
120	по этому	2	7
121	на них	2	7
122	было бы	11	7
123	для этого	3	7
124	из этих	2	7
125	в это	2	7
126	и как	3	7
127	мы рассмотрим	3	7
128	это время	3	7
129	еще в	2	7
130	не можем	4	7
131	не совсем	5	7
132	только в	16	7
133	связанные с	3	7
134	как будто	7	7
135	а не	18	7
136	с собой	2	6
137	в этой	9	6
138	не будем	7	6
139	должно было	4	6
140	должны были	9	6
141	и их	4	6
142	друг друга	2	6
143	на этом	3	6
144	в их	6	6
145	не всегда	9	6
146	только на	2	6
147	она не	6	6
148	к тому	6	6
149	что этот	5	6
150	в нем	8	6
151	так в	7	6
152	этому поводу	2	6
153	же как	7	6
154	с ними	2	6
155	все эти	6	6
156	этого обычая	3	6
157	в качестве	8	6
158	а иногда	2	6
159	чем в	2	6
160	этих обрядов	2	6
161	но она	2	6
162	в одном	8	6
163	выше мы	6	6
164	что она	10	6
165	эти представления	2	6
166	что здесь	9	6
167	должен был	6	6
168	также в	2	6
169	но они	6	6
170	после того	2	6
171	и пр	11	6
172	и более	3	6
173	на нее	3	6
174	в обряде	9	6
175	видели что	5	6
176	приводит к	3	6
177	этого обряда	7	6
178	на самом	3	5
179	вопрос о	8	5
180	и потому	3	5
181	в тех	4	5
182	вплоть до	2	5
183	к себе	2	5
184	но если	4	5
185	нас к	2	5
186	тогда когда	2	5
187	что он	32	5
188	вывод что	2	5
189	это представление	3	5
190	прежде всего	15	5
191	и др	11	5
192	в разных	2	5
193	к ним	4	5
194	с этим	5	5
195	заметить что	2	5
196	в то	4	5
197	в целом	3	5
198	в связи	7	5
199	там где	5	5
200	не было	3	5
201	например в	7	5
202	тот же	3	5
203	в его	10	5
204	что от	2	5
205	то и	2	5
206	можно было	8	5
207	как правило	4	5
208	в особенности	3	5
209	только для	3	5
210	в русских	4	5
211	стоит в	3	5
212	в целях	3	5
