N	2gram	Voloshinov	NovoeSre
1	а не	2	17
2	и в	13	16
3	не может	8	16
4	и не	8	11
5	что в	3	9
6	в том	2	8
7	может быть	8	7
8	как и	3	7
9	в этом	2	7
10	никогда не	3	6
11	лишь в	4	6
12	не в	3	6
13	не только	6	5
14	все это	4	5
15	в нем	2	5
16	в ней	2	5
17	и к	2	5
18	в них	2	4
19	и для	3	4
20	не имеет	2	4
21	прежде всего	9	4
22	не менее	2	4
23	то что	6	4
24	и все	3	4
25	смысле слова	2	3
26	но и	3	3
27	с другой	2	3
28	в ее	3	3
29	к тому	2	3
30	и пр	7	3
31	в своей	4	3
32	как в	2	3
33	за пределы	3	3
34	в себе	3	2
35	и должно	2	2
36	и т.п	7	2
37	думать что	2	2
38	роль в	2	2
39	хотя бы	5	2
40	а в	2	2
41	но в	4	2
42	том что	2	2
43	с этим	3	2
44	все эти	2	2
45	мы не	4	2
46	другой стороны	2	2
47	так же	2	2
48	так и	3	2
49	могут быть	2	2
50	но для	3	2
51	одной стороны	2	2
52	связана с	3	2
53	с одной	2	2
