N	2gram	Ircho_Kome	Analitik
1	не только	12	71
2	и в	40	66
3	в качестве	8	61
4	но и	14	57
5	в том	19	52
6	может быть	16	52
7	в частности	7	51
8	в этом	9	51
9	как и	12	50
10	и не	19	48
11	том что	19	40
12	при этом	5	40
13	так и	17	35
14	в мире	3	31
15	не может	3	29
16	как бы	3	29
17	отнюдь не	2	29
18	а в	9	28
19	в его	8	27
20	и его	17	27
21	не в	8	26
22	но не	3	26
23	в себе	3	24
24	к тому	15	22
25	и даже	5	22
26	в этой	9	22
27	что в	12	22
28	о том	12	20
29	по отношению	5	19
30	но в	6	19
31	в своей	3	19
32	то же	7	19
33	в самом	5	19
34	с его	4	19
35	в то	14	18
36	отношению к	5	18
37	с другой	7	17
38	со стороны	3	17
39	такого рода	6	17
40	в целом	6	17
41	только в	6	17
42	могут быть	3	16
43	то что	8	16
44	что и	10	16
45	в их	6	15
46	прежде всего	8	15
47	в сущности	3	15
48	в рамках	3	15
49	и на	9	15
50	между тем	9	15
51	в принципе	3	14
52	отличие от	4	14
53	не менее	6	14
54	того же	4	14
55	себя в	2	14
56	в отличие	3	14
57	столь же	9	14
58	же время	5	14
59	в себя	3	14
60	по себе	2	13
61	ничего не	4	13
62	точки зрения	7	13
63	в начале	7	13
64	как раз	4	13
65	а также	5	13
66	как правило	5	13
67	он не	5	13
68	тому же	14	13
69	и к	2	12
70	как это	7	12
71	в первой	2	12
72	еще не	7	12
73	как в	8	12
74	и сам	5	12
75	даже в	3	11
76	в свою	2	11
77	это не	2	11
78	во второй	4	11
79	нуждается в	2	11
80	по своей	2	11
81	и как	3	11
82	той же	3	11
83	в той	2	11
84	не следует	2	11
85	в конце	7	10
86	едва ли	16	10
87	все же	7	10
88	на себя	5	10
89	однако в	4	10
90	один из	9	10
91	было бы	8	10
92	и самого	3	10
93	и одновременно	3	10
94	с одной	5	10
95	перед лицом	5	10
96	именно в	5	10
97	со своей	3	10
98	в своем	6	9
99	одной стороны	5	9
100	по поводу	7	9
101	другой стороны	6	9
102	за пределы	2	9
103	во всех	4	9
104	в результате	5	9
105	что касается	5	9
106	говорить о	3	9
107	таким образом	13	9
108	вместе с	8	9
109	о чем	2	8
110	роль в	2	8
111	не всегда	2	8
112	что он	11	8
113	дело с	3	8
114	одной из	6	8
115	и все	4	8
116	одного из	7	8
117	этом отношении	3	8
118	хотя и	6	8
119	о его	5	8
120	если бы	4	8
