N	2gram	Bakhtin_fo	Sotsiolo
1	все это	10	7
2	в том	16	5
3	в этом	41	5
4	для нас	2	3
5	не только	16	3
6	и только	3	3
7	в его	19	3
8	не в	10	3
9	и в	84	3
10	отношению к	5	2
11	по отношению	3	2
12	еще не	8	2
13	по природе	2	2
14	только в	12	2
15	что в	9	2
16	тем более	4	2
17	в частности	11	2
18	том что	7	2
19	было бы	2	2
20	таким образом	14	2
21	в смысле	5	2
22	то же	18	2
23	то что	13	2
24	как бы	11	2
25	но и	14	2
26	в конце	11	2
27	далеко не	3	2
28	может быть	18	2
29	по существу	17	2
30	в результате	6	2
31	ведь это	2	2
