N	2gram	Tiupa_Narr	KFilosof
1	может быть	25	45
2	в его	9	42
3	в нем	4	32
4	не может	10	29
5	и не	20	28
6	и в	19	28
7	по отношению	7	26
8	отношению к	6	22
9	не есть	3	22
10	в себе	8	21
11	и его	5	18
12	только в	4	18
13	в своем	2	17
14	в ее	3	17
15	а не	12	17
16	в этом	17	15
17	не в	14	13
18	для него	2	13
19	точки зрения	10	13
20	но не	6	12
21	к нему	5	12
22	ни в	3	12
23	все эти	2	11
24	это не	2	10
25	и для	2	10
26	с точки	2	10
27	и есть	2	10
28	но и	23	9
29	как бы	4	9
30	и все	2	9
31	себя в	5	8
32	не было	2	8
33	со стороны	9	8
34	в мире	9	8
35	жизни и	3	8
36	было бы	4	8
37	в себя	6	8
38	совершенно не	2	7
39	то что	11	7
40	уже не	5	7
41	отнюдь не	5	7
42	и только	2	7
43	отношение к	2	6
44	мира в	5	6
45	в том	18	6
46	отвлечении от	2	6
47	но все	4	6
48	не имеет	2	6
49	он не	3	6
50	никогда не	3	5
51	его в	2	5
52	все же	7	5
53	не только	32	5
54	бытия в	3	5
55	мы имеем	2	5
56	но как	2	5
57	бы быть	3	5
58	его как	2	5
59	хотя бы	4	5
60	то же	4	5
61	жизни в	3	5
62	еще не	7	5
63	а в	11	5
64	но в	6	5
65	событие в	2	5
66	в отвлечении	2	5
67	как и	7	5
68	именно в	6	5
69	жизни как	3	5
70	себя и	2	5
71	в основе	5	5
72	что это	3	4
73	тем самым	6	4
74	том что	14	4
75	что в	3	4
76	не как	2	4
77	и т.д	7	4
78	ни было	3	4
79	времени и	7	4
80	о нем	4	4
81	прежде всего	4	4
82	мира и	2	4
83	ценностного центра	2	4
84	при этом	9	4
85	во всей	2	4
86	должна быть	2	4
87	между тем	3	4
88	или иного	2	3
89	ничего не	2	3
90	того или	2	3
91	в то	3	3
92	здесь не	4	3
93	это и	3	3
94	события в	2	3
95	тем что	3	3
96	и тем	4	3
97	та же	2	3
98	бы не	2	3
99	как событие	3	3
100	самом деле	2	3
101	и тот	2	3
102	с человеком	2	3
103	его жизни	2	3
104	нет и	2	3
105	не менее	3	3
106	независимо от	2	3
107	о том	6	3
108	в ней	3	3
109	в свою	3	3
110	могут быть	3	3
111	и на	3	3
112	что не	4	3
113	того что	2	3
114	той или	4	3
115	жизни но	2	3
116	не о	3	2
117	или иной	5	2
118	и потому	2	2
119	в данном	5	2
120	вокруг него	2	2
121	говорить о	2	2
122	и ее	2	2
123	то ни	3	2
124	включает в	2	2
125	с ее	3	2
126	к себе	5	2
127	тем не	3	2
128	к содержанию	3	2
129	как к	2	2
130	и как	5	2
131	в принципе	4	2
132	постольку поскольку	2	2
133	то или	3	2
134	всей его	2	2
135	имеют место	2	2
136	в области	2	2
137	а с	3	2
138	что он	6	2
139	из которых	4	2
140	всех его	2	2
141	так и	9	2
142	как в	7	2
143	всей своей	2	2
144	она не	2	2
145	дело с	2	2
146	ему в	2	2
147	оно не	2	2
148	а по	2	2
149	если не	4	2
150	один из	3	2
151	по себе	5	2
152	не будет	3	2
153	может не	3	2
154	и того	2	2
155	или иное	2	2
156	сводится к	3	2
157	и когда	2	2
158	в качестве	21	2
159	же время	4	2
160	этого слова	2	2
161	в этой	5	2
162	бы то	3	2
163	чтобы стать	2	2
164	основе своей	4	2
165	с его	6	2
