N	2gram	Propp_Isto	Literetu
1	а не	13	50
2	и не	16	47
3	не только	28	46
4	и в	43	44
5	может быть	22	43
6	при этом	4	41
7	но и	24	41
8	тогда как	6	40
9	в том	13	39
10	в этом	25	38
11	том что	12	32
12	в частности	6	30
13	то что	20	29
14	в качестве	4	27
15	состоит в	4	26
16	то же	11	26
17	как и	9	23
18	в то	2	23
19	не в	9	22
20	так и	6	22
21	того что	8	22
22	себя в	2	22
23	не может	8	22
24	в себе	2	20
25	прежде всего	3	19
26	как бы	5	18
27	точки зрения	3	17
28	в его	7	17
29	с другой	10	17
30	в этой	7	16
31	в жизни	3	16
32	со стороны	3	15
33	не менее	6	15
34	в целом	4	15
35	я не	3	15
36	в русской	5	15
37	только в	8	15
38	по отношению	2	14
39	что он	17	14
40	и даже	4	14
41	в своем	2	13
42	как это	5	13
43	с одной	2	13
44	но не	10	13
45	уже не	11	13
46	и его	10	13
47	к себе	3	12
48	в данном	7	12
49	в своей	4	12
50	а также	5	12
51	еще не	15	12
52	одним из	4	12
53	отношению к	2	12
54	о том	4	12
55	одной стороны	2	12
56	никогда не	9	11
57	данном случае	6	11
58	это не	10	11
59	в другом	11	11
60	как в	6	11
61	а в	13	11
62	вместе с	12	11
63	даже в	4	10
64	что в	29	10
65	из них	7	10
66	и на	7	10
67	потому что	8	10
68	не случайно	2	10
69	жизни и	2	10
70	одно из	2	9
71	к тому	9	9
72	один из	7	9
73	же в	6	9
74	связи с	9	9
75	в начале	2	9
76	с этой	3	9
77	на смену	7	9
78	что я	2	9
79	представляет собой	6	9
80	вплоть до	2	8
81	одна из	2	8
82	все же	13	8
83	по существу	3	8
84	но в	15	8
85	на себя	5	8
86	что не	3	8
87	особого рода	3	8
88	и как	6	8
89	а именно	8	8
90	тем что	8	8
91	той же	3	8
92	о себе	3	8
93	из того	2	7
94	с тобой	2	7
95	друг друга	6	7
96	и тем	2	7
97	так в	8	7
98	другой стороны	10	7
99	и для	3	7
100	как правило	3	7
101	человека в	2	7
102	у нас	7	7
103	ведет к	2	7
104	и с	10	7
105	в одном	9	7
106	он и	4	7
107	тому как	3	7
108	в нем	11	7
109	он не	11	7
110	тому же	4	7
111	его в	7	6
112	в виду	2	6
113	казалось бы	2	6
114	одного из	2	6
115	и он	2	6
116	и др	4	6
117	а затем	6	6
118	было бы	5	6
119	не было	2	6
120	например в	3	6
121	и то	4	6
122	право на	2	6
123	то и	7	6
124	с ее	2	6
125	с миром	3	6
126	далеко не	3	6
127	подобно тому	3	6
128	в ней	3	6
129	и только	6	6
130	у него	4	6
131	как будто	2	6
132	с собой	4	5
133	так как	13	5
134	одном из	3	5
135	так что	8	5
136	и за	3	5
137	он сам	2	5
138	не знает	2	5
139	к этой	2	5
140	между тем	2	5
141	что и	17	5
142	в связи	5	5
143	все еще	7	5
144	хотя бы	3	5
145	мы не	3	5
146	тем не	6	5
147	а я	3	5
148	в силу	2	5
149	как у	2	5
150	не с	2	5
151	в себя	3	5
152	и если	3	5
153	и к	4	5
154	к жизни	2	5
155	однако не	2	5
156	в свою	5	4
157	себе и	2	4
158	для нас	6	4
159	как к	2	4
160	все время	2	4
161	не всегда	7	4
162	от своего	3	4
163	к своему	3	4
164	только на	2	4
165	с тем	3	4
166	и все	4	4
167	на том	3	4
168	на его	5	4
