N	3gram	Potebnia_M	DiskursI
1	в том что	18	28
2	по отношению к	13	17
3	с одной стороны	6	14
4	не может быть	11	12
5	то же время	3	10
6	в то же	3	8
7	как и в	3	7
8	по крайней мере	6	6
9	так и в	5	6
10	с точки зрения	3	6
11	и как бы	4	5
12	одной стороны и	2	5
13	подобно тому как	7	5
14	не только в	3	5
15	с другой стороны	7	5
16	и может быть	4	5
17	дело в том	3	5
18	в свою очередь	8	5
19	тем не менее	10	4
20	одного и того	6	4
21	не в том	6	4
22	и того же	6	4
23	более или менее	6	3
24	во всяком случае	7	3
25	бы то ни	2	2
26	на этом основании	2	2
27	сами по себе	8	2
28	и той же	3	2
29	все то что	2	2
30	потому что в	5	2
31	но и в	4	2
32	заключает в себе	6	2
33	с самого начала	5	2
34	и в том	3	2
35	в том и	2	2
36	одной и той	3	2
37	только в том	7	2
38	из виду что	2	2
39	по себе не	3	2
40	обратить внимание на	2	2
41	в одном из	2	2
42	а в том	4	2
