N	3gram	Potebnia_M	Vvedenie
1	и т д	5	39
2	для того чтобы	5	22
3	в том что	22	15
4	о том что	5	13
5	в этом смысле	2	10
6	не может быть	7	10
7	тем не менее	7	9
8	с течением времени	2	7
9	до сих пор	4	7
10	в то же	8	6
11	в этом случае	2	6
12	то же время	8	6
13	во всяком случае	3	5
14	и т п	7	5
15	с другой стороны	4	5
16	в том чтобы	4	5
17	по крайней мере	8	4
18	не только в	4	4
19	и в том	3	4
20	в данном случае	3	4
21	само по себе	6	4
22	в этом отношении	2	4
23	с одной стороны	4	4
24	по отношению к	10	4
25	с точки зрения	2	4
26	вместе с тем	5	3
27	то же самое	3	3
28	можно сказать что	3	3
29	в том виде	2	3
30	и в самом	3	3
31	сама по себе	3	3
32	в собственном смысле	2	3
33	и то что	3	3
34	одно и то	7	2
35	того что уже	2	2
36	но вместе с	2	2
37	и то же	7	2
38	одной и той	4	2
39	и той же	4	2
40	сам по себе	9	2
41	подобно тому как	3	2
42	в первом случае	2	2
43	не в том	6	2
44	и того же	2	2
45	а между тем	6	2
46	потому что он	3	2
47	только в том	5	2
48	одного и того	2	2
49	смысле этого слова	9	2
50	после того как	2	2
51	в большей части	2	2
52	в свою очередь	6	2
53	не могут быть	3	2
