N	3gram	Bakhtin_Fr	VeschiIm
1	не может быть	2	24
2	в том что	2	9
3	по сравнению с	2	7
4	с точки зрения	4	6
5	в то же	13	5
6	подобно тому как	2	5
7	не только в	3	5
8	в свою очередь	2	5
9	о том что	3	4
10	дело в том	2	4
11	то же время	13	4
12	это и есть	2	4
13	можно сказать что	2	3
14	можно было бы	2	3
15	с одной стороны	4	3
16	только то что	2	3
17	с другой стороны	5	3
18	и в то	2	3
19	все то что	2	2
20	во всяком случае	2	2
21	но все же	2	2
22	для того чтобы	5	2
23	в этом отношении	4	2
24	руки и ноги	3	2
25	не было ни	3	2
26	в связи с	5	2
27	мы видим что	2	2
28	в конце концов	3	2
29	в данном случае	3	2
30	как раз в	3	2
31	но даже и	2	2
32	тех или иных	2	2
33	в той или	2	2
