N	3gram	Propp_Morf	Analitik
1	в том что	4	25
2	не может быть	9	19
3	по отношению к	7	18
4	о том что	3	15
5	в данном случае	2	14
6	подобно тому как	5	9
7	с одной стороны	2	9
8	с другой стороны	5	9
9	в этом отношении	2	8
10	как и в	3	8
11	с точки зрения	6	8
12	состоит в том	3	8
13	во всяком случае	2	7
14	что иное как	2	7
15	тем не менее	6	6
16	не что иное	2	6
17	в этом случае	10	5
18	для того чтобы	3	4
19	то ни было	2	3
20	бы то ни	3	3
21	в первом случае	3	3
22	не могут быть	4	3
23	дело не в	2	3
24	в связи с	9	3
25	в таких случаях	2	2
26	тех случаях когда	2	2
27	в тех случаях	2	2
28	более или менее	2	2
29	с этого момента	2	2
30	можно было бы	2	2
31	к тому что	4	2
32	в этих случаях	14	2
33	на первый взгляд	3	2
34	в отдельных случаях	3	2
35	в обоих случаях	2	2
36	на то что	3	2
