N	3gram	Tiupa_Anal	FransuaR
1	в то же	9	55
2	то же время	7	55
3	в том числе	3	27
4	в том что	13	27
5	в этом отношении	5	20
6	но в то	2	20
7	с точки зрения	6	20
8	для того чтобы	3	17
9	о том что	8	17
10	в связи с	2	16
11	большей или меньшей	4	16
12	но и в	3	15
13	то есть в	2	15
14	не может быть	17	13
15	с одной стороны	6	13
16	с другой стороны	2	12
17	в отличие от	8	11
18	той или иной	8	10
19	в той или	3	10
20	в данном случае	3	10
21	как и в	2	10
22	не только в	3	10
23	по отношению к	9	9
24	в свое время	3	9
25	более или менее	2	8
26	в отрыве от	2	7
27	прежде всего в	2	7
28	в самом деле	3	7
29	подобно тому как	5	7
30	к тому же	6	6
31	то же самое	3	5
32	в первом случае	2	5
33	в основе своей	2	5
34	и тот же	2	5
35	друг с другом	2	5
36	как раз и	2	4
37	и в самом	3	4
38	в самом начале	3	4
39	и не может	4	4
40	бы то ни	3	3
41	содержит в себе	3	3
42	в этом смысле	3	3
43	так и не	5	3
44	не только не	2	3
45	есть не что	4	3
46	что иное как	6	3
47	нет и не	2	3
48	тех или иных	3	3
49	одного и того	2	3
50	не что иное	5	3
51	и не в	4	3
52	и того же	2	3
53	между тем как	2	3
54	и в этом	4	3
55	именно в этом	2	2
56	с самим собой	2	2
57	при взгляде на	2	2
58	в полной мере	3	2
59	какой бы то	2	2
60	дело не с	2	2
61	не могут быть	2	2
62	в этом случае	4	2
63	в конечном счете	5	2
64	в том или	3	2
65	то ни было	3	2
66	в коем случае	2	2
67	из того что	3	2
68	том что он	2	2
69	ни в коем	2	2
70	во внешнем мире	2	2
71	том или ином	4	2
72	в известном смысле	2	2
73	но и не	5	2
74	в том чтобы	7	2
