N	2gram	Tiupa_Hudo	Marksizm
1	точки зрения	11	69
2	может быть	19	64
3	и в	23	63
4	и не	16	55
5	как бы	11	53
6	не может	9	47
7	с точки	3	46
8	и его	12	41
9	в этом	12	39
10	таким образом	3	38
11	в пределах	3	31
12	лишь в	7	30
13	не только	20	29
14	в нем	6	28
15	то же	12	28
16	но и	14	27
17	самом деле	2	25
18	речи и	4	25
19	связи с	3	25
20	прежде всего	5	24
21	как и	3	24
22	в самом	7	24
23	так и	12	23
24	и т.п	7	23
25	только в	7	23
26	в том	20	22
27	то что	5	22
28	а не	13	22
29	при этом	19	20
30	для него	5	20
31	если мы	2	20
32	том что	9	19
33	не в	9	19
34	в его	11	19
35	если бы	3	19
36	на почве	4	19
37	но в	10	18
38	в ее	6	18
39	и для	3	18
40	внутренней речи	14	18
41	языка в	4	18
42	в слове	4	18
43	вовсе не	2	18
44	в то	8	16
45	по отношению	10	16
46	и как	4	16
47	слова и	2	16
48	ни было	2	16
49	что он	5	15
50	в связи	3	15
51	во всех	3	15
52	отношению к	10	15
53	отнюдь не	2	15
54	высказывания и	2	15
55	же время	7	15
56	в контексте	3	14
57	в данном	4	14
58	так же	2	13
59	того чтобы	5	13
60	в своей	7	13
61	не является	5	13
62	слова в	3	13
63	то ни	2	13
64	что в	7	13
65	а в	13	12
66	того же	3	12
67	в основе	7	12
68	бы то	2	12
69	для того	5	12
70	он не	4	12
71	между тем	4	12
72	слова как	5	11
73	как в	2	11
74	к нему	3	11
75	и на	3	11
76	высказывания в	5	11
77	не столько	7	11
78	все эти	2	11
79	еще не	4	11
80	и того	3	11
81	и что	4	11
82	как система	2	11
83	никогда не	2	10
84	его в	4	10
85	и потому	2	10
86	отличие от	7	10
87	без исключения	4	10
88	с его	6	10
89	сказать что	4	10
90	одна из	2	10
91	в своем	4	10
92	в отличие	7	10
93	с другой	9	10
94	именно в	2	10
95	в таком	3	10
96	в себе	13	9
97	одного и	3	9
98	это не	4	9
99	одной из	2	9
100	и это	2	9
101	к тому	4	9
102	в нашем	2	9
103	отношении к	3	9
104	и более	2	9
105	ни в	5	9
106	быть и	2	9
107	в каком	2	8
108	в отношении	4	8
109	или иной	9	8
110	и ее	3	8
111	не как	2	8
112	в форме	4	8
113	и т.д	4	8
114	в их	5	8
115	тому что	2	8
116	не будет	3	8
117	что и	2	8
118	этого слова	2	8
119	другой стороны	6	8
120	за пределы	2	8
121	в свою	3	8
122	столь же	2	8
123	сводится к	11	8
124	к другому	2	8
125	у него	2	8
126	свою очередь	2	7
127	в формах	2	7
128	того что	5	7
129	по себе	2	7
130	место в	5	7
131	могут быть	5	7
132	с ними	2	7
133	в качестве	31	7
134	в этой	2	7
135	речи а	2	7
136	в этих	4	7
137	далеко не	4	7
138	о том	2	7
139	как раз	3	7
140	на основе	2	7
141	для понимания	2	6
142	то есть	26	6
143	в другом	4	6
144	от своего	2	6
145	всех без	3	6
146	он и	2	6
147	одной стороны	3	6
148	в какой	2	6
149	все это	2	6
150	с ее	6	6
151	с другими	5	6
152	из этих	3	6
153	с одной	3	6
154	между ними	5	6
155	входит в	4	6
156	уже не	6	6
157	в той	3	6
158	но как	2	5
159	о чем	3	5
160	в виду	5	5
161	и тем	4	5
162	то в	2	5
163	xix века	2	5
164	в душе	9	5
165	не менее	5	5
166	или в	2	5
167	той или	5	5
168	хотя и	4	5
169	себя в	8	5
170	тем более	2	5
171	ее в	2	5
172	по преимуществу	3	5
173	знаковом материале	3	5
174	жизни в	2	5
175	но не	13	5
176	для себя	4	5
177	что такое	2	5
178	таком случае	2	5
179	в одном	3	5
180	знака к	5	5
181	или даже	3	4
182	и прежде	3	4
183	в области	8	4
184	к своему	2	4
185	и к	3	4
186	при чтении	2	4
187	можно сказать	6	4
188	в узком	3	4
189	в них	2	4
190	между двумя	2	4
191	во внутренней	2	4
192	во всей	3	4
193	и то	4	4
194	к его	3	4
195	в которой	3	4
196	что она	2	4
197	говорит что	2	4
198	одним из	2	4
199	не знает	4	4
200	автора и	3	4
201	значения и	2	4
202	мог бы	3	4
203	несмотря на	2	4
204	из этого	2	4
205	и особенно	2	4
206	это и	2	4
207	даже в	3	3
208	еще и	2	3
209	к нашему	2	3
210	только и	2	3
211	не все	2	3
212	по своей	7	3
213	знакового материала	4	3
214	как к	5	3
215	должен быть	2	3
216	другого в	3	3
217	роль в	2	3
218	в значительной	2	3
219	в году	2	3
220	в целом	3	3
221	или менее	6	3
222	как это	7	3
223	более или	6	3
224	данном контексте	2	3
225	потому что	3	3
226	том числе	3	3
227	во втором	4	3
228	так в	4	3
229	между собой	2	3
230	с языком	3	3
231	и др	2	3
232	в данный	2	3
233	и по	2	3
234	не на	5	3
235	делает его	2	3
236	имеет место	3	3
237	числе и	2	3
238	могла бы	2	3
239	одно и	3	3
240	значительной степени	2	3
241	того или	4	3
242	здесь не	2	3
243	ту или	2	3
244	с их	2	3
245	тем не	3	3
246	и о	4	3
247	ни к	2	3
248	не могло	2	3
249	не с	2	3
250	знаков в	2	3
251	высказывания не	2	3
252	со стороны	5	3
253	в русской	3	3
254	или иначе	5	3
255	приводит к	6	3
256	из которых	2	3
257	совпадает с	2	3
258	к жизни	2	3
259	говорить о	4	3
260	данный момент	2	3
261	не следует	4	3
262	и внешней	3	3
263	с ним	2	3
264	этих двух	2	3
265	форм высказывания	2	3
266	в системе	3	3
267	в художественной	3	2
268	он должен	3	2
269	тем самым	5	2
270	между которыми	2	2
271	идет о	2	2
272	вступает в	2	2
273	внешней речи	2	2
274	одно слово	3	2
275	до известной	2	2
276	для которого	2	2
277	и притом	3	2
278	к более	2	2
279	противном случае	2	2
280	оказывается в	3	2
281	отношение знака	3	2
282	от себя	3	2
283	в частности	18	2
284	его внешней	8	2
285	была бы	3	2
286	а с	2	2
287	так или	4	2
288	соединении с	2	2
289	а только	4	2
290	мира и	2	2
291	в романе	3	2
292	себя и	3	2
293	заключается в	2	2
294	никто не	3	2
295	известной степени	3	2
296	принадлежит к	3	2
297	из виду	2	2
298	на языке	3	2
299	во внешнем	2	2
300	языка могут	2	2
301	например в	4	2
302	мышления и	2	2
303	или иного	4	2
304	в литературе	2	2
305	введено в	2	2
306	в знаковом	3	2
307	внутренней и	2	2
308	отличается от	2	2
309	сама по	2	2
310	не просто	2	2
311	превращается в	2	2
312	внутреннего мира	2	2
313	бы не	2	2
314	сознания в	4	2
315	тот или	3	2
316	в коем	2	2
317	героя и	5	2
318	с этой	3	2
319	и другие	2	2
320	на смену	4	2
321	в чем	2	2
322	но только	2	2
323	творческий акт	2	2
324	есть в	3	2
325	в жизни	3	2
326	за пределами	3	2
327	в самой	2	2
328	это отношение	3	2
329	их в	3	2
330	не вполне	2	2
331	или иную	2	2
332	всех подобных	2	2
333	принадлежит только	2	2
334	оно не	2	2
335	коем случае	2	2
336	этом смысле	3	2
337	и соответственно	2	2
338	а именно	3	2
339	в противном	2	2
340	имеет дело	2	2
341	нового времени	2	2
342	жизни но	2	2
343	отношения к	4	2
344	первой части	2	2
345	героя как	2	2
346	но он	3	2
