N	2gram	Ircho_Kome	Narrotol
1	не только	12	62
2	и не	19	50
3	при этом	5	47
4	но и	14	45
5	в качестве	8	35
6	в частности	7	31
7	может быть	16	30
8	и в	40	30
9	в том	19	29
10	том что	19	28
11	в этом	9	28
12	а в	9	27
13	такого рода	6	26
14	только в	6	25
15	как и	12	24
16	не в	8	23
17	то что	8	23
18	не может	3	20
19	в себе	3	17
20	так и	17	17
21	а также	5	17
22	со стороны	3	16
23	в его	8	16
24	но в	6	15
25	к тому	15	15
26	и его	17	14
27	в своем	6	13
28	в своей	3	13
29	то же	7	13
30	времени и	2	13
31	у него	6	13
32	о том	12	13
33	все же	7	12
34	прежде всего	8	12
35	как в	8	12
36	на протяжении	14	12
37	как бы	3	12
38	по отношению	5	11
39	и тем	2	11
40	отличие от	4	11
41	об этом	2	11
42	в нем	8	11
43	в этой	9	11
44	если бы	4	11
45	отношению к	5	11
46	в отличие	3	11
47	в мире	3	11
48	хотя и	6	11
49	в то	14	10
50	ничего не	4	10
51	как это	7	10
52	один из	9	10
53	точки зрения	7	10
54	как правило	5	10
55	не является	2	10
56	и все	4	10
57	но не	3	10
58	жизни и	4	10
59	тому же	14	10
60	между тем	9	10
61	с его	4	10
62	в соответствии	2	9
63	еще не	7	9
64	что он	11	9
65	что в	12	9
66	отнюдь не	2	9
67	в рамках	3	9
68	тем не	3	9
69	столь же	9	9
70	потому что	8	9
71	как раз	4	9
72	о чем	2	8
73	не менее	6	8
74	того чтобы	4	8
75	одна из	4	8
76	у нее	2	8
77	мира в	5	8
78	этом отношении	3	8
79	у нас	3	8
80	действующих лиц	8	8
81	в литературе	2	8
82	и для	4	8
83	в самом	5	8
84	и к	2	8
85	соответствии с	2	8
86	в той	2	8
87	же время	5	8
88	он не	5	8
89	не мог	4	8
90	в свою	2	7
91	это не	2	7
92	вслед за	4	7
93	в конце	7	7
94	едва ли	16	7
95	в принципе	3	7
96	в чем	3	7
97	в ней	2	7
98	одного из	7	7
