N	3gram	Voloshinov	Dialekti
1	с точки зрения	15	46
2	в том что	9	25
3	ни в каком	2	18
4	не может быть	14	18
5	тем не менее	4	16
6	сам по себе	4	16
7	то же время	6	15
8	в то же	6	14
9	в таком случае	4	14
10	о том что	3	12
11	в самом деле	10	10
12	то или иное	2	9
13	это и есть	2	9
14	только то что	3	8
15	в этом смысле	2	8
16	вовсе не в	2	7
17	можно сказать что	5	7
18	в каком случае	2	7
19	и прежде всего	7	6
20	для того чтобы	3	6
21	может быть и	6	6
22	то что мы	2	6
23	во всяком случае	8	6
24	в зависимости от	4	6
25	с одной стороны	2	6
26	выйти за пределы	3	6
27	на самом деле	4	5
28	на первый план	4	5
29	в конце концов	2	5
30	до сих пор	3	5
31	одной и той	3	5
32	и той же	3	5
33	– все это	5	5
34	к тому что	2	5
35	все это –	3	5
36	и тем не	2	5
37	не отличается от	2	5
38	как раз и	2	4
39	то же самое	2	4
40	мы уже знаем	3	4
41	в данном случае	4	4
42	можем сказать что	5	4
43	и может быть	2	4
44	и ни в	2	4
45	ни в чем	4	4
46	в этом отношении	4	4
47	не могут быть	4	4
48	мы можем сказать	5	4
49	равно как и	2	4
50	бы то ни	3	3
51	ничего общего не	3	3
52	самом же деле	2	3
53	в чем же	2	3
54	что же такое	2	3
55	но в то	3	3
56	с самого начала	5	3
57	и пр –	2	3
58	ни в какой	2	3
59	на самом же	2	3
60	и не может	3	3
61	это вовсе не	4	3
62	мы не можем	3	2
63	не в силах	3	2
64	мы никогда не	2	2
65	миф и религия	2	2
66	и все его	2	2
67	в чем не	4	2
68	теперь мы должны	3	2
69	к отцу и	2	2
70	– один из	3	2
71	далеко не всегда	3	2
72	хотя бы и	2	2
73	в собственном смысле	3	2
74	что и в	2	2
75	в свою очередь	4	2
76	и пр и	2	2
77	мы показали что	2	2
78	в таком виде	2	2
