N	2gram	Losev_Dial	Otkroven
1	у него	2	22
2	и в	35	19
3	но и	17	13
4	и не	51	13
5	в этом	18	12
6	не только	26	11
7	не в	12	11
8	а не	24	11
9	может быть	30	11
10	и все	11	10
11	человека и	2	10
12	в нем	25	10
13	вопрос о	3	10
14	никогда не	18	9
15	потому что	23	9
16	не было	7	9
17	прежде всего	14	9
18	и он	6	8
19	ни с	8	7
20	в его	4	7
21	от него	4	7
22	он не	5	7
23	он всегда	3	7
24	но он	3	7
25	как и	10	6
26	все это	14	6
27	для него	2	5
28	а в	8	5
29	в том	20	5
30	в самом	6	5
31	то что	25	5
32	в этой	3	5
33	отношение к	5	5
34	и его	6	4
35	что в	19	4
36	он сам	6	4
37	только и	5	4
38	всегда есть	4	4
39	все эти	4	4
40	на земле	3	4
41	т е	49	4
42	человек и	2	4
43	не может	16	4
44	все в	2	4
45	что не	13	4
46	в себе	23	3
47	и от	5	3
48	о том	8	3
49	это не	18	3
50	к нему	12	3
51	не могут	4	3
52	что он	16	3
53	и вот	10	3
54	было бы	14	3
55	для того	2	3
56	еще не	4	3
57	и есть	20	3
58	все что	2	3
59	в этих	6	3
60	когда он	2	3
61	никто не	2	3
62	как бы	19	3
63	хотя бы	6	3
64	нем нет	3	3
65	могут быть	6	3
66	это было	4	3
67	с ним	9	3
68	это за	5	3
69	быть может	5	3
70	мысли и	3	3
71	того что	6	3
72	что человек	2	3
73	одно из	2	2
74	и то	15	2
75	сказать что	19	2
76	можно ли	3	2
77	с тем	2	2
78	уже в	5	2
79	что же	5	2
80	мысль о	2	2
81	и для	2	2
82	что все	2	2
83	из всего	2	2
84	не имеет	15	2
85	ничего не	19	2
86	и все-таки	3	2
87	и с	10	2
88	что и	7	2
89	ее в	2	2
90	и потому	6	2
91	и ни	7	2
92	в ее	3	2
93	в своем	7	2
94	тем что	2	2
95	но в	8	2
96	том что	18	2
97	что для	3	2
98	же можно	2	2
99	природы и	2	2
100	все же	9	2
101	не очень	2	2
102	в своей	9	2
103	ведь это	3	2
104	так как	24	2
105	с чем	2	2
106	по себе	39	2
107	что у	3	2
108	же это	6	2
109	что они	8	2
110	так что	21	2
111	даже и	3	2
112	для всякого	2	2
113	должно быть	7	2
114	и о	4	2
115	не есть	67	2
116	в душе	8	2
117	и нет	2	2
118	к этому	2	2
119	и к	8	2
120	так и	18	2
121	и очень	2	2
122	от самого	3	2
123	в которой	3	2
124	личности и	2	2
125	к ней	4	2
126	хотя и	4	2
127	его не	7	2
128	много раз	3	2
129	и из	6	2
130	момент в	2	2
131	учение о	11	2
132	в другом	6	2
133	что есть	2	2
134	сразу же	2	2
135	ничто не	3	2
136	его в	3	2
