N	3gram	Voloshinov	Literetu
1	в то же	7	21
2	то же время	7	21
3	в том что	9	21
4	по отношению к	9	12
5	с одной стороны	2	12
6	в отличие от	7	11
7	не может быть	23	11
8	о том что	2	10
9	так или иначе	2	10
10	в этом отношении	4	10
11	с точки зрения	31	8
12	с другой стороны	6	7
13	в том числе	3	6
14	к тому же	2	6
15	не только в	2	6
16	тем не менее	3	5
17	в связи с	12	5
18	и прежде всего	4	4
19	бы то ни	11	4
20	но при этом	2	4
21	то ни было	11	4
22	во всяком случае	4	3
23	то же самое	8	3
24	той или иной	5	3
25	на самом деле	5	3
26	в самом деле	13	3
27	на то что	2	3
28	ничего общего с	2	3
29	какого бы то	2	3
30	в знаковом материале	2	3
31	том числе и	3	3
32	в свою очередь	5	3
33	одно и то	3	2
34	тех пор пока	2	2
35	для того чтобы	7	2
36	и то же	3	2
37	в отношении к	7	2
38	чуть ли не	2	2
39	в этом случае	3	2
40	к тому что	4	2
41	но и в	3	2
42	можно было бы	2	2
43	в значительной степени	3	2
44	до тех пор	2	2
