N	3gram	Bakhtin_fo	Freidism
1	с точки зрения	9	15
2	не может быть	4	14
3	по отношению к	3	11
4	в том что	4	9
5	и прежде всего	4	7
6	в то же	10	6
7	может быть и	4	6
8	то же время	13	6
9	в большинстве случаев	2	5
10	как мы уже	11	5
11	с самого начала	3	5
12	в последнем счете	3	4
13	мы уже указывали	4	4
14	на первый план	2	4
15	ни в чем	3	4
16	в чем не	3	4
17	в этом отношении	5	4
18	в данном случае	2	4
19	и до конца	2	4
20	в ее целом	2	4
21	все то что	2	3
22	но в то	2	3
23	о том что	2	3
24	для того чтобы	11	3
25	до сих пор	4	3
26	быть и речи	2	3
27	а следовательно и	3	2
28	в подходе к	2	2
29	в другом месте	2	2
30	как раз и	2	2
31	в отличие от	3	2
32	с одной стороны	3	2
33	и все его	2	2
34	а также и	3	2
35	в его целом	2	2
36	равно как и	4	2
