N	2gram	Tiupa_Anal	Problema
1	и в	36	182
2	то есть	15	165
3	и не	14	152
4	вовсе не	2	145
5	то что	5	144
6	не есть	6	113
7	не только	40	104
8	в этом	19	88
9	может быть	19	82
10	том что	19	81
11	в том	16	81
12	только в	9	73
13	сказать что	2	72
14	но и	26	70
15	и даже	12	66
16	по себе	6	64
17	не менее	9	58
18	о том	9	57
19	так и	19	56
20	тем не	3	56
21	а не	16	56
22	но в	8	55
23	так что	2	52
24	отнюдь не	7	48
25	в себе	7	48
26	было бы	6	46
27	в своей	12	45
28	прежде всего	7	45
29	что в	15	44
30	в его	12	44
31	все эти	2	43
32	не в	9	43
33	таким образом	4	42
34	как раз	8	42
35	то же	7	42
36	что мы	2	40
37	и то	2	40
38	что он	5	40
39	и что	2	40
40	не может	3	39
41	в этой	10	39
42	такого рода	11	39
43	и тем	3	39
44	во всяком	6	39
45	как бы	14	39
46	в стихотворении	4	38
47	той или	6	38
48	в данном	12	38
49	того что	4	37
50	в нем	3	37
51	еще не	7	36
52	точки зрения	3	36
53	и все	3	36
54	когда мы	2	35
55	указывает на	3	34
56	как и	27	34
57	уже не	9	34
58	не является	5	33
59	или иной	9	33
60	в таком	2	33
61	в то	8	32
62	здесь не	8	32
63	едва ли	6	32
64	но не	13	32
65	в своем	7	31
66	в конце	6	31
67	все это	5	31
68	но это	3	31
69	с другой	10	30
70	и для	4	30
71	как мы	4	29
72	перед нами	7	29
73	все же	6	29
74	об этом	3	29
75	можно сказать	5	29
76	данном случае	11	28
77	мы не	4	28
78	а в	17	28
79	и как	5	27
80	ничего не	3	27
81	хотя и	4	27
82	еще и	4	26
83	по крайней	5	26
84	в результате	6	26
85	вместе с	3	26
86	это не	4	26
87	крайней мере	5	26
88	да и	3	26
89	другой стороны	7	26
90	и его	18	26
91	тем самым	8	25
92	с точки	2	25
93	и на	5	25
94	мы можем	2	25
95	всяком случае	6	25
96	тем более	3	24
97	с тем	2	24
98	в нашем	4	24
99	таком случае	2	23
100	есть не	2	23
101	при этом	19	23
102	в качестве	22	23
103	по своему	3	23
104	никогда не	7	22
