N	2gram	Losev_Dial	FransuaR
1	и в	35	367
2	в этом	18	112
3	и не	51	101
4	таким образом	5	100
5	и его	6	99
6	в его	4	98
7	прежде всего	14	92
8	не только	26	87
9	мы уже	8	85
10	но и	17	84
11	как бы	19	82
12	все эти	4	79
13	вовсе не	19	77
14	как и	10	76
15	в нем	25	75
16	но в	8	75
17	в эпоху	2	75
18	и др	2	72
19	в том	20	71
20	как мы	5	71
21	то же	21	66
22	и все	11	66
23	так и	18	65
24	в этой	3	65
25	в них	4	65
26	в сущности	2	64
27	и с	10	64
28	во время	2	63
29	в то	10	63
30	все это	14	62
31	во всех	3	62
32	же время	9	55
33	что в	19	52
34	в своем	7	51
35	только в	7	48
36	так как	24	46
37	и до	2	46
38	том что	18	45
39	здесь в	3	41
40	то что	25	41
41	жизни и	9	40
42	у него	2	40
43	в самом	6	38
44	точки зрения	25	37
45	в ней	4	37
46	может быть	30	35
47	мы видим	6	35
48	о том	8	35
49	сказать что	19	34
50	и даже	23	34
51	в себе	23	34
52	в конце	5	32
53	он не	5	32
54	для него	2	32
55	в своей	9	31
56	так же	6	30
57	тела и	3	30
58	никогда не	18	30
59	и потому	6	30
60	один из	3	30
61	потому что	23	30
62	но он	3	30
63	в этих	6	29
64	не может	16	29
65	еще не	4	29
66	его в	3	29
67	не в	12	29
68	при этом	2	29
69	в одном	4	29
70	в особенности	6	29
71	связи с	3	29
72	что он	16	29
73	из них	5	28
74	в основе	4	28
75	всех этих	4	28
76	в той	4	28
77	также и	7	28
78	и к	8	28
79	сих пор	4	27
80	по своему	4	27
81	до сих	4	27
82	и их	5	27
83	все же	9	27
84	кроме того	2	26
85	все они	2	26
86	на самом	5	25
87	и образы	2	25
88	в области	2	25
89	но это	12	25
90	мира и	2	25
91	отношение к	5	24
92	в ее	3	24
93	и от	5	24
94	в частности	4	24
95	например в	2	24
96	но не	9	24
97	как в	3	24
98	и у	2	24
99	он и	2	24
100	времени и	10	24
101	и для	2	23
102	это не	18	23
103	в их	5	23
104	с ним	9	23
105	еще и	4	23
106	есть и	11	23
107	к нему	12	23
108	форм и	2	22
109	и о	4	22
110	даже в	6	22
111	а в	8	22
112	что и	7	22
113	поэтому и	3	22
114	тем что	2	22
115	вместе с	3	22
116	не было	7	22
117	именно в	4	21
118	в качестве	2	21
119	что это	21	21
120	в отношении	5	21
121	ни в	20	21
122	есть в	2	21
123	и как	14	21
124	уже в	5	21
125	как раз	7	20
