N	2gram	Trubetskoy	PoTuStor
1	может быть	17	17
2	и в	24	16
3	мы можем	6	9
4	и проч	4	9
5	в этом	13	9
6	и только	2	9
7	таким образом	34	9
8	прежде всего	3	9
9	и с	5	8
10	в психике	7	8
11	точки зрения	14	8
12	совершенно не	4	8
13	не может	18	8
14	и его	2	8
15	не только	10	7
16	и это	3	6
17	с точки	8	6
18	конечно не	3	6
19	самом деле	12	6
20	и к	5	6
21	для него	2	6
22	при этом	9	6
23	все эти	19	5
24	как бы	10	5
25	еще не	6	5
26	отношение к	4	5
27	как мы	3	4
28	и на	6	4
29	все это	13	4
30	на самом	7	4
31	его в	5	4
32	в его	5	4
33	и ее	2	4
34	но и	11	4
35	и не	9	4
36	и все	9	4
37	но в	5	4
38	в этой	7	4
39	с ее	2	4
40	и наконец	3	4
41	так как	7	4
42	и их	5	4
43	все что	10	4
44	и может	3	4
45	только в	6	4
46	в нем	3	4
47	а потому	5	4
48	хотя бы	4	4
49	с ними	2	4
50	так и	10	4
51	в один	2	4
52	отнюдь не	2	4
53	что в	9	3
54	жизни и	2	3
55	и потому	3	3
56	на этой	3	3
57	тех же	2	3
58	а в	3	3
59	в том	31	3
60	их в	2	3
61	по сравнению	5	3
62	в общем	6	3
63	между ними	2	3
64	в области	4	3
65	те же	2	3
66	до сих	15	3
67	сравнению с	5	3
68	в этих	3	3
69	то что	18	3
70	во всех	10	3
71	сих пор	15	3
72	всяком случае	2	3
73	вместе с	7	3
74	на этом	2	3
75	мы знаем	10	3
76	во всяком	2	3
77	том что	20	3
78	в основе	2	3
79	никогда не	4	2
80	для нас	3	2
81	что мы	4	2
82	по своему	5	2
83	в них	2	2
84	в жизни	3	2
85	к ним	2	2
86	в одно	2	2
87	для этого	7	2
88	и вообще	3	2
89	же как	3	2
90	и для	6	2
91	все то	2	2
92	что это	5	2
93	другими словами	2	2
94	и по	3	2
95	что и	7	2
96	не менее	7	2
97	на первый	2	2
98	было бы	3	2
99	не могут	4	2
100	как не	2	2
101	сводится к	2	2
102	и других	3	2
103	на друга	2	2
104	о том	7	2
105	можно назвать	3	2
106	то же	4	2
107	они не	2	2
108	с этим	12	2
109	нечего и	3	2
110	как и	10	2
111	что он	7	2
112	так же	8	2
113	говорить о	2	2
114	потому и	2	2
115	того же	9	2
116	себя и	2	2
117	ни было	3	2
118	из этих	8	2
119	но как	2	2
120	в самом	8	2
121	и говорить	3	2
122	знаем что	8	2
123	в начале	3	2
124	с этой	3	2
125	в частности	2	2
126	он не	4	2
127	у него	5	2
128	ту же	2	2
129	между собою	5	2
130	во всей	2	2
131	для меня	4	2
132	если мы	4	2
133	не есть	4	2
134	к этому	5	2
135	что на	2	2
136	не знает	2	2
137	что оно	3	2
138	и так	2	2
139	всех других	2	2
140	есть в	2	2
141	друг на	2	2
142	мы уже	4	2
143	только то	2	2
144	не будет	5	2
145	с ним	6	2
146	между собой	4	2
