N	3gram	Tiupa_Disk	EvropaiE
1	с точки зрения	3	16
2	в то же	7	15
3	то же время	9	14
4	с одной стороны	12	8
5	и в то	2	8
6	одной стороны и	3	6
7	в том что	18	6
8	той или иной	6	4
9	не только в	2	4
10	того или иного	2	4
11	и прежде всего	2	3
12	во всяком случае	2	3
13	в этом отношении	4	3
14	можно сказать что	3	3
15	в частности в	2	2
16	прежде всего в	2	2
17	в данном случае	6	2
18	с другой стороны	4	2
19	только в том	2	2
20	в большинстве случаев	2	2
21	по себе не	2	2
22	не говоря уже	2	2
23	так и в	4	2
24	в свою очередь	3	2
25	не более чем	3	2
26	не может быть	5	2
