N	2gram	Medvedev_V	StatiiOP
1	и в	26	103
2	в том	15	89
3	том что	8	77
4	в этом	29	76
5	что в	11	74
6	не только	26	60
7	и т	25	51
8	о том	10	47
9	у пушкина	2	46
10	но и	10	46
11	то что	7	44
12	что он	4	42
13	в его	15	42
14	и не	20	41
15	может быть	23	38
16	т е	18	33
17	было бы	8	32
18	т д	16	32
19	в этой	4	31
20	вовсе не	3	31
21	все это	13	29
22	таким образом	32	28
23	а в	3	27
24	а не	7	27
25	но в	2	26
26	так и	6	25
27	этом отношении	14	24
28	и его	6	24
29	все же	6	23
30	не в	6	23
31	точки зрения	3	23
32	того что	3	22
33	пушкин в	3	22
34	в области	2	22
35	прежде всего	13	22
36	для того	3	22
37	у нас	3	22
38	в которой	2	22
39	того чтобы	3	21
40	это не	7	20
41	до сих	2	20
42	т п	9	19
43	в то	6	19
44	сих пор	2	19
45	в своей	4	19
46	только в	8	19
47	об этом	9	18
48	не может	17	18
49	с другой	11	18
50	в котором	3	18
51	он не	2	18
52	в году	7	17
53	между прочим	2	17
54	как на	3	17
55	в самом	4	17
56	как бы	5	17
57	с этим	3	16
58	сказать что	5	16
59	в ней	2	16
60	можно было	2	16
61	если бы	3	16
62	в статье	4	16
63	с тем	4	15
64	как и	7	15
65	для него	9	15
66	например в	3	15
67	по поводу	4	15
68	другой стороны	8	15
69	из этих	7	15
70	также и	2	15
71	у него	6	15
72	как раз	4	15
73	так например	2	14
74	к тому	5	14
75	между тем	6	14
76	то же	10	14
77	в течение	2	14
78	в своем	8	13
79	в конце	3	13
80	тому что	7	13
81	в качестве	12	13
82	в нем	7	13
83	во всяком	2	13
84	именно в	3	13
85	из них	11	13
86	всяком случае	2	13
87	жизни и	3	13
88	вместе с	8	13
89	не менее	2	12
90	что они	3	12
91	как например	2	12
92	хотя бы	20	12
93	что у	3	12
94	в своих	2	12
95	никогда не	5	11
96	в другом	2	11
97	в них	5	11
98	все эти	8	11
99	и по	3	11
100	из его	4	11
101	того как	2	11
102	на то	2	11
103	не было	7	11
104	так же	3	10
105	по словам	8	10
106	в виду	4	10
107	а как	2	10
108	в частности	12	10
109	на вопрос	2	10
110	не столько	2	10
111	в целом	5	10
112	что и	3	10
113	отметить что	2	10
114	во всех	7	10
115	на эти	2	10
116	но не	2	10
117	что такое	2	10
118	же время	5	10
119	в каждом	2	9
120	письме к	12	9
121	в чем	2	9
122	по этому	10	9
123	во время	4	9
124	можно сказать	4	9
125	в одном	5	9
126	не является	5	9
127	и для	2	9
128	и к	3	9
129	что мы	2	9
130	внимание на	2	9
131	говорит о	7	9
132	при помощи	3	8
133	могут быть	8	8
134	в их	5	8
135	к сожалению	2	8
136	и др	10	8
137	в общем	2	8
138	связи с	5	8
139	к этому	9	8
140	мы имеем	3	8
141	что она	2	8
142	в результате	5	8
143	и даже	2	8
144	одним из	5	8
145	п в	3	8
146	действующих лиц	5	8
147	заключается в	2	8
148	в которых	3	8
149	по его	2	8
150	подчеркнуть что	2	8
151	том как	3	7
152	о чем	2	7
153	вплоть до	2	7
154	конце концов	2	7
155	одной из	2	7
156	что все	4	7
157	говорит об	2	7
158	этому поводу	7	7
159	как это	12	7
160	в ее	4	7
161	отличается от	2	7
162	работы над	5	7
163	лишь в	2	7
164	еще не	2	7
165	отношению к	7	7
166	еще и	2	7
167	что для	4	7
168	по себе	2	7
169	этой области	3	7
170	но с	2	7
171	даже в	5	6
172	в себе	6	6
173	вот что	12	6
174	по отношению	7	6
175	одном из	4	6
176	ни одного	2	6
177	должен быть	4	6
178	из которых	2	6
179	говорил что	3	6
180	его не	3	6
181	по существу	4	6
182	по крайней	2	6
183	же как	2	6
184	с его	4	6
185	крайней мере	2	6
186	в стихах	2	6
187	в особенности	2	6
188	же и	3	6
189	и сам	2	6
190	в письме	16	6
191	несколько примеров	2	6
192	в жизни	2	6
193	этот вопрос	3	6
194	том отношении	2	6
195	только не	2	6
196	говорить о	2	6
197	не о	2	5
198	его в	3	5
199	представляет собою	11	5
200	этого рода	2	5
201	даже не	2	5
202	это и	6	5
203	том же	6	5
204	как он	3	5
205	и потому	2	5
206	не приходится	2	5
207	одной стороны	2	5
208	что не	3	5
209	один из	6	5
210	можно ли	2	5
211	должна быть	2	5
212	хотя и	2	5
213	того или	2	5
214	утверждать что	5	5
215	то это	2	5
216	другом месте	2	5
217	всех этих	3	5
218	на это	2	5
219	как говорит	5	5
220	не по	2	5
221	с одной	2	5
222	после того	2	5
223	том чтобы	2	5
224	нет и	3	5
225	ни с	2	5
226	ее в	4	5
227	в творчестве	3	5
228	является не	4	5
229	в слове	3	5
230	в пользу	2	5
231	начиная с	2	4
232	очевидно что	7	4
233	не могут	10	4
234	эти вопросы	2	4
235	от его	2	4
236	одна из	4	4
237	в форме	3	4
238	на этом	2	4
239	что оно	3	4
240	и у	2	4
241	нет ни	2	4
242	не всегда	2	4
243	как у	2	4
244	в романе	4	4
245	что ни	2	4
246	которые в	2	4
247	но как	3	4
248	только с	2	4
249	они не	2	4
250	он говорит	5	4
251	что его	2	4
252	отношении что	2	4
253	естественно что	3	4
254	в образе	2	4
255	в процессе	17	4
256	с нею	2	4
257	в связи	4	4
258	е в	2	4
259	должны быть	2	4
260	который в	2	4
261	на язык	2	4
262	да и	2	4
