N	2gram	Bakhtin_KF	EvropaiC
1	в том	6	31
2	и в	28	24
3	том что	4	20
4	все эти	11	19
5	не может	29	18
6	то что	7	18
7	может быть	45	17
8	все же	5	15
9	точки зрения	13	14
10	в этом	15	13
11	все это	10	13
12	в своем	17	12
13	самом деле	3	12
14	между тем	4	12
15	по отношению	26	11
16	но и	9	11
17	отношению к	22	11
18	культуры и	5	11
19	не только	5	10
20	так и	2	10
21	во всех	11	10
22	как и	5	10
23	как бы	9	10
24	из себя	11	10
25	и не	28	9
26	не в	13	9
27	что в	4	9
28	и все	9	9
29	потому что	2	9
30	при этом	4	9
31	если бы	8	8
32	для того	3	8
33	того чтобы	2	8
34	с точки	10	8
35	ясно что	3	8
36	на самом	3	7
37	для этого	2	7
38	в сознании	2	7
39	что он	2	7
40	того что	3	7
41	не менее	3	7
42	о том	3	7
43	что и	7	7
44	в этой	2	7
45	в мире	8	6
46	только в	18	6
47	все они	2	6
48	еще не	5	6
49	в то	3	6
50	должна быть	4	6
51	и для	10	6
52	и на	3	6
53	лишь при	3	6
54	с ним	5	6
55	его в	5	5
56	но все	6	5
57	в себе	21	5
58	должно быть	6	5
59	к этому	2	5
60	как к	2	5
61	лишь в	8	5
62	и их	6	5
63	что это	4	5
64	по своему	3	5
65	но в	5	5
66	именно в	5	5
67	в целом	10	5
68	не будет	2	5
69	в его	42	5
70	быть и	3	5
71	никогда не	5	4
72	и то	2	4
73	для меня	22	4
74	что эта	2	4
75	всех этих	3	4
76	хотя бы	5	4
77	то ни	2	4
78	тем не	2	4
79	отношение к	6	4
80	и т.д	4	4
81	ее и	6	4
82	та же	3	4
83	то же	5	4
84	в их	9	4
85	в области	2	4
86	а с	2	4
87	в виде	2	4
88	совершенно не	7	4
89	с тем	2	4
90	не есть	22	4
91	из которых	2	4
92	данный момент	3	4
93	он не	6	4
94	это есть	2	4
95	вопрос о	2	3
96	тем самым	4	3
97	это не	10	3
98	и потому	2	3
99	различия в	2	3
100	к которой	2	3
101	от него	3	3
102	ни было	4	3
103	от того	3	3
104	а лишь	3	3
105	конечно не	7	3
106	и других	2	3
107	одного и	2	3
108	вследствие этого	2	3
109	прежде всего	4	3
110	жизнь и	2	3
111	что только	2	3
112	в жизни	2	3
113	но не	12	3
114	и это	12	3
115	в данном	2	3
116	а в	5	3
117	бы то	2	3
118	в нем	32	3
119	в ней	3	3
120	тогда когда	3	3
121	для нас	4	3
122	ближе к	3	3
123	может не	2	3
124	было бы	8	3
125	и может	3	3
126	ничего общего	2	3
127	во всем	7	3
128	и того	2	3
129	тот же	3	3
130	конечно в	2	2
131	культура в	2	2
132	нет в	4	2
133	независимо от	3	2
134	в процессе	2	2
135	но как	5	2
136	к ним	4	2
137	и ее	2	2
138	чтобы быть	2	2
139	не потому	2	2
140	самого факта	2	2
141	в другом	3	2
142	из нее	2	2
143	а это	2	2
144	для себя	7	2
145	должен быть	7	2
146	ценности и	4	2
147	в виду	3	2
148	не было	8	2
149	от себя	10	2
150	тем как	3	2
151	а для	2	2
152	не знает	5	2
153	всех других	2	2
154	для него	13	2
155	не имеет	6	2
156	для этой	3	2
157	тому что	2	2
158	к нему	12	2
159	она не	2	2
160	в ту	2	2
161	гораздо более	2	2
162	в котором	24	2
163	в своих	4	2
164	в свою	3	2
165	но для	3	2
166	отнюдь не	7	2
167	что за	2	2
168	можно ли	2	2
169	ко всему	5	2
170	жизни и	8	2
171	от своей	5	2
172	сводится к	2	2
173	с ними	4	2
174	из него	4	2
175	говорить о	2	2
176	себя и	5	2
177	и его	18	2
178	же время	2	2
179	и только	7	2
180	а следовательно	3	2
181	с ее	2	2
182	не следует	2	2
183	ценностей не	2	2
184	во всей	4	2
185	и весь	4	2
186	этого слова	2	2
187	в себя	8	2
188	я не	6	2
189	вовсе не	7	2
190	в основе	5	2
191	при условии	2	2
