N	2gram	Vygotskiy_	Sotsiolo
1	все это	8	7
2	в том	50	5
3	в этом	30	5
4	для нас	9	3
5	не только	24	3
6	и только	5	3
7	в его	8	3
8	но ведь	2	3
9	не в	12	3
10	и в	55	3
11	литературы и	2	2
12	это и	7	2
13	должна быть	2	2
14	отношению к	2	2
15	по отношению	3	2
16	еще не	6	2
17	только в	12	2
18	что в	43	2
19	в частности	6	2
20	том что	46	2
21	было бы	15	2
22	таким образом	35	2
23	то же	16	2
24	как будто	7	2
25	и что	45	2
26	конце концов	6	2
27	как только	5	2
28	то что	69	2
29	и заключается	6	2
30	как бы	33	2
31	но и	16	2
32	главным образом	3	2
33	очевидно что	3	2
34	в конце	10	2
35	и мы	28	2
36	далеко не	4	2
37	может быть	34	2
38	заключается что	2	2
39	по существу	4	2
40	в результате	6	2
