N	2gram	Tiupa_Teor	KulturaY
1	и в	24	84
2	в том	20	74
3	потому что	3	68
4	не только	24	60
5	точки зрения	11	59
6	в этом	12	57
7	и не	17	52
8	может быть	22	47
9	том что	11	44
10	того чтобы	5	44
11	что в	10	44
12	для того	5	41
13	в самом	7	41
14	у нас	2	38
15	самом деле	2	37
16	с точки	3	36
17	в области	7	34
18	таким образом	3	33
19	а не	14	33
20	если бы	3	32
21	не в	9	30
22	прежде всего	3	30
23	в его	12	30
24	того что	5	28
25	не менее	6	28
26	все эти	3	28
27	в силу	4	26
28	уже не	6	26
29	не может	8	25
30	то что	6	25
31	вовсе не	3	25
32	еще не	6	24
33	с другой	9	24
34	так и	14	23
35	то же	12	23
36	только в	9	23
37	языка в	4	22
38	тем не	3	21
39	но и	14	20
40	по себе	2	20
41	и что	4	20
42	что он	4	19
43	но в	12	19
44	о том	2	19
45	между тем	5	18
46	связи с	3	18
47	все это	2	18
48	в качестве	33	18
49	к тому	4	18
50	как бы	8	18
51	вместе с	2	18
52	это не	4	17
53	как раз	3	17
54	как это	10	17
55	другой стороны	6	17
56	в той	2	17
57	в виду	5	16
58	что и	2	16
59	но не	13	16
60	по отношению	10	15
61	и тем	5	15
62	один из	2	15
63	а в	15	15
64	при этом	20	15
65	в данном	9	15
66	лишь в	10	15
67	ни к	3	15
68	именно в	3	15
69	в нашем	4	15
70	в них	2	14
71	в связи	3	14
72	хотя и	4	14
73	я не	2	14
74	сказать что	4	14
75	мы имеем	7	14
76	отношению к	10	14
77	что такое	2	14
78	если мы	2	14
79	и на	2	14
80	не могут	2	13
81	это и	2	13
82	что она	2	13
83	в пределах	5	13
84	не случайно	5	13
85	в этой	3	13
86	и его	11	13
87	с этой	3	12
88	как в	5	12
89	а только	4	12
90	того же	4	12
91	могут быть	5	12
92	этого слова	4	12
93	в рамках	13	12
94	говорить о	4	12
95	еще и	2	11
96	или иной	7	11
97	должен быть	2	11
98	в их	4	11
99	в своем	7	11
100	речи и	4	11
101	из этих	3	11
102	в нем	7	11
103	и здесь	2	11
104	и то	3	11
105	слова в	4	11
106	в какой	2	11
107	он не	5	11
108	в каком	2	10
109	тем самым	6	10
110	так же	2	10
111	в то	9	10
112	со стороны	6	10
113	как и	6	10
114	речь идет	2	10
115	того или	6	10
116	тем более	2	10
117	несмотря на	2	10
118	в первом	2	10
119	на фоне	2	10
120	этом смысле	3	10
121	не просто	2	10
122	в целом	4	9
123	xix века	2	9
124	здесь не	2	9
125	и для	3	9
126	в своей	8	9
127	можно сказать	5	9
128	или иного	6	9
129	а также	7	9
130	в которой	3	9
131	и вот	3	9
132	слова как	3	9
133	ни в	5	9
134	в частности	23	8
135	в структуре	2	8
136	состоит в	22	8
137	в чем	2	8
138	с одной	3	8
139	и о	5	8
140	что они	2	8
141	с его	6	8
142	своего рода	11	8
143	по преимуществу	5	8
144	и как	3	8
145	об этом	2	8
146	в этих	4	8
147	тому что	2	8
148	заключается в	2	8
149	далеко не	4	8
150	может служить	2	8
151	отнюдь не	3	8
152	в таком	3	8
153	в свою	4	7
154	идет о	2	7
155	в поэзии	2	7
156	казалось бы	2	7
157	свою очередь	3	7
158	и потому	3	7
159	была бы	3	7
160	не знает	4	7
161	а с	3	7
162	одной стороны	3	7
163	с ними	2	7
164	например в	3	7
165	не все	3	7
166	а именно	3	7
167	не следует	4	7
168	в самой	2	7
169	есть в	3	7
170	столь же	3	7
171	в одном	3	7
172	сводится к	12	7
173	в слове	4	7
174	даже в	3	6
175	перед нами	3	6
176	данном случае	5	6
177	в себе	14	6
178	как к	5	6
179	говоря о	3	6
180	роль в	3	6
181	на этом	2	6
182	не всегда	2	6
183	отличие от	7	6
184	на себя	2	6
185	этой точки	2	6
186	в отличие	7	6
187	не столько	7	6
188	в соответствии	3	6
189	в ее	6	6
190	той или	3	6
191	не на	4	6
192	как будто	2	6
193	речи а	2	6
194	за пределы	2	6
195	дело не	2	6
196	отличается от	2	6
197	или в	3	6
198	же время	8	6
199	не с	3	6
200	я в	18	6
201	оно не	2	6
202	соответствии с	2	6
203	приводит к	6	6
204	могли бы	2	6
205	чтобы не	2	6
206	на основе	2	6
207	тем же	2	6
208	никогда не	4	5
209	в конечном	6	5
210	в отношении	4	5
211	к его	3	5
212	и к	3	5
