N	2gram	Tiupa_Hudo	Analitik
1	не только	22	71
2	тогда как	10	67
3	и в	34	66
4	в качестве	13	61
5	но и	13	57
6	в том	24	52
7	может быть	12	52
8	в частности	10	51
9	в этом	22	51
10	как и	16	50
11	и не	15	48
12	в тексте	8	42
13	а не	23	42
14	художественной реальности	3	41
15	том что	31	40
16	при этом	21	40
17	так и	19	35
18	в мире	10	31
19	своего рода	19	30
20	состоит в	8	30
21	не может	10	29
22	как бы	11	29
23	отнюдь не	4	29
24	а в	11	28
25	в его	17	27
26	и его	8	27
27	не в	16	26
28	но не	7	26
29	всего лишь	7	24
30	в себе	19	24
31	не случайно	14	24
32	художественного целого	8	24
33	иначе говоря	2	23
34	к тому	11	22
35	и даже	4	22
36	в этой	11	22
37	что в	8	22
38	лишь в	5	21
39	и т.п	2	20
40	о том	21	20
41	я в	2	20
42	по отношению	15	19
43	но в	6	19
44	в своей	15	19
45	то же	14	19
46	в самом	7	19
47	с его	9	19
48	в то	12	18
49	в данном	3	18
50	отношению к	15	18
51	тем самым	2	17
52	или иной	2	17
53	с другой	4	17
54	со стороны	6	17
55	такого рода	4	17
56	в целом	2	17
57	только в	8	17
58	то что	13	16
59	в пределах	4	16
60	что и	3	16
61	в их	2	15
62	прежде всего	12	15
63	в сущности	2	15
64	в рамках	2	15
65	уже не	12	15
66	и на	6	15
67	между тем	14	15
68	данном случае	3	14
69	не менее	9	14
70	себя в	11	14
71	я и	7	14
72	столь же	6	14
73	же время	11	14
74	в себя	3	14
75	по себе	3	13
76	ничего не	11	13
77	точки зрения	7	13
78	в начале	3	13
79	как раз	7	13
80	для него	15	13
81	а также	4	13
82	как правило	6	13
83	он не	8	13
84	никогда не	8	12
85	и к	6	12
86	как это	8	12
87	в первой	6	12
88	еще не	10	12
89	как в	11	12
90	в конечном	5	12
91	сводится к	7	12
92	и сам	3	12
93	даже в	4	11
94	это не	12	11
95	во второй	7	11
96	нуждается в	2	11
97	по своей	5	11
98	конечном счете	4	11
99	на наш	6	11
100	наш взгляд	6	11
101	не с	2	11
102	можно сказать	9	11
103	той же	3	11
104	не следует	2	11
105	в конце	5	10
106	едва ли	6	10
107	все же	5	10
108	в миропорядке	4	10
109	на себя	3	10
110	однако в	4	10
111	один из	6	10
112	было бы	8	10
113	того или	4	10
114	особенно в	3	10
115	подобно тому	4	10
116	с одной	4	10
117	именно в	9	10
118	со своей	3	10
119	здесь не	2	10
120	в своем	9	9
121	уединенного сознания	5	9
122	того что	5	9
123	не столько	4	9
124	как уже	3	9
125	одной стороны	4	9
126	по поводу	3	9
127	или иного	4	9
128	во всех	2	9
129	в результате	2	9
130	только не	3	9
131	художественного восприятия	2	9
132	на фоне	5	9
133	том чтобы	2	9
134	автора и	4	9
135	в русской	4	9
136	вступает в	2	9
137	личности в	9	9
138	тому как	4	9
139	говорит о	4	9
140	говорить о	4	9
141	вместе с	2	9
142	я с	2	8
143	перед нами	13	8
144	о чем	9	8
145	внутреннего я	3	8
146	роль в	2	8
147	в ходе	4	8
148	что он	14	8
149	дело с	2	8
150	одной из	5	8
151	и все	10	8
152	в контексте	2	8
153	воспринимающего сознания	2	8
154	этом отношении	4	8
155	художественности в	4	8
156	хотя и	3	8
157	человеческого я	7	8
158	в основе	3	8
159	о его	2	8
160	уже говорилось	3	8
161	дело не	2	8
162	если бы	7	8
163	времени и	2	8
164	он и	2	8
165	в сторону	2	8
166	с точки	5	8
167	с ним	6	8
168	свое время	2	7
169	во времени	2	7
170	в литературе	3	7
171	картины мира	4	7
172	в другом	3	7
173	и тем	2	7
174	от себя	3	7
175	место в	3	7
176	являет собой	2	7
177	жизненной позиции	2	7
178	на его	2	7
179	в ее	16	7
180	все это	2	7
181	который в	2	7
182	одна из	4	7
183	как нам	3	7
184	по преимуществу	6	7
185	себя и	4	7
186	несмотря на	7	7
187	как будто	7	7
188	притча о	4	7
189	художественного мира	3	7
190	героя и	5	7
191	в глазах	11	7
192	и для	5	7
193	у него	13	7
194	или иначе	3	7
195	и т.д	3	7
196	личности и	3	7
197	приводит к	5	7
198	со своим	5	7
199	в одном	3	7
200	внимание на	3	7
201	как мы	5	7
202	в таком	3	7
203	в финале	5	7
204	в нашем	2	7
205	его в	5	6
206	если в	4	6
207	что не	4	6
208	с другим	2	6
209	в силу	2	6
210	роли в	2	6
211	казалось бы	12	6
212	от своего	2	6
213	не знает	2	6
214	в нем	5	6
215	что на	4	6
216	или в	3	6
217	и читателя	5	6
218	жанровой стратегии	2	6
219	при всей	3	6
220	и состоит	4	6
221	и то	2	6
222	хотя бы	2	6
223	могла бы	2	6
224	то в	6	6
225	из этих	3	6
226	читателя в	6	6
227	в равной	3	6
228	превращается в	6	6
229	с самим	2	6
230	же в	3	6
231	тем не	7	6
232	более чем	2	6
233	русской литературе	3	6
234	и более	2	6
235	так или	3	6
236	о себе	3	6
237	ключ к	2	6
238	на этом	5	6
239	напомним что	3	6
240	из них	5	6
241	уже в	2	6
242	соответствии с	2	6
243	не более	3	6
244	по его	4	6
245	вовсе не	2	6
246	не о	3	5
247	и потому	3	5
248	не как	3	5
249	а и	2	5
