N	3gram	Medvedev_F	Problema
1	тем не менее	2	56
2	в том что	3	37
3	и т д	11	33
4	в настоящее время	11	30
5	в связи с	9	29
6	в данном случае	2	28
7	во всяком случае	6	25
8	с точки зрения	17	25
9	с другой стороны	4	25
10	в конце концов	2	23
11	сама по себе	2	21
12	сам по себе	2	21
13	в этом смысле	3	19
14	как раз и	4	18
15	для того чтобы	3	17
16	в то же	13	17
17	до сих пор	7	14
18	на самом деле	7	13
19	ничего общего с	2	13
20	сами по себе	4	13
21	того или иного	6	13
22	не может быть	11	12
23	и в этом	6	12
24	но даже и	2	12
25	и в частности	2	12
26	бы то ни	4	11
27	с одной стороны	5	11
28	более или менее	7	10
29	не только не	2	10
30	вместе с тем	5	10
31	и тем самым	2	10
32	может быть и	4	9
33	с самого начала	2	7
34	но и в	4	7
35	так и в	6	6
36	в том смысле	3	6
37	в самом деле	5	6
38	в этом отношении	7	6
39	а вовсе не	2	5
40	по себе а	2	5
41	что в нем	2	5
42	и прежде всего	2	5
43	в зависимости от	4	5
44	том смысле что	2	5
45	в какой мере	2	5
46	как мы видели	5	4
47	друг от друга	2	4
48	что бы то	3	4
49	но все же	2	4
50	то ни стало	4	4
51	у нас не	3	4
52	и не в	2	4
53	связи с этим	4	4
54	во что бы	3	4
55	в том чтобы	3	4
56	но в то	3	3
57	к тому что	3	3
58	и в то	4	3
59	хотя бы в	4	3
60	было говорить о	2	3
61	что и в	2	3
62	в этом понятии	2	3
63	как мы увидим	3	3
64	в отличие от	2	3
65	одной стороны и	4	3
66	с тем что	3	3
67	в том случае	2	2
68	что перед нами	2	2
69	все более и	3	2
70	по отношению к	4	2
71	в предисловии к	3	2
72	она ни была	3	2
73	мы говорим о	2	2
74	и не может	5	2
75	более и более	3	2
76	в свою очередь	6	2
77	мы не можем	3	2
78	бы она ни	3	2
79	и т п	11	2
80	а часто и	2	2
81	мы ни взяли	2	2
82	в нем и	2	2
83	при таком положении	3	2
