N	3gram	Propp_Isto	Tvorches
1	и т д	25	17
2	в том что	7	11
3	о том что	9	8
4	не может быть	5	6
5	по отношению к	3	5
6	в одной из	2	4
7	до сих пор	4	4
8	точно так же	2	3
9	это значит что	2	3
10	как и в	3	3
11	том что в	2	3
12	дело не в	3	3
13	с другой стороны	17	3
14	во всяком случае	3	3
15	тем не менее	4	2
16	на этот вопрос	3	2
17	не только в	9	2
18	так и в	3	2
19	так как он	4	2
20	вместе с тем	6	2
21	так же как	4	2
22	но это не	3	2
23	в данном случае	7	2
24	у него есть	2	2
25	что у него	5	2
26	таким образом и	3	2
