N	2gram	Tiupa_Anal	UchenyiS
1	и в	30	14
2	не только	30	10
3	а не	25	10
4	и не	33	8
5	прежде всего	8	8
6	то что	11	7
7	не может	26	7
8	в этом	31	7
9	эстетического объекта	11	6
10	в искусстве	2	6
11	может быть	33	6
12	то же	12	5
13	художественного творчества	2	5
14	хотя бы	4	5
15	все это	2	5
16	в художественном	4	5
17	художественное произведение	5	5
18	в конечном	6	4
19	но и	29	4
20	в этой	12	4
21	конечном счете	5	4
22	с другой	7	4
23	в их	8	4
24	не о	3	3
25	в частности	32	3
26	истории литературы	4	3
27	для этого	2	3
28	и т.д	4	3
29	не следует	6	3
30	это не	7	3
31	и то	4	3
32	в своей	7	3
33	все же	4	3
34	не как	2	3
35	как и	23	3
36	в то	10	3
37	но в	11	3
38	же время	7	3
39	произведения искусства	3	3
40	или точнее	2	3
41	ни было	4	3
42	было бы	4	3
43	в области	4	3
44	бы то	3	3
45	то ни	3	3
46	другой стороны	2	3
47	для него	5	3
48	в самом	12	2
49	в себе	17	2
50	что мы	3	2
51	в широком	4	2
52	о чем	3	2
53	же не	3	2
54	же самое	3	2
55	что он	3	2
56	крайней мере	4	2
57	на каждом	2	2
58	таким образом	5	2
59	но не	13	2
60	и для	3	2
61	если бы	6	2
62	более чем	4	2
63	не все	3	2
64	между тем	7	2
65	самом деле	3	2
66	только в	8	2
67	одним из	3	2
68	этом смысле	3	2
69	в противовес	3	2
70	и является	4	2
71	не есть	8	2
72	ничего не	10	2
73	всех этих	2	2
74	и с	2	2
75	не случайно	11	2
76	должна была	2	2
77	тех или	3	2
78	что и	5	2
79	или иных	3	2
80	по крайней	4	2
81	вопроса о	4	2
82	при таком	2	2
83	могут быть	12	2
84	не приходится	2	2
85	не могут	3	2
86	превращается в	3	2
87	по себе	6	2
88	тем что	2	2
89	том что	21	2
90	а как	4	2
91	в сторону	6	2
92	в его	15	2
93	сводится к	6	2
94	все они	2	2
95	в том	36	2
96	что все	2	2
97	этом отношении	5	2
98	если не	2	2
99	художественного произведения	6	2
100	с его	3	2
101	как раз	5	2
102	его и	3	2
103	не в	17	2
104	нам представляется	2	2
105	в конце	4	2
106	могли бы	2	2
107	не столько	5	2
