N	2gram	Ircho_Kome	Sotsiolo
1	все это	7	7
2	в том	24	5
3	в этом	18	5
4	более чем	6	3
5	для нас	7	3
6	как же	2	3
7	не только	13	3
8	в его	12	3
9	не в	7	3
10	и в	37	3
11	дело не	2	2
12	должна быть	2	2
13	отношению к	4	2
14	по отношению	6	2
15	еще не	10	2
16	только в	3	2
17	что в	11	2
18	тем более	9	2
19	в частности	4	2
20	том что	22	2
21	было бы	7	2
22	таким образом	16	2
23	в смысле	2	2
24	то же	14	2
25	только как	2	2
26	как будто	3	2
27	и что	8	2
28	конце концов	3	2
29	как только	2	2
30	то что	5	2
31	как бы	7	2
32	но и	18	2
33	главным образом	2	2
34	в конце	14	2
35	за пределы	3	2
36	и мы	5	2
37	далеко не	3	2
38	может быть	14	2
39	ввести в	2	2
40	по существу	4	2
41	в результате	2	2
