N	2gram	Nazirov_Vr	Formalny
1	и в	8	95
2	т е	3	94
3	и не	5	78
4	может быть	4	66
5	в этом	8	61
6	не может	2	57
7	таким образом	2	52
8	и его	3	51
9	точки зрения	2	47
10	в нем	6	42
11	в его	3	42
12	с точки	2	40
13	как и	6	39
14	но и	7	33
15	то же	5	32
16	не только	9	30
17	в том	3	26
18	отнюдь не	2	26
19	то что	7	25
20	при этом	4	24
21	в своей	2	24
22	в ней	4	23
23	связи с	3	23
24	в то	5	22
25	и ее	2	22
26	в истории	4	21
27	как бы	4	21
28	что в	7	21
29	и с	6	21
30	не менее	2	20
31	же время	5	20
32	место в	2	20
33	все это	4	19
34	все же	6	18
35	и все	7	18
36	в связи	3	18
37	с его	3	18
38	как раз	2	17
39	так же	4	16
40	его в	3	15
41	но в	6	15
42	что он	4	14
43	в своем	3	14
44	еще не	2	14
45	в этой	2	14
46	вместе с	2	14
47	а в	2	13
48	тем что	3	13
49	уже не	2	12
50	никогда не	2	11
51	для него	2	11
52	между тем	5	11
53	не было	5	10
54	и как	3	10
55	в своих	4	10
56	он не	3	10
57	но это	2	9
58	и даже	6	9
59	в свою	2	9
60	мы знаем	2	9
61	отношения к	2	9
62	это не	4	8
63	в них	2	8
64	же как	2	8
65	на основе	2	8
66	том что	3	7
67	в себе	2	7
68	к этому	3	7
69	столь же	2	7
70	из них	2	7
71	в той	2	7
72	в конце	3	6
73	отношение к	2	6
74	в россии	5	6
75	так в	2	6
76	его и	2	6
77	и это	2	6
78	он был	3	6
79	его с	2	6
80	о том	4	6
81	их в	2	6
82	уже в	4	6
83	с ним	4	6
84	время и	2	5
85	в виду	4	5
86	в него	2	5
87	и то	2	5
88	в мире	2	5
89	в роман	2	5
90	в эту	2	5
91	для нас	4	5
92	в котором	6	5
93	и что	8	5
94	же в	2	5
95	одним из	3	4
96	п в	2	4
97	в романе	6	4
98	о нем	6	4
99	и во	3	4
100	одна из	2	4
101	целый ряд	4	4
102	и о	3	4
103	который был	3	3
104	в году	18	3
105	но как	2	3
106	в в	2	3
107	а н	2	3
108	тем более	2	3
109	в это	2	3
110	на первый	2	3
111	в чем	3	3
112	на то	3	3
113	он пишет	2	3
114	но он	3	3
115	человека в	3	2
116	о чем	2	2
117	с нею	2	2
118	при помощи	2	2
119	на место	2	2
120	а с	2	2
121	к ним	2	2
122	в эти	2	2
123	же не	2	2
124	его на	2	2
125	у тургенева	11	2
126	х годов	4	2
127	это в	2	2
128	в этот	3	2
129	далеко не	3	2
130	во многом	4	2
131	чтобы он	3	2
132	несмотря на	4	2
