N	2gram	Voloshinov	Myshleni
1	в том	3	195
2	в этом	9	167
3	то что	3	166
4	и в	16	162
5	том что	3	161
6	в развитии	2	151
7	таким образом	9	147
8	точки зрения	8	143
9	с помощью	2	131
10	что в	3	119
11	не только	7	116
12	так же	2	100
13	может быть	17	89
14	с точки	6	89
15	что он	2	86
16	не может	8	81
17	как и	2	79
18	так как	4	78
19	и не	4	78
20	только в	4	75
21	как мы	4	72
22	но и	4	70
23	в его	4	67
24	сказать что	7	65
25	как бы	5	64
26	вместе с	3	62
27	было бы	2	60
28	то же	2	58
29	в основе	3	58
30	что мы	2	53
31	между собой	2	53
32	в самом	2	52
33	по сравнению	3	51
34	ребенка и	3	49
35	мы можем	9	48
36	мы не	2	47
37	на основе	2	47
38	сравнению с	3	46
39	же как	2	43
40	как это	3	42
41	о том	2	40
42	так и	4	39
43	никогда не	2	39
44	в области	3	38
45	если мы	2	37
46	в этой	4	37
47	и к	6	37
48	мы видим	2	37
49	с самого	4	36
50	все эти	5	36
51	и его	8	36
52	самого начала	4	36
53	того же	2	35
54	он не	2	35
55	и как	3	34
56	при этом	6	33
57	прежде всего	9	33
58	что и	2	32
59	по своему	2	32
60	но в	4	32
61	что оно	2	32
62	и на	4	32
63	мысли и	4	30
64	могут быть	3	29
65	с этим	2	28
66	самом деле	6	28
67	в своей	2	27
68	с этой	2	27
69	и с	8	27
70	в частности	2	26
71	что это	2	26
72	для него	6	26
73	все это	4	25
74	еще не	5	25
75	в чем	5	25
76	можно сказать	4	25
77	мы уже	2	25
78	мы знаем	3	24
79	понятия и	2	24
80	в нем	4	24
81	ни в	5	23
82	во всяком	3	22
83	не могут	2	22
84	отношение к	5	21
85	его в	4	21
86	к этому	2	21
87	и все	4	21
88	ее в	2	21
89	между ними	3	21
90	и ее	4	21
91	и других	2	20
92	а в	3	20
93	и их	4	20
94	едва ли	3	20
95	на этом	3	20
96	не менее	2	20
97	из этих	2	20
98	но мы	4	19
99	с ним	2	19
100	и по	2	19
101	во всех	3	19
102	один из	2	19
103	во всей	2	18
104	всяком случае	3	18
105	но это	2	18
106	этом смысле	3	18
107	для этого	2	17
108	к другим	2	17
109	сих пор	3	17
110	и для	2	17
111	все что	4	17
112	в одном	3	17
113	и есть	3	17
114	и только	9	17
115	ту же	2	17
116	не есть	2	17
117	в этих	3	17
118	их в	3	17
119	у него	2	17
120	до сих	3	17
121	на этой	3	16
122	для нас	2	16
123	и даже	4	16
124	те же	3	15
125	но как	2	15
126	в начале	2	15
127	со всеми	2	15
128	хотя бы	4	15
129	вообще не	2	15
130	и это	6	15
131	в них	2	15
132	связанные с	2	14
133	с его	7	14
134	не можем	2	14
135	возникает в	2	13
136	они не	2	13
137	отнюдь не	4	13
138	для всех	4	13
139	этой теории	2	13
140	в основном	3	13
141	с другими	3	13
142	и потому	3	12
143	с их	3	12
144	на первый	2	12
145	только на	3	12
146	за пределы	2	12
147	на самом	4	11
148	в каком	2	11
149	находится в	2	11
150	в пределах	2	11
151	с ее	4	11
152	в один	4	11
153	что на	2	11
154	нуждается в	5	11
155	и наконец	4	11
156	не знает	2	11
157	есть в	2	11
158	отношения к	3	11
159	что такое	5	10
160	как с	2	10
161	в конечном	3	10
162	на друга	2	10
163	и т.п	2	10
164	и может	4	10
165	друг на	2	10
166	и значение	3	10
167	учение о	3	10
168	только для	5	9
169	совершенно не	8	9
170	и притом	3	9
171	что можно	2	9
172	оно не	2	9
173	конечном счете	2	9
174	говорить о	2	9
175	что не	2	8
176	во время	3	8
177	и др	3	8
178	все остальные	2	8
179	в этот	2	8
180	нет никаких	2	8
181	не на	2	8
182	только и	2	8
183	только то	2	8
184	с ними	4	7
185	в общем	3	7
186	не существует	2	7
187	в жизни	2	7
188	сознания и	2	7
189	знаем что	2	7
190	этой ступени	2	7
191	момента в	2	6
192	и вообще	2	6
193	на язык	3	6
194	представлений и	3	6
195	потому и	2	6
196	и таким	2	6
197	и о	2	6
198	в детской	2	6
199	нет и	2	6
200	тех же	3	6
201	и мы	2	6
202	из тех	2	5
203	по аналогии	2	5
204	т.е в	2	5
205	в область	2	5
206	в свое	2	5
207	в него	5	5
208	к ним	2	5
209	другими словами	2	5
210	может иметь	2	5
211	эти понятия	2	5
212	а потому	4	5
213	аналогии с	2	5
214	на две	3	5
215	на протяжении	2	5
216	только как	3	5
217	и вот	3	4
218	образов и	2	4
219	почти не	2	4
220	цели и	2	4
221	не удается	2	4
222	в одно	2	4
223	быть может	2	4
224	совсем не	2	4
225	но ведь	2	4
226	ни было	2	4
227	ту сторону	5	4
228	является по	2	4
229	себя и	2	4
230	мы полагаем	3	4
231	есть и	2	4
232	путь к	2	4
233	за счет	2	4
234	и вся	2	4
235	это последнее	2	4
236	жизни и	3	4
237	конечно не	6	4
