N	3gram	Ircho_Kome	Marksizm
1	в то же	5	15
2	по отношению к	5	15
3	то же время	5	15
4	в связи с	3	14
5	в том что	13	14
6	бы то ни	4	12
7	то ни было	4	12
8	для того чтобы	3	11
9	до сих пор	3	11
10	с самого начала	2	10
11	в отличие от	3	10
12	в большинстве случаев	2	9
13	то же самое	2	8
14	с другой стороны	6	7
15	во всяком случае	4	6
16	на то что	2	6
17	с одной стороны	5	6
18	в этом отношении	3	5
19	к тому что	3	5
20	том что он	4	4
21	о том что	6	4
22	тем не менее	2	3
23	в конце концов	4	3
24	в том числе	4	3
25	можно было бы	3	3
26	но и в	2	3
27	таким образом в	2	2
28	из всего этого	2	2
29	что он не	2	2
30	как и в	2	2
31	их точки зрения	2	2
32	к тому же	12	2
33	чуть ли не	2	2
34	друг от друга	2	2
35	так или иначе	4	2
36	в этом смысле	2	2
37	независимо от того	3	2
38	или может быть	2	2
