N	3gram	Trubetskoy	Psycholo
1	в том что	16	78
2	для того чтобы	7	70
3	на то что	7	55
4	в самом деле	5	51
5	заключается в том	3	36
6	о том что	4	34
7	с точки зрения	8	29
8	с одной стороны	2	28
9	до сих пор	15	23
10	не может быть	4	23
11	с другой стороны	4	20
12	на самом деле	7	17
13	во всяком случае	2	14
14	так же как	3	14
15	в то время	2	14
16	заключает в себе	2	13
17	в конце концов	4	12
18	тот факт что	4	11
19	по сравнению с	5	11
20	вместе с тем	3	10
21	том что он	2	10
22	и то что	3	10
23	в том случае	4	9
24	не в состоянии	3	9
25	в том и	2	9
26	в данном случае	3	9
27	мы знаем что	7	8
28	друг с другом	9	8
29	том случае если	4	7
30	а с другой	2	7
31	в свою очередь	2	7
32	только то что	2	7
33	как и в	2	7
34	о которых мы	4	7
35	более или менее	8	6
36	тем не менее	4	6
37	именно потому что	2	6
38	и в том	2	6
39	друг к другу	2	6
40	и может быть	2	6
41	мы все же	2	5
42	в том виде	2	5
43	в целом ряде	3	5
44	но так как	2	4
45	а между тем	8	4
46	к тому же	5	4
47	в настоящее время	3	4
48	мы говорили выше	6	4
49	он не может	2	4
50	одного и того	3	4
51	таким образом в	3	4
52	в этой области	4	4
53	то что у	2	4
54	принять во внимание	2	4
55	и того же	3	4
56	во всех этих	2	3
57	бы то ни	3	3
58	может быть и	4	3
59	ничего общего с	2	3
60	несмотря на то	2	3
61	в этом случае	4	3
62	в то же	2	3
63	которых мы говорили	4	3
64	по отношению к	11	3
65	то же время	2	3
66	что до сих	2	3
67	друг от друга	6	3
68	в высшей степени	2	3
69	но вместе с	2	2
70	все же не	3	2
71	то ни было	3	2
72	а следовательно и	2	2
73	как и все	2	2
74	в связи с	3	2
75	лишь тогда когда	2	2
76	случае если бы	2	2
77	сих пор не	5	2
78	то что это	2	2
79	не может не	3	2
80	указывают на то	2	2
81	он все же	2	2
82	представляет из себя	5	2
83	так или иначе	5	2
