N	3gram	Losev_Dial	slovoVRo
1	и т п	3	72
2	не может быть	4	19
3	в то же	7	18
4	то же время	8	18
5	той или иной	4	15
6	с точки зрения	18	15
7	в той или	3	13
8	с одной стороны	3	11
9	и т д	28	10
10	более или менее	5	9
11	во всяком случае	3	8
12	в зависимости от	2	8
13	с другой стороны	7	6
14	и в то	3	6
15	но все же	2	6
16	в том что	12	5
17	в этом отношении	2	5
18	не только в	2	5
19	может быть и	6	5
20	одной стороны и	3	4
21	никогда не может	2	4
22	друг с другом	2	4
23	до сих пор	4	4
24	можно сказать что	6	4
25	одно и то	8	3
26	в широком смысле	2	3
27	к тому что	3	3
28	и то же	8	3
29	может быть только	2	3
30	в связи с	3	3
31	сама по себе	12	3
32	и в частности	4	2
33	если она не	2	2
34	точки зрения самого	2	2
35	и в нем	3	2
36	ни в чем	2	2
37	вовсе не в	3	2
38	о том что	6	2
39	иметь в виду	4	2
40	что он есть	2	2
41	можно было бы	4	2
42	и не только	4	2
43	это не значит	3	2
44	в то время	2	2
45	с самого начала	2	2
46	как бы ни	2	2
47	и с другой	2	2
48	то время как	2	2
49	и в этом	4	2
50	то или иное	4	2
51	тем не менее	3	2
