N	2gram	Trubetskoy	Vladivir
1	и в	14	116
2	то что	13	71
3	и не	19	67
4	не только	9	65
5	у него	2	65
6	в этом	17	53
7	в том	17	52
8	том что	9	51
9	что в	4	48
10	но и	10	47
11	в конце	3	41
12	в его	4	40
13	и с	7	39
14	и даже	2	36
15	так что	2	35
16	потому что	5	33
17	что он	6	32
18	не может	22	31
19	о том	7	30
20	только в	5	30
21	никогда не	5	29
22	для него	6	29
23	а в	5	27
24	не было	3	26
25	в то	10	25
26	но в	2	25
27	в себе	9	25
28	и то	4	25
29	даже и	2	24
30	точки зрения	11	23
31	может быть	9	23
32	он не	5	23
33	что же	4	23
34	в виде	3	22
35	так как	4	22
36	ни в	2	22
37	в своей	5	21
38	вместе с	4	21
39	в своем	6	20
40	прежде всего	8	20
41	для нас	2	20
42	и что	2	20
43	и потому	3	19
44	таким образом	11	19
45	в течение	2	19
46	не в	4	18
47	как и	4	18
48	что и	3	17
49	в этой	4	17
50	то это	3	17
51	а не	2	17
52	и если	7	17
53	уже не	2	16
54	все же	4	16
55	того что	3	16
56	было бы	5	16
57	к тому	7	16
58	для себя	2	16
59	в котором	2	16
60	не есть	3	16
61	но это	2	15
62	несмотря на	3	15
63	то же	11	15
64	в своих	6	15
65	и к	6	15
66	все эти	2	14
67	и как	3	14
68	и на	5	14
69	мы уже	2	14
70	так же	2	13
71	с тем	6	13
72	да и	3	13
73	и от	2	13
74	что это	3	13
75	в результате	2	13
76	не просто	2	13
77	жизни и	4	13
78	во всем	4	13
79	только на	2	12
80	в нем	5	12
81	и по	3	12
82	связи с	3	12
83	во всяком	9	12
84	то в	3	12
85	если не	2	12
86	по себе	2	12
87	всяком случае	6	12
88	мы должны	7	11
89	или менее	4	11
90	и о	2	11
91	при этом	5	11
92	все это	6	11
93	это есть	2	11
94	в данном	7	11
95	хотя бы	5	11
96	на то	5	11
97	более или	4	11
98	конце концов	3	11
99	к нему	2	10
100	в ней	2	10
101	что все	3	10
102	в качестве	3	10
103	в россии	6	10
104	можно было	4	10
105	еще не	3	10
106	но не	4	10
107	что для	3	10
108	в самом	3	10
109	отнюдь не	7	10
110	с точки	9	10
111	с ним	2	10
112	а с	2	9
113	в начале	2	9
114	по существу	5	9
115	с этим	2	9
116	не будет	7	9
117	именно в	3	9
118	из этого	3	9
119	же время	10	9
120	отношения к	2	9
121	себя в	4	8
122	как бы	4	8
123	это учение	2	8
124	из этих	3	8
125	должно быть	3	8
126	тем что	3	8
127	в этих	2	8
128	и для	6	8
129	со стороны	4	8
130	которой он	4	8
131	конечно не	5	8
132	но даже	2	7
133	и ни	3	7
134	к этой	4	7
135	себе и	4	7
136	по этому	2	7
137	нисколько не	2	7
138	точно так	2	7
139	того чтобы	8	7
140	даже не	2	7
141	если бы	6	7
142	и вот	2	7
143	но если	3	7
144	в таком	2	7
145	и есть	2	7
146	данном случае	3	6
147	его в	4	6
148	на себя	2	6
149	в настоящее	2	6
150	от того	4	6
151	есть и	2	6
152	том же	2	6
153	на основании	2	6
154	тому что	2	6
155	настоящее время	2	6
156	был и	3	6
157	и наконец	2	6
158	для того	6	6
159	главным образом	3	6
160	он сам	3	6
161	но она	2	5
162	но мы	3	5
163	на эту	2	5
164	вопрос о	5	5
165	что бы	3	5
166	друг друга	3	5
167	и тем	2	5
168	вся эта	2	5
169	в их	4	5
170	в частности	2	5
171	она не	2	5
172	этого не	2	5
173	место в	2	5
174	что с	2	5
175	то ни	4	5
176	что они	3	5
177	во время	2	5
178	в области	2	5
179	сводится к	3	5
180	ее в	2	5
181	бы то	4	5
182	только к	3	5
183	в россию	2	5
184	церкви и	9	5
185	во всех	5	5
186	жизни в	5	5
187	из них	3	5
188	и только	5	5
189	как на	8	5
190	не к	2	5
191	не о	2	4
192	к богу	7	4
193	на самом	6	4
194	всех этих	3	4
195	тем самым	2	4
196	о которых	3	4
197	не могут	4	4
198	для нее	2	4
199	но для	2	4
200	ясно что	2	4
201	и вместе	2	4
202	совершенно не	2	4
203	одной из	3	4
204	любви к	2	4
