N	2gram	Tiupa_Narr	Problema
1	и в	19	182
2	то есть	19	165
3	и не	20	152
4	то что	11	144
5	не есть	3	113
6	не только	32	104
7	в этом	17	88
8	может быть	25	82
9	том что	14	81
10	в том	18	81
11	только в	4	73
12	сказать что	4	72
13	но и	23	70
14	и даже	3	66
15	по себе	5	64
16	не менее	3	58
17	о том	6	57
18	так и	9	56
19	тем не	3	56
20	а не	12	56
21	но в	6	55
22	ни в	3	51
23	отнюдь не	5	48
24	в себе	8	48
25	было бы	4	46
26	прежде всего	4	45
27	что в	3	44
28	в его	9	44
29	все эти	2	43
30	не в	14	43
31	как раз	2	42
32	то же	4	42
33	а именно	3	42
34	что мы	2	40
35	что он	6	40
36	не может	10	39
37	в этой	5	39
38	такого рода	7	39
39	и тем	4	39
40	как бы	4	39
41	той или	4	38
42	в данном	5	38
43	хотя бы	4	37
44	того что	2	37
45	в нем	4	37
46	еще не	7	36
47	точки зрения	10	36
48	и все	2	36
49	когда мы	2	35
50	и с	4	34
51	как и	7	34
52	уже не	5	34
53	не является	8	33
54	или иной	5	33
55	в таком	2	33
56	в то	3	32
57	здесь не	4	32
58	но не	6	32
59	в своем	2	31
60	связи с	4	31
61	так же	2	31
62	с другой	8	30
63	и для	2	30
64	некоторого рода	2	29
65	как мы	3	29
66	перед нами	4	29
67	все же	7	29
68	в связи	2	29
69	можно сказать	5	29
70	данном случае	4	28
71	а в	11	28
72	и как	5	27
73	ничего не	2	27
74	хотя и	3	27
75	в результате	2	26
76	как будто	3	26
77	это не	2	26
78	да и	4	26
79	другой стороны	4	26
80	и его	5	26
81	тем самым	6	25
82	с точки	2	25
83	и на	3	25
84	тем более	2	24
85	не имеет	2	24
86	таком случае	2	23
87	при этом	9	23
88	в качестве	21	23
89	никогда не	3	22
90	его в	2	22
91	и есть	2	22
92	есть в	2	22
93	и ее	2	21
94	а также	7	21
95	говорить о	2	21
96	и только	2	21
97	и потому	2	20
98	но как	2	20
99	именно в	6	20
100	о чем	2	20
101	можно было	2	20
102	несмотря на	2	20
103	или в	2	20
104	тем что	3	20
105	того или	2	19
106	то в	6	19
107	если не	4	19
108	он не	3	19
109	уже в	3	19
110	самом деле	2	19
111	как в	7	19
112	жизни и	3	19
113	не будет	3	18
114	в ее	3	18
115	не было	2	18
116	не существует	3	18
117	в ней	3	18
118	пока еще	4	17
119	это и	3	17
120	что они	3	17
121	совершенно не	2	17
122	к тому	7	16
123	но все	4	16
124	же в	4	16
125	далеко не	5	16
126	как это	6	16
127	точно так	2	16
128	будто бы	3	16
129	в частности	14	15
130	у него	4	15
131	что не	4	15
132	в той	6	15
133	не что	2	14
134	говорит о	2	14
135	иное как	2	14
136	что иное	2	14
137	то ни	3	14
138	только о	2	14
139	который в	2	13
140	или даже	2	13
141	мы имеем	2	13
142	в области	2	13
143	или иного	2	13
144	сами по	2	13
145	из них	3	13
146	не являются	2	12
147	так или	2	12
148	на первый	2	12
149	с одной	7	12
150	что это	3	12
151	в литературе	2	12
152	или иначе	3	12
153	он сам	2	12
154	не о	3	11
155	и самого	3	11
156	одной стороны	7	11
157	том или	2	11
158	бы то	3	11
159	жизни в	3	11
160	к нему	5	11
161	не то	2	10
162	один из	3	10
163	однако в	2	10
164	отличается от	4	10
165	что у	2	10
166	или менее	2	10
167	то или	3	10
168	бы не	2	10
169	на том	3	10
170	более или	2	10
171	из которых	4	10
172	она не	2	9
173	языка и	2	9
174	и до	2	9
175	нет и	2	9
176	между собой	2	8
177	а если	2	8
178	для него	2	8
179	если в	3	8
180	не все	5	8
181	в силу	4	8
182	вплоть до	2	8
183	из этих	3	8
