N	3gram	Trubetskoy	VeschiIm
1	то ни было	2	12
2	бы то ни	2	12
3	тем не менее	3	11
4	по крайней мере	5	10
5	в том что	3	9
6	на то что	2	7
7	по сравнению с	2	7
8	с точки зрения	6	6
9	так или иначе	3	6
10	в то же	2	5
11	с этой точки	2	4
12	более или менее	5	4
13	этой точки зрения	2	4
14	о том что	4	4
15	то же время	2	4
16	есть как бы	2	3
17	можно сказать что	2	3
18	вместе с тем	8	3
19	с одной стороны	7	3
20	то ясно что	2	2
21	во всяком случае	6	2
22	но все же	4	2
23	для того чтобы	5	2
24	в этом отношении	2	2
25	а так как	3	2
26	то что он	2	2
27	в связи с	3	2
28	в конце концов	3	2
29	так же как	3	2
30	друг с другом	5	2
31	и таким образом	3	2
32	и в этом	2	2
