N	2gram	Bakhtin_Fr	VerxiiNi
1	и в	67	26
2	таким образом	20	22
3	с тем	3	18
4	в этом	27	15
5	вместе с	5	15
6	точки зрения	7	13
7	как бы	18	12
8	в том	16	11
9	не только	23	10
10	из этих	4	10
11	и с	18	10
12	может быть	4	10
13	что в	14	9
14	так как	16	9
15	в области	2	9
16	связи с	7	9
17	но и	23	9
18	но не	6	8
19	с другой	3	8
20	в общем	5	8
21	и у	7	8
22	и не	23	8
23	как на	6	8
24	но все	2	7
25	в эпоху	17	7
26	к нему	5	7
27	потому что	8	7
28	связанные с	7	7
29	одной стороны	2	7
30	из них	5	7
31	то что	9	7
32	с одной	2	7
33	но в	20	7
34	том что	13	7
35	в отношении	2	6
36	все же	7	6
37	к тому	4	6
38	о том	8	6
39	того же	6	6
40	в себе	3	6
41	в конце	12	6
42	несмотря на	3	6
43	что и	8	6
44	с точки	5	6
45	и т.д	2	6
46	все эти	12	6
47	все это	15	6
48	так и	14	6
49	никогда не	6	5
50	одной из	6	5
51	и для	4	5
52	не имеет	4	5
53	более или	2	5
54	так же	13	5
55	том числе	6	5
56	и к	7	5
57	друг с	2	5
58	того чтобы	9	5
59	лишь в	3	5
60	в его	17	5
61	для того	8	5
62	с другом	2	5
63	а не	6	5
64	тому же	5	5
65	образом в	4	5
66	сих пор	3	5
67	до сих	3	5
68	или менее	2	5
69	на этот	4	4
70	и от	6	4
71	что все	4	4
72	далеко не	6	4
73	а в	4	4
74	с другими	3	4
75	в котором	3	4
76	в самом	7	4
77	в нем	20	4
78	не может	9	4
79	в которых	3	4
80	то есть	49	4
81	целый ряд	2	4
82	то же	18	4
83	числе и	3	4
84	и что	3	4
85	и по	3	4
86	только в	6	4
87	что он	7	4
88	и только	2	4
89	он не	9	4
90	во время	15	4
91	в течение	3	4
92	в этой	13	4
93	в то	17	4
94	что это	4	3
95	в своем	13	3
96	с самого	3	3
97	если в	3	3
98	к ним	2	3
99	и если	3	3
100	хотя бы	2	3
101	к этому	4	3
102	в результате	5	3
103	в значительной	2	3
104	и даже	6	3
105	и как	7	3
106	если бы	2	3
107	же как	4	3
108	в других	2	3
109	при этом	5	3
110	не менее	4	3
111	к концу	2	3
112	у них	2	3
113	когда он	2	3
114	в качестве	5	3
115	и при	2	3
116	в связи	5	3
117	и другие	5	3
118	в таком	2	3
119	и о	8	3
120	можно сказать	4	3
121	в народном	3	3
122	в одном	7	3
123	того что	4	3
124	для него	4	3
125	по своему	5	2
126	мы видели	11	2
127	одно из	2	2
128	сказать что	12	2
129	так например	3	2
130	от тела	2	2
131	связан с	2	2
132	для этого	2	2
133	начиная с	2	2
134	в эту	2	2
135	из этого	5	2
136	и связанные	2	2
137	и это	5	2
138	не могут	3	2
139	а также	4	2
140	на то	2	2
141	в самой	8	2
142	для всех	4	2
143	этот путь	2	2
144	относится к	3	2
145	и сейчас	2	2
146	он в	4	2
147	одновременно и	4	2
148	ко всему	3	2
149	мы можем	5	2
150	между этими	3	2
151	в начале	2	2
152	связь с	3	2
153	по тому	2	2
154	вплоть до	2	2
155	на небе	3	2
156	больше чем	2	2
157	между тем	3	2
158	одним из	7	2
159	к одной	2	2
160	особенно в	4	2
161	благодаря этому	3	2
162	не как	3	2
163	связанных с	6	2
164	из своих	2	2
165	именно в	5	2
166	конечно не	5	2
167	тогда когда	3	2
168	связанный с	2	2
169	в образе	9	2
170	в них	12	2
171	и на	12	2
172	и здесь	6	2
173	еще не	5	2
174	все что	3	2
175	жизни и	11	2
176	пути к	2	2
177	в новом	3	2
178	не было	3	2
179	и больше	2	2
180	превращается в	5	2
181	самого начала	3	2
182	этом отношении	7	2
183	не в	8	2
184	у всех	2	2
185	только для	4	2
186	и наконец	5	2
187	перестает быть	3	2
188	в одно	2	2
189	на все	4	2
190	и все	18	2
191	же время	14	2
192	один из	6	2
193	в виду	2	2
194	со всеми	6	2
195	связано с	3	2
196	пор еще	2	2
197	прежде всего	19	2
198	признать что	2	2
199	его не	5	2
200	тот же	4	2
201	не могло	3	2
202	связана с	5	2
203	с его	11	2
204	во всех	20	2
205	в разных	2	2
206	же самое	3	2
207	в другое	3	2
208	по существу	4	2
