N	2gram	Propp_Isto	KFilosof
1	может быть	37	45
2	в его	10	42
3	в нем	8	32
4	не может	19	29
5	и не	19	28
6	и в	40	28
7	по отношению	6	26
8	в котором	5	24
9	отношению к	6	22
10	не есть	2	22
11	в себе	6	21
12	и его	5	18
13	только в	16	18
14	в своем	5	17
15	в ее	2	17
16	а не	18	17
17	в этом	13	15
18	не в	11	13
19	для него	2	13
20	но не	7	12
21	и это	2	12
22	к нему	3	12
23	ни в	2	12
24	в своей	2	11
25	во всех	3	11
26	все эти	6	11
27	это не	8	10
28	в целом	3	10
29	и для	5	10
30	все это	6	10
31	и есть	5	10
32	в их	6	9
33	но и	21	9
34	как бы	6	9
35	себя в	2	8
36	если бы	8	8
37	не было	3	8
38	со стороны	3	8
39	было бы	11	8
40	в себя	2	8
41	и здесь	15	7
42	должен быть	3	7
43	то что	17	7
44	со мной	2	7
45	уже не	3	7
46	отнюдь не	2	7
47	конечно не	2	7
48	и только	4	7
49	что и	9	7
50	во всем	3	7
51	вовсе не	3	7
52	на основе	6	7
53	этот момент	3	7
54	должно быть	2	6
55	в том	12	6
56	но все	9	6
57	ко мне	4	6
58	и их	4	6
59	я не	5	6
60	но это	8	6
61	он не	10	6
62	никогда не	25	5
63	от его	2	5
64	его в	15	5
65	все же	17	5
66	не только	28	5
67	мы имеем	25	5
68	но как	2	5
69	бы быть	4	5
70	его как	2	5
71	хотя бы	5	5
72	то же	21	5
73	еще не	14	5
74	не знает	7	5
75	а в	15	5
76	но в	13	5
77	как и	5	5
78	именно в	5	5
79	в одном	8	5
80	там где	5	5
81	себя и	2	5
82	с ним	3	5
83	в основе	4	5
84	в каком	2	4
85	что это	12	4
86	тем самым	2	4
87	нет в	2	4
88	но можно	2	4
89	том что	11	4
90	нисколько не	3	4
91	что в	19	4
92	могла бы	3	4
93	не как	3	4
94	не по	2	4
95	ни было	2	4
96	о нем	5	4
97	прежде всего	15	4
98	здесь мы	9	4
99	к ним	4	4
100	для нас	17	4
101	с ними	2	4
102	при этом	6	4
103	во всей	2	4
104	должна быть	5	4
105	между тем	2	4
106	ничего не	6	3
107	ясно и	2	3
108	в то	4	3
109	на самом	3	3
110	здесь не	5	3
111	всех этих	4	3
112	в другом	6	3
113	если ты	2	3
114	в некотором	2	3
115	тем что	7	3
116	и тем	2	3
117	нигде не	2	3
118	в современной	3	3
119	самом деле	2	3
120	в виду	2	3
121	к чему	4	3
122	и тот	3	3
123	и пр	11	3
124	не должен	8	3
125	не менее	7	3
126	только с	4	3
127	о том	12	3
128	мы здесь	8	3
129	что этот	5	3
130	в ней	10	3
131	вступает в	2	3
132	могут быть	5	3
133	и этим	3	3
134	тогда когда	2	3
135	я буду	4	3
136	здесь нет	2	3
137	и на	6	3
138	что не	2	3
139	на своем	2	3
140	того что	6	3
141	мы не	12	3
142	был бы	4	3
143	войти в	2	3
144	один и	2	3
145	тот же	3	3
146	не дает	2	3
147	ясно что	2	3
148	и то	3	2
149	в мир	2	2
150	чтобы не	3	2
151	для этого	3	2
152	и должен	3	2
153	только по	2	2
154	и мы	2	2
155	и потому	3	2
156	я его	2	2
157	к которой	2	2
158	как оно	3	2
159	себе а	2	2
160	и ее	3	2
161	дело в	3	2
162	то ни	2	2
163	к этому	2	2
164	дело не	8	2
165	вопрос о	8	2
166	это было	2	2
167	в это	2	2
168	с ее	2	2
169	к себе	2	2
170	тем не	7	2
171	и как	3	2
172	себя за	2	2
173	в виде	2	2
174	а как	2	2
175	были бы	2	2
176	в области	2	2
177	а с	4	2
178	что он	32	2
179	из которых	3	2
180	вследствие этого	2	2
181	отказаться от	2	2
182	а для	2	2
183	так и	13	2
184	ни к	3	2
185	его и	6	2
186	пройти мимо	3	2
187	может иметь	2	2
188	едва ли	2	2
189	в жизни	2	2
190	с тем	13	2
191	как в	7	2
192	от этого	2	2
193	в него	2	2
194	разве не	2	2
195	она не	6	2
196	дело с	2	2
197	в ту	2	2
198	и она	4	2
199	он может	2	2
200	но есть	3	2
201	ему в	3	2
202	есть на	2	2
203	имеем в	4	2
204	а по	3	2
205	соответствии с	2	2
206	он имеет	2	2
207	и именно	2	2
208	он и	3	2
209	один из	10	2
210	по себе	4	2
211	потому что	12	2
212	раз и	3	2
213	того чтобы	3	2
214	и когда	4	2
215	что эта	3	2
216	слова в	2	2
217	и эти	4	2
218	именно на	2	2
219	в качестве	8	2
220	быть не	2	2
221	в этой	9	2
222	мы получим	2	2
223	бы то	2	2
