N	2gram	Berdyaev_M	Istorich
1	и в	61	181
2	т е	5	133
3	может быть	42	115
4	не только	42	114
5	что он	16	111
6	что в	12	90
7	но и	34	85
8	в этом	34	81
9	так как	10	75
10	то что	10	73
11	вместе с	7	71
12	и не	26	67
13	все же	2	65
14	мы видим	4	65
15	в этих	6	64
16	не может	39	61
17	так же	5	57
18	то же	4	56
19	никогда не	30	56
20	в том	9	53
21	том что	7	53
22	а в	4	52
23	потому что	25	52
24	что и	6	51
25	и что	4	51
26	и здесь	6	51
27	о том	5	48
28	а не	36	48
29	его в	6	47
30	не в	16	47
31	но в	12	44
32	это не	10	43
33	и его	13	43
34	в нем	26	42
35	только в	7	42
36	как в	9	42
37	этот случай	2	42
38	в его	10	38
39	для нас	3	38
40	тем что	7	38
41	и на	9	38
42	так и	5	37
43	он не	34	37
44	уже не	8	37
45	как и	14	37
46	мы увидим	4	36
47	с тем	10	35
48	что они	4	35
49	все эти	3	35
50	мы не	2	35
51	что это	5	34
52	но не	8	34
53	у него	38	34
54	об этом	2	33
55	сих пор	5	32
56	в иное	2	31
57	ничего не	4	31
58	прежде всего	18	31
59	один из	9	31
60	с этим	4	30
61	в русской	4	30
62	до сих	5	30
63	к нему	8	30
64	но это	8	29
65	что она	5	28
66	в иной	3	28
67	и с	6	28
68	как он	4	27
69	так что	3	27
70	в образе	4	27
71	того что	13	27
72	могут быть	2	27
73	в ином	2	27
74	иной мир	4	26
75	в ней	23	26
76	вопрос о	7	25
77	и он	21	25
78	было бы	11	24
79	если бы	5	24
80	к этому	3	24
81	того как	3	24
82	все это	6	23
83	когда он	3	23
84	в этой	12	23
85	и это	16	23
86	как бы	10	23
87	и по	4	22
88	с ним	5	22
89	сказать что	5	21
90	к тому	6	21
91	они не	4	21
92	связано с	5	21
93	она не	9	20
94	в свете	3	20
95	и как	3	19
96	после того	2	19
97	что у	3	19
98	все еще	2	19
99	с собой	5	19
100	на том	3	19
101	есть и	6	19
102	живет в	2	19
103	но он	17	19
104	не все	3	18
105	в то	2	18
106	и этим	2	17
107	в них	5	17
108	связана с	9	16
109	и она	5	16
110	и все	13	16
111	в котором	9	16
112	во всех	3	16
113	в своей	18	15
114	и то	2	15
115	его и	2	15
116	друг друга	12	15
117	тот кто	5	15
118	в которых	5	15
119	как будто	4	15
120	он в	4	15
121	и там	10	15
122	увидим что	5	15
123	от него	4	14
124	отношение к	9	14
125	у нас	13	14
126	с того	2	14
127	должна быть	7	14
128	с этой	4	14
129	на смену	3	14
130	мы еще	4	14
131	в него	3	14
132	должен был	4	14
133	с ней	3	14
134	отношению к	4	14
135	и есть	21	14
136	его на	4	14
137	и ее	2	14
138	по отношению	4	14
139	него и	3	14
140	к своему	2	13
141	что иное	4	13
142	и для	7	13
143	все что	5	13
144	и от	3	13
145	его не	5	13
146	на этом	5	13
147	в своем	17	13
148	же можно	2	13
149	время как	2	13
150	и у	3	13
151	не имеет	7	13
152	в себе	12	13
153	по себе	2	13
154	то время	2	13
155	во всем	5	12
156	в их	4	12
157	к этой	3	12
158	и их	3	12
159	одним из	2	12
160	в более	4	12
161	хотя бы	8	12
162	к себе	3	12
163	о нем	2	12
164	не знает	12	12
165	что не	3	12
166	к ней	6	12
167	и вот	7	11
168	от этого	4	11
169	никто не	3	11
170	и более	2	11
171	если он	7	11
172	относится к	2	11
173	только с	3	11
174	точки зрения	6	11
175	хотя и	2	11
176	в этот	2	11
177	уже в	6	11
178	стоит на	2	11
179	человека в	26	11
180	иное как	4	11
181	я не	4	11
182	не что	4	11
183	должны быть	3	11
184	приходит к	2	10
185	что же	2	10
186	в ее	3	10
187	и тот	2	10
188	но если	4	10
189	есть только	2	10
190	за собой	2	10
191	на земле	7	10
192	он и	2	10
193	не мог	6	10
194	не как	4	10
195	и других	2	10
196	ли он	2	10
197	в которой	8	10
198	ни в	3	10
199	его к	2	10
200	о чем	3	10
201	не было	25	10
202	себя в	6	10
203	и к	9	10
204	а как	2	9
205	он должен	4	9
206	в истории	2	9
207	в основе	4	9
208	в свою	5	9
209	что за	2	9
210	которой он	2	9
211	не могут	6	9
212	означает что	3	9
213	это и	7	9
214	тогда когда	2	9
215	на этот	2	9
216	но для	2	9
217	жизни и	6	9
218	не будет	3	9
219	стоит в	3	9
220	же не	2	9
221	в чем	3	9
222	себе в	3	9
223	и вместе	4	9
224	с его	6	9
225	целый ряд	2	9
226	приводит к	2	9
227	в царстве	2	9
228	не имеют	2	8
229	он же	3	8
230	должен быть	4	8
231	роль в	2	8
232	у них	4	8
233	одно из	3	8
