N	2gram	Vinokur_St	Myslijsy
1	потому что	13	182
2	то есть	2	142
3	и в	61	121
4	может быть	16	107
5	в том	56	103
6	то что	27	83
7	в слове	5	78
8	для нас	7	75
9	что в	41	73
10	и не	23	73
11	только в	11	72
12	не только	36	67
13	а не	19	67
14	таким образом	16	64
15	том что	49	59
16	так как	7	59
17	в этом	37	59
18	но и	28	59
19	то же	7	56
20	не в	15	54
21	если бы	11	53
22	в себе	3	53
23	не может	10	52
24	по себе	3	52
25	того что	14	47
26	в сознании	2	46
27	в нем	9	45
28	было бы	21	45
29	как и	11	42
30	так что	8	39
31	вместе с	5	39
32	мы не	3	38
33	что и	8	38
34	так и	15	37
35	при этом	4	37
36	как в	15	37
37	что мы	5	36
38	точно так	2	35
39	тем что	6	33
40	и что	8	32
41	по отношению	3	30
42	а в	18	30
43	но не	5	29
44	что не	3	29
45	между тем	7	29
46	вовсе не	24	28
47	есть только	2	28
48	для него	10	28
49	могут быть	5	27
50	с этим	6	27
51	и т	36	26
52	не было	7	26
53	отношению к	3	26
54	языка и	4	25
55	этого слова	2	25
56	в то	10	24
57	с тем	3	23
58	того как	8	23
59	как бы	8	23
60	но в	16	22
61	а потому	2	22
62	не имеет	5	22
63	с другой	11	22
64	то это	3	22
65	и потому	3	21
66	не менее	8	21
67	в ней	9	20
68	в одном	7	20
69	это не	8	20
70	мысль о	2	20
71	тем самым	2	19
72	и как	2	19
73	и то	6	19
74	сказать что	9	19
75	что это	5	19
76	из этих	7	19
77	но это	9	19
78	тем не	4	19
79	о том	30	19
80	того же	4	19
81	в каком	4	18
82	для того	15	18
83	еще не	4	18
84	не могут	2	18
85	по поводу	13	18
86	бы не	2	18
87	в самом	14	18
88	что я	3	18
89	в таком	4	18
90	в его	19	17
91	по крайней	2	17
92	крайней мере	2	17
93	со стороны	7	17
94	точки зрения	16	17
95	что оно	4	17
96	во всяком	8	17
97	уже в	3	17
98	в своем	8	16
99	к тому	9	16
100	в которой	13	16
101	так же	7	16
102	или же	3	16
103	если б	5	16
104	в них	2	16
105	на то	5	16
106	и на	7	16
107	и по	6	15
108	т д	25	15
109	в этих	5	15
110	с одной	3	15
111	думать что	2	15
112	и тем	3	15
113	что он	23	15
114	прежде всего	11	15
115	и без	4	14
116	должны быть	4	14
117	связи с	3	14
118	в истории	5	14
119	там где	6	14
120	то в	3	14
121	столь же	5	14
122	в котором	11	14
123	все же	12	14
124	во всех	8	14
125	бы ни	3	14
126	же время	5	14
127	смысле этого	2	13
128	что все	3	13
129	и все	3	13
130	т п	11	13
131	том смысле	4	13
132	например в	8	13
133	а между	2	13
134	из них	11	13
135	и его	11	13
136	как на	10	13
137	никогда не	7	12
138	одно из	3	12
139	что же	6	12
140	что на	3	12
141	все это	13	12
142	есть в	2	12
143	тем более	4	12
144	сих пор	12	12
145	что такое	2	12
146	оно не	3	12
147	или менее	2	12
148	в чем	4	12
149	только потому	2	12
150	хотя и	4	12
151	другой стороны	9	12
152	в каждом	3	12
153	более или	2	12
154	всяком случае	8	12
155	до сих	13	12
156	той же	5	11
157	того чтобы	15	11
158	в первом	2	11
159	и вообще	5	11
160	что для	4	11
161	и их	3	11
162	его в	4	11
163	если не	4	11
164	к нему	2	11
165	с нею	3	11
166	сами по	2	11
167	и это	4	11
168	и только	3	11
169	быть не	2	11
170	одной стороны	2	10
171	между прочим	10	10
172	том как	4	10
173	что только	2	10
174	и для	4	10
175	хотя бы	8	10
176	в других	2	10
177	тем же	3	10
178	тому что	8	10
179	это слово	6	10
180	и от	2	10
181	бы в	2	10
182	он не	11	10
183	и с	6	10
184	то время	2	10
185	что как	3	10
186	что при	3	10
187	вопрос о	9	9
188	разница между	3	9
189	то не	3	9
190	поэзии и	3	9
191	до того	4	9
192	никто не	4	9
193	во многих	3	9
194	не все	3	9
195	это было	2	9
196	и даже	8	9
197	на него	3	9
198	известно что	2	9
199	и о	4	9
200	с точки	10	9
201	самом деле	14	9
202	в целом	5	9
203	во время	5	9
204	можно сказать	2	9
205	что она	5	9
206	на самом	8	8
207	при помощи	4	8
208	на вопрос	7	8
209	так например	12	8
210	такое же	2	8
211	тот же	2	8
212	отношений между	3	8
213	не как	2	8
214	что они	9	8
215	и более	4	8
216	но все	9	8
217	их в	2	8
218	именно в	8	8
219	в которых	5	8
220	только не	2	8
221	внимание на	5	8
222	была бы	10	8
223	на все	2	8
224	этом случае	3	8
225	и тогда	2	8
226	не так	2	8
227	которые не	3	8
228	по его	5	8
229	судя по	2	8
230	говорить о	3	8
231	не имеют	2	7
232	для себя	3	7
233	столько же	3	7
234	а как	5	7
235	том же	3	7
236	одном из	4	7
237	на основании	2	7
238	самого начала	3	7
239	в эту	3	7
240	она не	3	7
241	с самого	4	7
242	во втором	5	7
243	и во	3	7
244	место в	2	7
245	все эти	7	7
246	за пределы	2	7
247	превращается в	2	7
248	с этой	5	7
249	что у	8	7
250	в своих	2	7
251	но что	2	7
252	и теперь	2	7
253	вряд ли	8	7
254	все в	2	7
255	что именно	2	7
256	не всегда	2	7
257	для понимания	2	7
258	даже и	2	7
259	не были	2	7
260	было в	2	7
261	в данном	16	7
262	бы и	4	7
263	на это	2	7
264	к этому	4	7
265	о котором	2	7
266	этом смысле	2	7
267	не существует	4	7
268	допустим что	2	7
269	видно что	3	7
270	несмотря на	4	7
271	но если	5	6
272	в виду	6	6
273	таким путем	2	6
274	как он	3	6
275	что ни	2	6
276	на его	2	6
277	могло бы	3	6
278	в образе	3	6
279	в ее	6	6
280	в своей	12	6
281	должна быть	3	6
282	в этой	13	6
283	при таком	2	6
284	у нас	12	6
285	после того	5	6
286	на нее	3	6
287	и к	5	6
288	давно уже	3	6
289	к которому	4	6
290	в их	3	6
291	в виде	3	6
292	его не	3	6
293	себе в	2	6
294	что с	4	6
295	и до	2	6
296	в сущности	2	6
297	приводит в	2	6
298	да и	4	6
299	как например	2	6
300	хотя в	2	6
301	об этом	9	6
302	а именно	3	6
303	не могло	4	6
304	заключается в	5	6
305	но на	2	6
306	жизни и	6	6
307	и уже	3	6
308	ничего общего	3	6
309	же и	4	6
310	у него	3	6
311	лишь в	3	6
312	но он	5	6
313	из того	2	5
314	в процессе	3	5
315	или лучше	2	5
316	были бы	2	5
317	от своего	2	5
318	оба эти	4	5
319	а с	6	5
320	можно было	14	5
321	общего с	3	5
322	они не	2	5
323	не говоря	2	5
324	из которого	2	5
325	это можно	3	5
326	если в	2	5
327	но только	2	5
328	отношение к	3	5
329	вытекает из	2	5
330	если это	3	5
331	в представлении	2	5
332	на которой	2	5
333	языка не	2	5
334	этот вопрос	6	5
335	о которых	3	5
336	во внимание	2	5
337	и языка	6	5
338	чем в	3	5
339	даже в	5	5
340	не подлежит	2	5
341	и у	2	5
342	что до	3	5
343	в области	16	5
344	к первому	2	5
345	ответ на	4	5
346	не столько	6	5
347	нужно было	2	5
348	бы только	2	5
349	значительной степени	3	5
350	но эти	2	5
351	мы имеем	2	5
352	а к	2	5
353	в начале	5	5
354	времени и	4	5
355	по мнению	4	5
356	о языке	2	5
357	одним из	2	5
358	что то	2	5
359	не по	5	5
360	в течение	7	5
361	отношении к	3	5
362	в какой	4	5
363	лучше сказать	2	5
364	время как	2	5
365	на этот	5	5
366	само собою	2	5
367	и здесь	2	5
368	в той	9	5
369	можно назвать	3	5
370	конечно не	2	5
371	не к	2	5
372	виде в	2	4
373	данном случае	7	4
374	бы мы	2	4
375	начиная с	2	4
376	в другом	5	4
377	не могла	2	4
378	к своему	3	4
379	относятся к	3	4
380	в такой	2	4
381	этой мысли	2	4
382	от этого	2	4
383	на который	2	4
384	иначе и	2	4
385	было для	2	4
386	то ни	2	4
387	не на	3	4
388	в применении	3	4
389	кажется что	5	4
390	иметь в	2	4
391	что так	3	4
392	дело в	9	4
393	не имели	2	4
394	можно считать	2	4
395	в наших	2	4
396	более чем	3	4
397	появления в	2	4
398	отказаться от	2	4
399	не мог	3	4
400	ни в	5	4
401	еще более	5	4
402	но с	7	4
403	одним и	2	4
404	не дает	2	4
405	он должен	2	4
406	ничего не	6	4
407	не потому	3	4
408	не зная	2	4
409	не знает	2	4
410	по своему	2	4
411	в голову	2	4
412	мы находим	4	4
413	по этому	5	4
414	на них	2	4
415	бы то	2	4
416	с его	3	4
417	из нее	3	4
418	смысле что	2	4
419	и вполне	4	4
420	этом отношении	13	4
421	такой же	6	4
422	что касается	4	4
423	так или	3	4
424	и так	3	4
425	для кого	2	4
426	из двух	3	4
427	во многом	3	4
428	обратить внимание	4	4
429	стремление к	3	4
430	что во	3	4
431	в некоторых	3	4
432	отношения к	2	4
433	в свой	2	3
434	что ему	2	3
435	нисколько не	3	3
436	в отношении	11	3
437	что здесь	2	3
438	должно было	5	3
439	должен быть	3	3
440	доказать что	2	3
441	ни были	2	3
442	и всегда	2	3
443	же касается	3	3
444	быть в	2	3
445	одной из	4	3
446	что этот	3	3
447	а если	2	3
448	для них	2	3
449	в известном	3	3
450	не была	2	3
451	что значит	2	3
452	на чем	2	3
453	уже при	2	3
454	для этого	2	3
455	что от	2	3
456	в развитии	2	3
457	еще до	4	3
458	применении к	3	3
459	бы это	2	3
460	кроме того	3	3
461	таком виде	2	3
462	от его	2	3
463	но нет	2	3
464	следовало бы	2	3
465	ни с	3	3
466	связанные с	3	3
467	нет возможности	2	3
468	его жизни	3	3
469	у меня	3	3
470	до него	3	3
471	что эта	5	3
472	в новом	4	3
473	как будто	5	3
474	о которой	3	3
475	без всякого	2	3
476	ясно что	10	3
477	которые в	2	3
478	в одной	3	3
479	ближайшим образом	2	3
480	но для	3	3
481	ср с	2	3
482	даже не	5	3
483	в свое	3	3
484	как это	6	3
485	так а	2	3
486	дело с	2	3
487	а то	3	3
488	в общем	2	3
489	него самого	2	3
490	не нашел	2	3
491	уже о	6	3
492	значит что	3	3
493	совсем не	3	3
494	говоря уже	2	3
495	и я	5	3
496	случае не	3	3
497	в двух	4	3
498	многих случаях	2	3
499	с которыми	3	3
500	место из	2	3
501	это в	4	3
502	в результате	5	3
503	должен был	5	3
504	как о	2	3
505	что нет	2	3
506	ее в	2	3
507	или иначе	3	3
508	их и	2	3
509	о значении	3	3
510	в форме	2	3
511	бы что	3	3
512	этого образа	2	3
513	не значит	3	3
514	еще и	5	2
515	я с	3	2
516	свое время	3	2
517	наших глазах	2	2
518	не знали	2	2
519	без всяких	2	2
520	по словам	7	2
521	словам в	2	2
522	и эти	2	2
523	факт что	6	2
524	или с	2	2
525	им самим	2	2
526	значение для	2	2
527	для своего	2	2
528	в г	10	2
529	ли в	3	2
530	и об	7	2
531	только тем	2	2
532	того времени	8	2
533	следующее место	2	2
534	быть и	2	2
535	судить по	3	2
536	них это	2	2
537	в остальных	3	2
538	в первой	12	2
539	только к	2	2
540	с их	2	2
541	целый ряд	3	2
542	каждого из	3	2
543	и почему	4	2
544	во второй	10	2
545	смотрел на	4	2
546	д и	2	2
547	нет ни	3	2
548	люди которые	3	2
549	по своей	2	2
550	о состоянии	2	2
551	тому же	2	2
552	им в	2	2
553	стороны в	2	2
554	где нет	2	2
555	в это	3	2
556	то нужно	2	2
557	хотя это	2	2
558	сам в	3	2
559	его собственной	3	2
560	ему не	3	2
561	который был	2	2
562	значения как	2	2
563	могло быть	3	2
564	нуждается в	2	2
565	вопроса о	3	2
566	а во-вторых	2	2
567	а на	4	2
568	этих словах	2	2
569	это и	5	2
570	и за	3	2
571	что поэтому	2	2
572	нас не	3	2
573	и такие	2	2
574	во времена	4	2
575	только с	4	2
576	история литературы	2	2
577	же как	5	2
578	на которое	2	2
579	но столь	2	2
580	из его	3	2
581	я не	13	2
582	вообще можно	2	2
583	истории и	2	2
584	же это	3	2
585	от степени	2	2
586	всех этих	2	2
587	дело не	4	2
588	от которого	2	2
589	то или	3	2
590	отличается от	2	2
591	где он	2	2
592	никем не	2	2
593	и сам	4	2
594	это положение	2	2
595	очевидно не	2	2
596	и насколько	2	2
597	как следствие	2	2
598	кто знает	2	2
599	на меня	2	2
600	в отдельных	2	2
601	к его	2	2
602	я думаю	11	2
603	всякий раз	2	2
604	не могу	2	2
605	зависимости от	2	2
606	в прямом	2	2
607	не для	3	2
608	этих двух	4	2
609	похоже на	3	2
610	ни для	2	2
611	имеем дело	2	2
