N	2gram	Vygotskiy_	RusskieA
1	и в	33	79
2	в том	44	64
3	том что	41	59
4	что в	33	57
5	не только	28	41
6	так как	20	34
7	в этом	43	33
8	и другие	13	33
9	состоит в	11	32
10	как бы	11	31
11	но и	14	31
12	в других	2	30
13	как и	13	28
14	может быть	15	28
15	и на	11	28
16	в этот	4	26
17	о том	13	23
18	при этом	9	22
19	это не	8	20
20	как мы	20	20
21	а в	5	20
22	из них	6	19
23	представляют собой	4	18
24	все это	2	18
25	с тем	9	17
26	потому что	40	17
27	показывает что	9	17
28	то что	48	17
29	таким образом	30	17
30	вместе с	9	17
31	мы не	6	16
32	один из	4	15
33	или на	2	15
34	у нас	4	14
35	мы видели	10	14
36	не менее	4	14
37	в них	3	14
38	как это	11	14
39	и не	18	14
40	и с	7	14
41	и что	18	14
42	так что	8	13
43	и по	5	13
44	к этому	7	13
45	не может	31	13
46	еще не	11	13
47	как в	7	13
48	в которых	2	13
49	в виде	3	12
50	между собой	17	12
51	этом случае	5	12
52	мы имеем	4	12
53	тем что	12	12
54	что на	2	11
55	но это	4	11
56	мы увидим	3	11
57	не имеет	7	11
58	его в	6	10
59	и других	7	10
60	так и	8	10
61	по существу	5	10
62	между тем	5	10
63	все же	5	10
64	что и	11	10
65	том чтобы	3	10
66	представляет собой	11	10
67	данном случае	3	9
68	о чем	3	9
69	но в	9	9
70	к жизни	7	9
71	и все	2	9
72	что они	8	9
73	того как	6	9
74	с ней	3	9
75	то же	12	9
76	но не	13	9
77	так же	22	8
78	того что	34	8
79	как уже	5	8
80	в данном	4	8
81	того чтобы	26	8
82	их в	3	8
83	же в	2	8
84	связи с	9	8
85	представление о	2	8
86	во всех	3	8
87	подобно тому	6	8
88	ее в	3	8
89	для того	20	8
90	в этих	7	8
91	тому как	6	8
92	состояла в	2	8
93	в своем	11	7
94	мы должны	13	7
95	ничего не	6	7
96	в настоящее	2	7
97	в свете	4	7
98	не в	10	7
99	а с	3	7
100	к нему	4	7
101	предположить что	3	7
102	настоящее время	2	7
103	животных и	2	7
104	было бы	18	7
105	до конца	3	7
106	для этого	3	7
107	из этих	2	7
108	и как	7	7
109	еще в	3	7
110	не можем	2	7
111	не совсем	2	7
112	только в	21	7
113	связанные с	6	7
114	как будто	2	7
115	а не	14	7
116	в этой	8	6
117	должны были	3	6
118	и их	4	6
119	на этом	8	6
120	в их	4	6
121	только на	3	6
122	тому что	14	6
123	она не	2	6
124	к тому	14	6
125	в нем	10	6
126	же как	9	6
127	с ними	4	6
128	все эти	9	6
129	в качестве	13	6
130	чем в	6	6
131	в одном	3	6
132	что она	3	6
133	должен был	3	6
134	но они	2	6
135	после того	2	6
136	и более	8	6
137	на нее	2	6
138	видели что	2	6
139	и другой	2	6
140	приводит к	10	6
141	на самом	3	5
142	вопрос о	15	5
143	и потому	3	5
144	в тех	2	5
145	но если	7	5
146	нас к	6	5
147	тогда когда	10	5
148	что он	40	5
149	нет никаких	2	5
150	вывод что	2	5
151	прежде всего	5	5
152	эта теория	5	5
153	к ним	2	5
154	в свою	5	5
155	с этим	9	5
156	в то	5	5
157	в целом	8	5
158	тогда как	3	5
159	в связи	6	5
160	там где	2	5
161	тот же	7	5
162	в его	15	5
163	по поводу	3	5
164	это предположение	5	5
165	то и	2	5
166	можно было	11	5
167	только для	2	5
168	ничего общего	6	5
169	стоит в	5	5
170	в целях	2	5
171	не с	2	5
172	и для	3	5
173	с другой	11	5
174	и к	7	5
175	отнюдь не	2	5
176	или даже	2	5
177	с ним	6	5
178	мы уже	4	5
179	к таким	2	5
180	что сила	2	4
181	которые в	4	4
182	если в	4	4
183	и ее	2	4
184	иное как	2	4
185	не что	2	4
186	влияние на	2	4
187	и при	4	4
188	таким же	3	4
189	только тогда	5	4
190	его и	4	4
191	в основном	2	4
192	отличие от	3	4
193	не столько	3	4
194	могут быть	7	4
195	не на	5	4
196	во всей	3	4
197	этого слова	3	4
198	и другим	2	4
199	во всяком	4	4
200	в основе	12	4
201	и от	2	4
