N	2gram	Medvedev_F	Psycholo
1	то что	14	193
2	и в	54	190
3	в том	17	163
4	что в	10	123
5	потому что	2	114
6	том что	3	113
7	и что	2	108
8	может быть	30	107
9	таким образом	28	102
10	в этом	39	100
11	все время	7	86
12	в самом	17	82
13	как бы	10	80
14	для того	3	78
15	того чтобы	4	78
16	что он	8	76
17	не только	14	75
18	на то	2	73
19	и не	34	73
20	самом деле	12	70
21	и т	22	69
22	точки зрения	21	69
23	не может	26	68
24	если мы	5	66
25	так как	4	63
26	так же	5	63
27	было бы	10	56
28	если бы	8	55
29	то же	16	54
30	при этом	14	52
31	как и	18	51
32	что и	10	50
33	а не	11	50
34	только в	6	46
35	в сущности	3	46
36	сказать что	3	46
37	по себе	10	46
38	в искусстве	6	45
39	к тому	6	45
40	не в	16	45
41	в этой	10	43
42	искусства и	5	43
43	ясно что	3	43
44	никогда не	6	42
45	и все	9	42
46	вместе с	8	41
47	как это	8	40
48	но и	18	40
49	при помощи	2	39
50	как раз	8	39
51	того что	7	39
52	т п	11	38
53	что искусство	2	37
54	и это	4	37
55	и как	6	36
56	с тем	11	35
57	вовсе не	18	34
58	и если	2	34
59	и его	27	34
60	как на	5	34
61	когда он	3	33
62	все же	8	33
63	тому что	3	33
64	все это	11	32
65	художественного произведения	27	32
66	в себе	4	32
67	в ней	15	31
68	мы не	6	31
69	в его	30	31
70	он не	8	31
71	мы увидим	5	30
72	как в	12	30
73	с одной	5	29
74	и для	5	29
75	искусства в	4	29
76	с точки	17	29
77	одной стороны	5	29
78	в нем	25	29
79	что они	4	28
80	в основе	7	27
81	с другой	8	27
82	в своих	3	27
83	а в	11	27
84	и на	10	27
85	так что	2	26
86	совершенно не	5	26
87	искусство как	2	26
88	произведение искусства	4	26
89	художественной формы	2	25
90	и здесь	8	25
91	жизни и	10	25
92	до конца	9	24
93	в целом	7	24
94	и совершенно	2	24
95	художественное произведение	8	24
96	до сих	7	24
97	тем что	6	24
98	в своем	12	23
99	сих пор	7	23
100	для этого	6	23
101	целый ряд	4	23
102	из этого	2	23
103	что если	2	23
104	могут быть	7	23
105	что оно	4	23
106	один из	4	23
107	и даже	7	22
108	т д	11	22
109	как она	5	22
110	с этим	6	22
111	между тем	4	22
112	из них	5	22
113	в своей	16	21
114	как мы	10	21
115	и вот	2	21
116	в конце	2	21
117	том чтобы	3	21
118	ни в	3	21
119	в котором	2	21
120	что эта	2	21
121	той же	2	21
122	и только	5	21
123	она не	8	20
124	все эти	12	20
125	в то	14	20
126	это не	4	20
127	несмотря на	2	20
128	там где	3	20
129	другой стороны	5	20
130	на этом	2	20
131	в ее	10	19
132	в какой	3	19
133	в одном	2	19
134	на самом	8	18
135	перед нами	3	18
136	но в	9	18
137	был бы	2	18
138	но не	5	18
139	в которой	5	18
140	с этой	4	18
141	зависимости от	5	18
142	в виду	2	17
143	одна из	2	17
144	что для	3	17
145	только не	2	17
146	во всяком	6	17
147	у нас	6	17
148	из этих	4	17
149	но это	4	17
150	и о	3	17
151	так и	24	16
152	самого начала	2	16
153	та же	3	16
154	не имеет	2	16
155	сводится к	6	16
156	и к	7	16
157	от того	2	16
158	и тем	3	16
159	же как	3	16
160	к этому	3	16
161	формы и	7	16
162	с самого	2	16
163	в таком	2	16
164	и потому	9	15
165	искусства как	2	15
166	мы знаем	3	15
167	в зависимости	4	15
168	еще не	6	15
169	не могут	8	15
170	далеко не	2	15
171	что именно	2	15
172	только на	8	15
173	в частности	4	15
174	в них	4	15
175	во всех	9	15
176	в результате	8	15
177	для него	9	15
178	не можем	3	15
179	прав когда	2	14
180	что на	3	14
181	очевидно что	2	14
182	не то	3	14
183	должна быть	11	14
184	в художественном	5	14
185	хотя бы	10	14
186	столь же	2	14
187	главным образом	5	14
188	по существу	8	14
189	с ним	3	14
190	есть только	3	14
191	это и	7	14
192	прежде всего	34	14
193	в области	6	14
194	при таком	5	14
195	бы в	6	14
196	этом отношении	7	14
197	такой же	2	14
198	в жизни	3	14
199	всяком случае	6	14
200	или в	2	14
201	этих двух	2	14
202	но он	2	14
203	должен был	3	13
204	как он	2	13
205	могло бы	2	13
206	точка зрения	3	13
207	не могли	2	13
208	искусства не	2	13
209	именно в	12	13
210	этот вопрос	2	13
211	отнюдь не	13	13
212	едва ли	3	13
213	со стороны	7	13
214	могла бы	3	13
215	говорит он	7	13
216	знаем что	2	13
217	в той	3	13
218	и этот	2	12
219	идет о	3	12
220	состоит в	3	12
221	художественном произведении	4	12
222	в этих	3	12
223	в самой	2	12
224	их в	2	12
