N	3gram	Tiupa_Anal	KulturaY
1	и т п	3	93
2	для того чтобы	3	38
3	с точки зрения	6	36
4	в том что	13	33
5	в самом деле	3	29
6	тем не менее	3	19
7	с другой стороны	2	17
8	в том чтобы	7	14
9	по крайней мере	4	13
10	по отношению к	9	13
11	в связи с	2	12
12	в этом отношении	5	11
13	и в самом	3	11
14	не может быть	17	11
15	о том что	8	10
16	в этом смысле	3	10
17	того или иного	3	9
18	не в том	3	8
19	не только в	3	8
20	в этом случае	4	8
21	в той мере	2	7
22	той мере в	2	7
23	мере в какой	2	7
24	с одной стороны	6	7
25	в то же	9	6
26	той или иной	8	6
27	к тому же	6	6
28	этой точки зрения	2	6
29	то же время	7	6
30	в свое время	3	6
31	в отличие от	8	6
32	более или менее	2	5
33	в соответствии с	2	5
34	дело не в	2	5
35	в данном случае	3	5
36	и в этом	4	5
37	с этой точки	2	5
38	в конечном счете	5	4
39	в первом случае	2	4
40	одного и того	2	4
41	том что он	2	4
42	к тому что	2	4
43	лишь в том	3	4
44	на то что	2	4
45	состоит в том	6	4
46	в том и	2	4
47	и того же	2	4
48	в таком случае	5	3
49	на себя внимание	3	3
50	не могут быть	2	3
51	и тогда когда	2	3
52	того что в	2	3
53	все той же	2	3
54	как раз и	2	3
55	в известном смысле	2	3
56	тех или иных	3	3
57	большей или меньшей	4	3
58	и не в	4	3
59	между тем как	2	2
60	бы то ни	3	2
61	и то же	2	2
62	не что иное	5	2
63	так и не	5	2
64	прежде всего в	2	2
65	из того что	3	2
66	том или ином	4	2
67	в широком смысле	2	2
68	и тот же	2	2
69	не более чем	4	2
70	в том числе	3	2
71	что иное как	6	2
72	а не с	2	2
73	сами по себе	3	2
74	быть не может	3	2
75	обращает на себя	3	2
76	по природе своей	3	2
77	в той или	3	2
78	в данный момент	2	2
