N	3gram	Losev_Dial	Mirosoze
1	не может быть	4	28
2	в том что	12	9
3	это и есть	3	9
4	в нем есть	6	7
5	друг к другу	2	6
6	о том что	6	6
7	и в нем	3	6
8	и в этом	4	6
9	может быть и	6	5
10	до сих пор	4	5
11	не было бы	2	5
12	в конце концов	4	4
13	что он не	2	4
14	на то что	4	4
15	не что иное	4	4
16	в нем нет	3	4
17	то время как	2	4
18	потому что он	5	4
19	можно было бы	4	4
20	в то время	2	4
21	что иное как	4	4
22	во всяком случае	3	3
23	это значит что	16	3
24	одна и та	5	3
25	но это не	2	3
26	и та же	5	3
27	я никогда не	3	3
28	– все это	3	3
29	к тому что	3	3
30	потому что она	3	3
31	есть не что	3	3
32	как будто бы	3	3
33	так как он	2	3
34	по сравнению с	2	3
35	никогда не есть	2	2
36	т е в	3	2
37	никогда не может	2	2
38	в них нет	2	2
39	в этом отношении	2	2
40	не только в	2	2
41	ни в чем	2	2
42	это не значит	3	2
43	в том смысле	4	2
44	бы и не	2	2
45	что в нем	4	2
