N	3gram	Vygotskiy_	EvropaiC
1	в том что	33	16
2	до сих пор	3	15
3	по отношению к	19	11
4	друг с другом	10	9
5	с точки зрения	12	8
6	на самом деле	3	7
7	мы знаем что	2	7
8	для того чтобы	20	7
9	на то что	5	7
10	друг от друга	5	6
11	по сравнению с	9	5
12	в самом деле	6	5
13	в своем развитии	7	4
14	с другой стороны	8	4
15	в конце концов	2	4
16	в этом случае	5	4
17	в этой области	3	4
18	о том что	7	4
19	не может быть	4	4
20	вместе с тем	4	3
21	так же как	9	3
22	в настоящее время	2	3
23	в данном случае	3	3
24	и того же	8	3
25	не в состоянии	6	3
26	одного и того	8	3
27	таким образом в	2	3
28	в связи с	6	3
29	заключается в том	12	3
30	не может не	3	3
31	и то что	6	3
32	но вместе с	3	2
33	ничего общего с	3	2
34	с одной стороны	10	2
35	между этими двумя	2	2
36	во всяком случае	2	2
37	но все же	2	2
38	в то время	4	2
39	а с другой	3	2
40	в высшей степени	3	2
41	том что он	3	2
42	том что развитие	2	2
43	друг к другу	3	2
44	именно потому что	3	2
45	принять во внимание	3	2
46	в вопросе о	3	2
47	только то что	2	2
48	несмотря на то	2	2
49	в свою очередь	4	2
50	друг на друга	2	2
51	ответить на вопрос	2	2
