N	2gram	Tiupa_Hudo	Russkaja
1	не может	9	22
2	и не	16	19
3	в том	20	17
4	в этом	12	17
5	и в	23	14
6	то что	5	13
7	самим собой	5	12
8	точки зрения	11	11
9	то же	12	11
10	таким образом	3	11
11	в то	8	10
12	но и	14	10
13	же время	7	10
14	не только	20	9
15	том что	9	9
16	может быть	19	9
17	в себе	13	9
18	с точки	3	9
19	того чтобы	5	8
20	прежде всего	5	8
21	к тому	4	7
22	о том	2	7
23	в данном	4	7
24	не будет	3	7
25	отнюдь не	2	7
26	ни к	2	7
27	самом деле	2	7
28	и для	3	6
29	и к	3	6
30	если бы	3	6
31	все это	2	6
32	для того	5	6
33	что он	5	6
34	в своем	4	6
35	для него	5	6
36	или иной	9	5
37	а в	13	5
38	из которых	2	5
39	между собой	2	5
40	и на	3	5
41	потому что	3	5
42	при этом	19	5
43	в нем	6	5
44	он должен	3	5
45	жизни в	2	5
46	в своей	7	5
47	себя и	3	5
48	только в	7	5
49	никогда не	2	5
50	он не	4	5
51	между тем	4	5
52	во всех	3	5
53	и то	4	4
54	что в	7	4
55	но не	13	4
56	его в	4	4
57	себя в	8	4
58	не в	9	4
59	как и	3	4
60	более или	6	4
61	в мире	24	4
62	как бы	11	4
63	приводит к	6	4
64	и т.д	4	4
65	в его	11	4
66	со стороны	5	4
67	в их	5	4
68	то ни	2	4
69	в этой	2	4
70	бы то	2	4
71	или менее	6	4
72	одной из	2	3
73	одна из	2	3
74	культуры в	3	3
75	именно в	2	3
76	из этих	3	3
77	и потому	2	3
78	при условии	2	3
79	в другом	4	3
80	в значительной	2	3
81	в самом	7	3
82	и как	4	3
83	несмотря на	2	3
84	что и	2	3
85	или в	2	3
86	сводится к	11	3
87	лишь в	7	3
88	из этого	2	3
89	говорить о	4	3
90	той или	5	3
91	и по	2	3
92	связи с	3	3
93	еще не	4	3
94	того что	5	3
95	в качестве	31	3
96	что может	2	3
97	при котором	2	3
98	то в	2	3
99	и о	4	2
100	но она	2	2
101	тем самым	5	2
102	или иного	4	2
103	ее в	2	2
104	для себя	4	2
105	тому что	2	2
106	к нему	3	2
107	но в	10	2
108	того или	4	2
109	ни в	5	2
110	что такое	2	2
111	так же	2	2
112	их в	3	2
113	на почве	4	2
114	сама по	2	2
115	состоит в	20	2
116	в единое	3	2
117	уже не	6	2
118	по отношению	10	2
119	с самим	2	2
120	отношении к	3	2
121	отличается от	2	2
122	в силу	4	2
123	а не	13	2
124	по себе	2	2
125	в порядке	2	2
126	говоря о	3	2
127	речь идет	2	2
128	место в	5	2
129	и тем	4	2
130	тогда как	15	2
131	и что	4	2
132	все эти	2	2
133	а с	2	2
134	не просто	2	2
135	в этих	4	2
136	в частности	18	2
137	в таком	3	2
138	отношения к	4	2
139	в области	8	2
140	с ним	2	2
141	быть и	2	2
142	у него	2	2
143	том и	2	2
144	и более	2	2
145	и состоит	3	2
