N	3gram	Savitsky_E	Vladivir
1	в том что	6	29
2	во всяком случае	3	12
3	в то же	15	10
4	с точки зрения	16	10
5	не может быть	2	10
6	то же время	14	9
7	в этом смысле	3	9
8	на то что	2	8
9	в данном случае	2	6
10	как мы видели	2	6
11	с другой стороны	2	6
12	и в этом	4	6
13	само по себе	4	6
14	бы то ни	4	5
15	и в то	8	5
16	не говоря уже	2	5
17	не только в	4	5
18	то что в	2	5
19	можно сказать что	3	4
20	в этом отношении	3	4
21	можно было бы	3	4
22	заключается в том	2	4
23	с одной стороны	8	4
24	для того чтобы	5	4
25	сказать что в	2	4
26	нам кажется что	2	3
27	только в том	2	3
28	между прочим и	2	3
29	во второй половине	2	3
30	и в частности	2	3
31	хотя бы и	3	3
32	в последние годы	3	3
33	в свою очередь	2	3
34	и притом в	2	3
35	и прежде всего	3	2
36	так и в	2	2
37	но в то	2	2
38	так же как	5	2
39	одной стороны и	6	2
40	то ни было	4	2
