N	2gram	Medvedev_V	RusskieA
1	и в	26	79
2	в том	15	64
3	том что	8	59
4	что в	11	57
5	т е	18	54
6	не только	26	41
7	во время	4	38
8	в этом	29	33
9	как бы	5	31
10	но и	10	31
11	п в	3	30
12	как и	7	28
13	может быть	23	28
14	а н	3	25
15	одна из	4	24
16	и т	25	23
17	о том	10	23
18	т д	16	21
19	это не	7	20
20	е в	2	20
21	а в	3	20
22	из них	11	19
23	все это	13	18
24	с тем	4	17
25	показывает что	2	17
26	то что	7	17
27	об этом	9	17
28	таким образом	32	17
29	вместе с	8	17
30	один из	6	15
31	будто бы	2	15
32	у нас	3	14
33	мы видели	3	14
34	не менее	2	14
35	в них	5	14
36	как это	12	14
37	и не	20	14
38	и по	3	13
39	к этому	9	13
40	не может	17	13
41	еще не	2	13
42	в которых	3	13
43	мы имеем	3	12
44	следующим образом	4	11
45	а затем	2	11
46	далеко не	3	11
47	его в	3	10
48	так и	6	10
49	по существу	4	10
50	так например	2	10
51	между тем	6	10
52	все же	6	10
53	что и	3	10
54	в течение	2	10
55	том чтобы	2	10
56	или в	3	10
57	о чем	2	9
58	том же	6	9
59	но в	2	9
60	что они	3	9
61	того как	2	9
62	то же	10	9
63	но не	2	9
64	так же	3	8
65	после этого	2	8
66	того что	3	8
67	того чтобы	3	8
68	их в	7	8
69	же в	7	8
70	связи с	5	8
71	как например	2	8
72	во всех	7	8
73	подобно тому	3	8
74	ее в	4	8
75	для того	3	8
76	тому как	3	8
77	в своем	8	7
78	начиная с	2	7
79	не в	6	7
80	главным образом	7	7
81	по этому	10	7
82	было бы	8	7
83	из этих	7	7
84	и как	3	7
85	только в	8	7
86	а не	7	7
87	пишет в	4	7
88	сообщает о	2	6
89	в этой	4	6
90	и их	3	6
91	и у	2	6
92	на этом	2	6
93	в их	5	6
94	не всегда	2	6
95	тому что	7	6
96	она не	3	6
97	к тому	5	6
98	в нем	7	6
99	в году	7	6
100	этому поводу	7	6
101	же как	2	6
102	с ними	4	6
103	все эти	8	6
104	в качестве	12	6
105	в одном	5	6
106	что она	2	6
107	после того	2	6
108	видели что	3	6
109	приводит к	6	6
110	и потому	2	5
111	вплоть до	2	5
112	тогда когда	2	5
113	что он	4	5
114	нет никаких	2	5
115	прежде всего	13	5
116	и др	10	5
117	эта теория	2	5
118	к ним	2	5
119	с этим	3	5
120	в то	6	5
121	в целом	5	5
122	для них	2	5
123	в связи	4	5
124	не было	7	5
125	например в	3	5
126	в его	15	5
127	по поводу	4	5
128	можно было	2	5
129	в особенности	2	5
130	только для	2	5
131	в целях	2	5
132	не с	2	5
133	и для	2	5
134	с другой	11	5
135	и к	3	5
136	отнюдь не	4	5
137	показывают что	5	4
138	которые в	2	4
139	если в	2	4
140	и ее	4	4
141	некоторые из	3	4
142	он же	6	4
143	у них	2	4
144	и при	5	4
145	от них	2	4
146	они и	2	4
147	в основном	7	4
148	в образе	2	4
149	не столько	2	4
150	могут быть	8	4
151	во всей	2	4
152	во всяком	2	4
153	и от	3	4
154	а к	2	4
155	что у	3	4
156	что для	4	4
157	именно в	3	4
158	в котором	3	4
159	в своих	2	4
160	этот вопрос	3	4
161	в ней	2	4
162	всяком случае	2	4
163	на основе	5	4
164	никогда не	5	3
165	чтобы не	2	3
166	всех этих	3	3
167	очевидно что	7	3
168	том как	3	3
169	и через	2	3
170	в форме	3	3
171	это и	6	3
172	в виду	4	3
173	как он	3	3
174	или менее	6	3
175	мы знаем	3	3
176	из приведенных	3	3
177	что все	4	3
178	видно из	3	3
179	более или	6	3
180	точки зрения	3	3
181	в различных	2	3
182	дают возможность	3	3
183	в области	2	3
184	и некоторые	2	3
185	в ее	4	3
186	в своей	4	3
187	нет и	3	3
188	хотя и	2	3
189	также что	2	3
190	с другими	2	3
191	по отношению	7	3
192	в которой	2	3
193	на него	2	3
194	н ф	2	3
195	если бы	3	3
196	значительно увеличить	2	3
197	много и	2	3
198	между собою	2	3
199	отношению к	7	3
200	сих пор	2	3
201	с одной	2	3
202	на то	2	3
203	когда он	4	3
204	их и	4	3
205	из которых	2	3
206	сводится к	3	3
207	говорит о	7	3
208	и его	6	3
209	по его	2	3
210	же и	3	3
211	как на	3	3
212	из основных	2	3
213	до сих	2	3
214	к этим	2	2
215	только у	2	2
216	могло бы	2	2
217	в себе	6	2
218	перед нами	5	2
219	но даже	3	2
220	у некоторых	2	2
221	в силу	14	2
222	в конце	3	2
223	представлений и	2	2
224	и наконец	2	2
225	должен быть	4	2
226	одним из	5	2
227	а как	2	2
228	между ними	3	2
229	в частности	12	2
230	на основании	8	2
231	т п	9	2
232	утверждает что	3	2
233	его от	2	2
234	образом в	3	2
235	только с	2	2
236	они не	2	2
237	в другую	3	2
238	мы наблюдаем	2	2
239	он пишет	9	2
240	ни одна	2	2
241	и непосредственно	2	2
242	ту же	2	2
243	одной стороны	2	2
244	между прочим	2	2
245	с нею	2	2
246	вот почему	5	2
247	иметь в	2	2
248	этому вопросу	2	2
249	можно сказать	4	2
250	который в	2	2
251	для него	9	2
252	относится к	2	2
253	с его	4	2
254	сказать что	5	2
255	пока еще	2	2
256	который по	2	2
257	он не	2	2
258	же говорит	4	2
259	другой стороны	8	2
260	значит что	2	2
261	и он	3	2
262	в каждом	2	2
263	должно быть	2	2
264	из своих	2	2
265	этом и	2	2
266	и даже	2	2
267	несколько примеров	2	2
268	этом отношении	14	2
269	не является	5	2
270	как у	2	2
271	в пределах	5	2
272	как известно	2	2
273	в жизни	2	2
274	ни с	2	2
275	представления об	2	2
276	в чем	2	2
277	что такое	2	2
278	по себе	2	2
279	равно как	4	2
280	в противном	2	2
281	говорить о	2	2
282	у него	6	2
283	что при	2	2
284	моментов в	3	2
