N	2gram	Trubetskoy	EvropaiC
1	таким образом	22	34
2	в том	11	31
3	и в	26	24
4	том что	7	20
5	культурных ценностей	4	20
6	все эти	6	19
7	не может	4	18
8	то что	7	18
9	может быть	10	17
10	до сих	5	15
11	все же	6	15
12	сих пор	5	15
13	к культуре	2	14
14	точки зрения	13	14
15	в этом	15	13
16	все это	6	13
17	в своем	3	12
18	между тем	2	12
19	но и	9	11
20	отношению к	3	11
21	культуры и	3	11
22	не только	10	10
23	так и	6	10
24	во всех	2	10
25	все что	2	10
26	как бы	12	10
27	из себя	2	10
28	в результате	3	9
29	друг с	5	9
30	и не	8	9
31	не в	2	9
32	что в	9	9
33	и все	2	9
34	на то	2	9
35	с другом	5	9
36	того же	6	9
37	потому что	7	9
38	при этом	3	9
39	и что	4	9
40	так же	5	8
41	из этих	10	8
42	или менее	5	8
43	если бы	3	8
44	для того	5	8
45	европейской культуры	3	8
46	к тому	6	8
47	более или	5	8
48	в самом	4	8
49	того чтобы	5	8
50	с точки	6	8
51	ясно что	3	8
52	для этого	2	7
53	так как	9	7
54	в силу	5	7
55	по своей	2	7
56	что он	4	7
57	того что	3	7
58	о котором	2	7
59	не менее	3	7
60	о том	6	7
61	из этого	2	7
62	что и	6	7
63	в этой	4	7
64	по существу	2	7
65	вместе с	15	7
66	в мире	5	6
67	отличается от	2	6
68	только в	4	6
69	у них	3	6
70	еще не	2	6
71	и при	3	6
72	так что	3	6
73	в то	4	6
74	и для	5	6
75	с другой	8	6
76	в общем	8	6
77	и если	3	6
78	и на	2	6
79	мы можем	2	6
80	несмотря на	6	6
81	как на	8	6
82	тому же	5	6
83	и от	4	5
84	но все	7	5
85	по сравнению	2	5
86	в себе	6	5
87	к этому	3	5
88	оказывается что	3	5
89	в которой	3	5
90	большею частью	2	5
91	лишь в	5	5
92	на все	2	5
93	ничем не	4	5
94	из них	7	5
95	что это	3	5
96	из всех	3	5
97	так или	3	5
98	по своему	2	5
99	что все	4	5
100	далеко не	4	5
101	но в	7	5
102	именно в	2	5
103	или иначе	3	5
104	основано на	2	5
105	и с	10	5
106	и к	5	5
107	первое время	2	5
108	в его	5	5
109	сравнению с	2	5
110	в пользу	2	5
111	быть и	2	5
112	никогда не	5	4
113	не могут	2	4
114	мы должны	6	4
115	поэтому что	2	4
116	эта культура	2	4
117	хотя бы	3	4
118	то ни	2	4
119	тем не	3	4
120	в конце	6	4
121	отношение к	5	4
122	и у	8	4
123	целый ряд	4	4
124	и т.д	6	4
125	конце концов	3	4
126	то же	4	4
127	с течением	3	4
128	в области	9	4
129	а с	7	4
130	одним из	2	4
131	в виде	4	4
132	в течение	4	4
133	и проч	2	4
134	с тем	18	4
135	и сейчас	2	4
136	ни один	2	4
137	значительная часть	2	4
138	течением времени	3	4
139	из которых	4	4
140	что мы	2	4
141	связи с	9	4
142	в таком	3	4
143	он не	4	4
144	признать что	2	4
145	то ясно	2	4
146	представление о	6	3
147	и потому	6	3
148	в начале	2	3
149	ни было	2	3
150	только что	2	3
151	с этой	3	3
152	в этих	4	3
153	конечно не	2	3
154	в связи	3	3
155	и наконец	2	3
156	но по	3	3
157	прежде всего	2	3
158	с одной	7	3
159	в разных	2	3
160	образом в	5	3
161	одно из	2	3
162	но не	8	3
163	очень много	2	3
164	и это	2	3
165	а в	4	3
166	бы то	2	3
167	не вполне	3	3
168	в нем	4	3
169	что оно	4	3
170	тогда когда	2	3
171	можно назвать	2	3
172	различия между	2	3
173	и по	4	3
174	ничего общего	2	3
175	же как	3	3
176	тот же	2	3
177	культура в	3	2
178	очень мало	4	2
179	творить в	2	2
180	в процессе	2	2
181	из этой	2	2
182	между этими	2	2
183	к ним	3	2
184	не потому	2	2
185	этими двумя	2	2
186	при таком	2	2
187	то есть	4	2
188	эти черты	2	2
189	но если	2	2
190	время после	2	2
191	в виду	2	2
192	не было	2	2
193	на друга	2	2
194	том виде	2	2
195	и из	2	2
196	в одно	2	2
197	в среде	2	2
198	в глазах	2	2
199	всех других	2	2
200	друг на	2	2
201	для него	3	2
202	мы видели	2	2
203	на нее	3	2
204	от них	2	2
205	смотреть на	2	2
206	в эту	2	2
207	не имеет	5	2
208	общего с	2	2
209	совершенно иной	2	2
210	к нему	7	2
211	в самой	2	2
212	в котором	4	2
213	тех пор	2	2
214	те же	2	2
215	этого последнего	2	2
216	к своим	4	2
217	в свою	2	2
218	к другу	2	2
219	в которых	4	2
220	одной стороны	7	2
221	и те	3	2
222	исторического развития	2	2
223	гораздо менее	2	2
224	в них	2	2
225	только не	2	2
226	ко всему	2	2
227	так чтобы	2	2
228	всяком случае	6	2
229	жизни и	2	2
230	но вместе	2	2
231	тем чтобы	5	2
232	во всяком	6	2
233	из него	2	2
234	то с	3	2
235	и особенно	2	2
236	же время	2	2
237	и только	4	2
238	заключает в	2	2
239	что эти	3	2
240	но с	3	2
