N	3gram	Bakhtin_Pr	DiskursI
1	в том что	3	28
2	в отличие от	5	26
3	по отношению к	19	17
4	с одной стороны	3	14
5	не может быть	11	12
6	в данном случае	4	12
7	той или иной	2	10
8	то же время	3	10
9	в то же	3	8
10	в этом отношении	2	8
11	так и в	2	6
12	в основе своей	3	6
13	с точки зрения	6	6
14	в конечном счете	4	6
15	то же самое	2	5
16	не только в	2	5
17	с другой стороны	4	5
18	и прежде всего	5	4
19	тем не менее	3	4
20	можно сказать что	2	4
21	и не может	2	4
22	сказать и о	2	4
23	и в частности	2	3
24	мы имеем дело	2	3
25	того или иного	2	3
26	то ни было	2	2
27	бы то ни	3	2
28	все то что	3	2
29	далеко не всегда	3	2
30	не совпадает с	2	2
31	в большинстве случаев	5	2
32	но и в	2	2
33	но отнюдь не	7	2
34	и в то	2	2
