N	2gram	Voloshinov	Komedia
1	и в	16	77
2	и не	4	47
3	в том	3	44
4	том что	3	42
5	о том	2	33
6	едва ли	3	32
7	но и	4	32
8	может быть	17	30
9	таким образом	9	29
10	и его	8	28
11	в этом	9	27
12	что он	2	26
13	не только	7	25
14	вместе с	3	25
15	так как	4	24
16	как и	2	23
17	ни в	5	23
18	что в	3	23
19	что и	2	22
20	в самом	2	22
21	так и	4	21
22	а в	3	21
23	то же	2	21
24	в его	4	20
25	во время	3	19
26	к этому	2	19
27	в этой	4	18
28	еще не	5	17
29	в нем	4	17
30	у него	2	16
31	не менее	2	16
32	при этом	6	16
33	сих пор	3	16
34	он не	2	16
35	до сих	3	16
36	его в	4	15
37	точки зрения	8	15
38	прежде всего	9	15
39	один из	2	15
40	было бы	2	15
41	и на	4	15
42	все это	4	14
43	на протяжении	2	14
44	и с	8	14
45	то что	3	13
46	самом деле	6	13
47	но в	4	13
48	того же	2	13
49	в них	2	13
50	мы можем	9	13
51	в одном	3	13
52	так же	2	12
53	как это	3	12
54	в начале	2	12
55	не может	8	12
56	в частности	2	11
57	как мы	4	11
58	и даже	4	11
59	и для	2	11
60	с ним	2	11
61	к себе	3	10
62	отношение к	5	10
63	и все	4	10
64	в чем	5	10
65	мы не	2	10
66	с его	7	10
67	с этим	2	10
68	как бы	5	10
69	и по	2	9
70	даже не	3	9
71	в своей	2	9
72	все что	4	9
73	говорить о	2	9
74	только в	4	9
75	и ее	4	8
76	и других	2	8
77	по своему	2	8
78	с самого	4	8
79	не знает	2	8
80	с этой	2	8
81	меньше всего	2	8
82	во всех	3	8
83	и к	6	7
84	мы знаем	3	7
85	самого начала	4	7
86	и о	2	7
87	и это	6	7
88	во всяком	3	7
89	тех же	3	7
90	из этих	2	7
91	хотя бы	4	7
92	и вот	3	7
93	ни было	2	7
94	в этих	3	7
95	отнюдь не	4	7
96	для нас	2	7
97	всяком случае	3	7
98	в области	3	6
99	могут быть	3	6
100	что не	2	6
101	нет и	2	6
102	и как	3	6
103	по всему	2	6
104	на этом	3	6
105	с точки	6	6
106	никогда не	2	5
107	для всех	4	5
108	и мы	2	5
109	в развитии	2	5
110	к ним	2	5
111	что на	2	5
112	между собой	2	5
113	все остальные	2	5
114	сказать что	7	5
115	для этого	2	5
116	что это	2	5
117	за пределы	2	5
118	да еще	2	5
119	жизни и	3	5
120	и теперь	3	5
121	а на	2	5
122	конечно не	6	5
123	с помощью	2	5
124	нуждается в	5	4
125	за счет	2	4
126	по сравнению	3	4
127	и этим	2	4
128	между ними	3	4
129	сравнению с	3	4
130	аналогии с	2	4
131	же как	2	4
132	не на	2	4
133	в основе	3	4
134	с их	3	4
135	и их	4	4
136	в пределах	2	4
137	их в	3	4
138	что мы	2	4
139	если мы	2	3
140	и потому	3	3
141	не могут	2	3
142	путь к	2	3
143	при всей	2	3
144	и притом	3	3
145	и таким	2	3
146	только на	3	3
147	на две	3	3
148	они не	2	3
149	в голову	2	3
150	почти не	2	3
151	на них	2	3
152	с ними	4	3
153	только как	3	3
154	нет никаких	2	3
155	конечном счете	2	3
156	только для	5	3
157	совершенно не	8	3
158	чем не	3	3
159	отношения к	3	3
160	связанные с	2	3
161	в большинстве	3	3
162	находится в	2	3
163	в один	4	3
164	и есть	3	3
165	в каком	2	2
166	те же	3	2
167	таким путем	2	2
168	связанных с	2	2
169	в конечном	3	2
170	в свое	2	2
171	в основном	3	2
172	современной ему	2	2
173	со всеми	2	2
174	в душе	2	2
175	здесь же	2	2
176	в общем	3	2
177	ту же	2	2
178	войти в	2	2
179	большинстве случаев	3	2
180	совсем не	2	2
181	мы видим	2	2
182	все эти	5	2
183	себя и	2	2
184	и может	4	2
185	к отцу	6	2
186	назад в	3	2
187	нашего времени	2	2
188	с другими	3	2
189	но это	2	2
190	и так	2	2
191	в этот	2	2
192	с ее	4	2
193	как не	2	2
194	я и	6	2
195	это делает	2	2
196	друг на	2	2
197	для него	6	2
198	в жизни	2	2
199	а может	2	2
200	ее в	2	2
201	не будет	2	2
202	этом смысле	3	2
203	и она	3	2
204	сводится к	2	2
205	мы уже	2	2
206	на первый	2	2
207	и только	9	2
