N	2gram	Potebnia_M	VelikijI
1	и не	34	20
2	и в	58	16
3	свободы и	3	12
4	так как	29	9
5	то что	24	9
6	еще не	9	8
7	в истории	8	8
8	и потому	7	7
9	что они	6	7
10	а не	38	7
11	не есть	13	6
12	человека и	2	6
13	в мире	3	5
14	как бы	12	5
15	но и	26	5
16	все это	3	5
17	хотя и	6	5
18	что есть	3	5
19	того что	15	5
20	что все	4	4
21	и все	6	4
22	как и	16	4
23	в котором	5	4
24	потому что	89	4
25	все что	5	4
26	в нем	26	4
27	в ней	9	4
28	что не	15	4
29	что мы	11	4
30	в его	7	4
31	в этом	18	4
32	что он	5	4
33	и есть	4	4
34	так и	17	4
35	никогда не	7	3
36	превращается в	2	3
37	в жизни	5	3
38	что в	34	3
39	в том	38	3
40	и для	8	3
41	от этого	2	3
42	не имеет	9	3
43	тому что	4	3
44	но в	12	3
45	к тому	5	3
46	ни в	2	3
47	их в	2	3
48	нет ничего	2	3
49	то это	8	3
50	но это	7	3
51	должно быть	9	3
52	оно не	4	3
53	хотя бы	4	3
54	в своей	3	3
55	во всех	12	3
56	от которого	2	3
57	за ним	2	3
58	по этому	2	3
59	в них	7	3
60	жизни и	3	3
61	как не	4	3
62	что и	16	3
63	не было	7	3
64	лишь в	2	3
65	если не	5	3
66	и что	13	3
67	не в	23	3
68	все эти	3	3
69	что во	4	3
70	в этих	10	3
71	что я	2	3
72	должна быть	4	3
73	и они	2	3
74	в чем	6	3
75	тот же	5	3
76	с его	3	3
77	когда в	3	2
78	и то	4	2
79	с тем	9	2
80	самого себя	4	2
81	одна из	4	2
82	не так	6	2
83	но не	19	2
84	не могли	2	2
85	по которым	2	2
86	и это	3	2
87	это не	10	2
88	не только	32	2
89	не могут	10	2
90	а в	11	2
91	том что	21	2
92	для человека	3	2
93	на том	2	2
94	его к	3	2
95	но мы	3	2
96	и во	6	2
97	жизни все	2	2
98	а между	5	2
99	от него	8	2
100	не создает	2	2
101	во всяком	9	2
102	и тогда	2	2
103	есть уже	4	2
104	вслед за	2	2
105	уже не	4	2
106	могут быть	17	2
107	которые не	5	2
108	в последнем	2	2
109	к нам	3	2
110	один из	2	2
111	т д	6	2
112	давно уже	2	2
113	для их	2	2
114	не будет	2	2
115	для них	2	2
116	не имел	2	2
117	того чтобы	4	2
118	духа и	8	2
119	тем что	15	2
120	силы человека	2	2
121	мы не	17	2
122	только в	36	2
123	до того	2	2
124	для нас	29	2
125	в себя	2	2
126	прежде всего	8	2
127	и т	10	2
128	с ним	7	2
129	его не	3	2
130	между тем	7	2
131	для него	13	2
132	не с	2	2
