N	2gram	Vinokur_Vv	FransuaR
1	и в	35	367
2	в этом	35	112
3	и не	13	101
4	таким образом	21	100
5	и его	6	99
6	в его	12	98
7	прежде всего	10	92
8	не только	26	87
9	мы уже	2	85
10	но и	7	84
11	как бы	7	82
12	все эти	3	79
13	вовсе не	6	77
14	как и	7	76
15	в нем	13	75
16	но в	10	75
17	и др	2	72
18	и на	3	72
19	в том	38	71
20	как мы	11	71
21	то же	11	66
22	так и	2	65
23	в этой	3	65
24	в них	5	65
25	в сущности	3	64
26	и с	2	64
27	в то	6	63
28	все это	6	62
29	во всех	2	62
30	же время	6	55
31	что в	13	52
32	в своем	3	51
33	только в	16	48
34	так как	15	46
35	и до	2	46
36	том что	30	45
37	то что	19	41
38	жизни и	2	40
39	в самом	13	38
40	точки зрения	12	37
41	в ней	3	37
42	может быть	30	35
43	о том	16	35
44	до нас	3	34
45	сказать что	6	34
46	и даже	6	34
47	в себе	4	34
48	рядом с	2	32
49	в конце	3	32
50	мы видели	3	32
51	в своей	4	31
52	до конца	3	31
53	так же	3	30
54	никогда не	3	30
55	и потому	2	30
56	той же	4	30
57	один из	6	30
58	потому что	18	30
59	в этих	3	29
60	не может	19	29
61	еще не	4	29
62	его в	6	29
63	не в	10	29
64	при этом	3	29
65	в одном	4	29
66	в особенности	4	29
67	связи с	3	29
68	что он	5	29
69	из них	4	28
70	в той	10	28
71	также и	20	28
72	и к	3	28
73	сих пор	7	27
74	по своему	5	27
75	и другие	2	27
76	до сих	7	27
77	все же	9	27
78	с помощью	2	25
79	в области	4	25
80	но это	2	25
81	отношение к	3	24
82	того чтобы	22	24
83	в ее	11	24
84	в частности	3	24
85	например в	2	24
86	но не	9	24
87	как в	3	24
88	он и	2	24
89	времени и	4	24
90	своего рода	3	23
91	и для	4	23
92	это не	8	23
93	в их	12	23
94	еще и	4	23
95	и здесь	3	23
96	есть и	5	23
97	к нему	3	23
98	а в	6	22
99	что и	5	22
100	и других	3	22
101	тем что	6	22
102	вместе с	6	22
103	не было	2	22
104	именно в	8	21
105	в своих	2	21
106	в качестве	8	21
107	что это	3	21
108	в отношении	3	21
109	одним из	5	21
110	и как	9	21
111	уже в	5	21
112	а также	3	20
113	как раз	4	20
114	одной из	4	20
115	этом отношении	4	20
116	в виду	5	20
117	в значительной	3	20
118	с точки	4	20
119	самом деле	7	20
120	и это	6	20
121	в связи	2	20
122	в форме	2	19
123	того же	3	19
124	в дальнейшем	2	19
125	во всем	2	19
126	хотя и	5	19
127	к этому	3	19
128	было бы	7	19
129	с другой	8	19
130	на протяжении	2	19
131	это в	2	18
132	на этом	3	18
133	здесь не	3	18
134	одна из	3	18
135	для того	23	17
136	но все	4	17
137	того что	12	17
138	можно было	8	17
139	в результате	4	17
140	связана с	4	17
141	и вот	3	17
142	большей или	3	17
143	а не	5	17
144	в большей	7	17
145	между тем	10	16
146	или меньшей	3	16
147	ничего не	2	16
148	в начале	3	16
149	между ними	3	16
150	в другом	3	16
151	дело в	5	16
152	с одной	4	16
153	одно из	5	15
154	в истории	9	15
155	и вообще	3	15
156	мысли и	2	15
157	как на	12	15
158	а затем	2	15
159	с их	5	15
160	не мог	2	15
161	из этих	9	15
162	мы не	2	14
163	по существу	2	14
164	в данном	11	14
165	в более	4	14
166	несмотря на	2	14
167	в чем	4	14
168	в котором	4	14
169	как он	6	13
170	отличие от	4	13
171	на этой	3	13
172	средних веков	2	13
173	на языке	2	13
174	здесь нет	4	13
175	с этим	3	13
176	бы в	2	13
177	и есть	3	13
178	и сам	3	13
179	в известной	3	13
180	его к	2	13
181	о чем	4	13
182	только на	3	13
183	одной стороны	4	13
184	одновременно и	3	13
185	этот процесс	4	13
186	у нас	2	12
187	литературы и	2	12
188	не могут	6	12
189	другом месте	2	12
190	и ее	4	12
191	известной мере	2	12
192	можно сказать	4	12
193	другой стороны	5	12
194	об этом	6	12
195	с полной	2	12
196	так например	6	11
197	это уже	2	11
198	все время	2	11
199	ни с	2	11
200	в свое	3	11
201	она была	2	11
202	в общем	14	11
203	того как	3	11
204	уже не	6	11
205	и что	6	11
206	в ряде	2	11
207	в течение	5	11
208	и т.д	5	11
209	культуры в	5	11
210	время в	2	11
211	той или	3	11
212	что они	2	11
213	в отличие	4	11
214	и так	2	11
215	данном случае	5	10
216	до наших	2	10
217	или иной	3	10
218	на котором	2	10
219	наших дней	2	10
220	на этот	6	10
221	и литературы	2	10
222	в таких	2	10
223	конце концов	2	10
224	к тому	4	10
225	во второй	3	10
226	выражение в	2	10
227	по отношению	4	10
228	второй половины	3	10
229	даже и	4	10
230	в целом	5	10
231	да и	4	10
232	не просто	5	10
233	свое время	3	9
234	еще раз	2	9
235	что не	5	9
236	значение и	2	9
237	был в	2	9
238	говорит о	3	9
239	именно на	2	9
240	но как	2	9
241	как это	5	9
242	в разных	7	9
243	в основу	2	9
244	и то	7	9
245	но дело	3	9
246	отношению к	4	9
247	и со	2	9
248	в тех	2	9
249	том же	2	9
250	в формах	2	9
251	не имеет	4	9
252	в которых	6	9
253	мы можем	2	9
254	о котором	8	9
255	чем же	3	9
256	с этой	5	8
257	следовательно и	2	8
258	так что	5	8
259	с тем	6	8
260	от этого	5	8
261	и без	2	8
262	языка и	15	8
263	для этого	3	8
264	если бы	3	8
265	после того	2	8
266	значение в	2	8
267	нуждается в	3	8
268	и при	2	8
269	этой традиции	2	8
270	понятно что	3	8
271	но с	5	8
272	не менее	9	8
273	и те	2	8
274	дело не	5	8
275	как о	4	8
276	в этот	2	8
277	а как	5	7
278	времени в	3	7
279	как нечто	8	7
280	них и	2	7
281	не как	3	7
282	себе и	2	7
283	искусства и	2	7
284	в свою	2	7
285	должен быть	4	7
286	литературы в	3	7
287	тому как	2	7
288	есть только	2	7
289	только с	4	7
290	на том	3	7
291	по этому	3	7
292	в виде	4	7
293	во всяком	5	7
294	себя в	2	7
295	здесь все	3	7
296	подобно тому	2	7
297	из которых	3	7
298	значительной мере	2	7
299	в наиболее	2	7
300	в различных	5	7
301	которые были	2	7
302	что здесь	2	6
303	такого рода	3	6
304	свою очередь	2	6
305	у них	2	6
306	человеческой культуры	3	6
307	смысле слова	7	6
308	видит в	4	6
309	момента в	2	6
310	в центре	4	6
311	вряд ли	3	6
312	входит в	3	6
313	жизни как	2	6
314	казалось бы	2	6
315	могут быть	6	6
316	для них	2	6
317	свое значение	2	6
318	что она	3	6
319	а именно	6	6
320	и обратно	4	6
321	преимущественно в	2	6
322	и был	2	6
323	до того	2	6
324	этого слова	2	6
325	уже и	10	6
326	не могли	2	6
327	можно только	2	6
328	хотя бы	6	6
329	в языке	2	6
330	от того	3	6
331	и всего	2	6
332	язык и	3	6
333	как она	4	6
334	как будто	3	6
335	не столько	2	6
336	языков и	2	6
337	говорить о	5	6
338	возрождения и	2	5
339	язык в	3	5
340	тогда когда	4	5
341	к своему	2	5
342	в г	5	5
343	нисколько не	3	5
344	в первом	5	5
345	должна быть	2	5
346	первом случае	2	5
347	тем более	2	5
348	из его	2	5
349	можно говорить	3	5
350	не вполне	4	5
351	что мы	2	5
352	из него	2	5
353	чем в	3	5
354	каждый из	2	5
355	есть не	5	5
356	сливается с	3	5
357	совсем не	3	5
358	как например	6	5
359	должно быть	2	5
360	должен был	4	5
361	одного и	2	5
362	сравнению с	4	5
363	бы и	3	5
364	этой книги	2	5
365	всяком случае	5	5
366	он сам	3	5
367	по его	2	5
368	же самое	3	5
369	в слове	3	5
370	и сама	2	5
371	со всей	3	5
372	во втором	2	5
373	в применении	7	5
374	заявляет что	2	5
375	отсюда и	2	5
376	по сравнению	4	5
377	в строгом	3	5
378	в собственном	3	5
379	применении к	6	5
380	но уже	2	5
381	и из	2	5
382	вообще не	3	5
383	в ряду	2	5
384	по их	2	5
385	стороны и	3	5
386	вообще в	2	5
387	же как	3	5
388	независимо от	5	5
389	мы имеем	4	5
390	не к	2	5
391	на то	2	5
392	в каждом	4	4
393	в известном	3	4
394	ее от	2	4
395	но если	6	4
396	так называемые	2	4
397	о них	2	4
398	о которой	2	4
399	одной и	2	4
400	говорит он	2	4
401	дело с	9	4
402	языка но	2	4
403	это есть	2	4
404	целого и	2	4
405	но ведь	4	4
406	заключается в	4	4
407	к языку	2	4
408	если же	2	4
409	и сейчас	2	4
410	находит себе	3	4
411	учение о	2	4
412	труда и	2	4
413	и именно	13	4
414	связь между	5	4
415	что уже	3	4
416	и далее	2	4
417	он мог	3	4
418	о которых	2	4
419	что даже	3	4
420	строгом смысле	3	4
421	быть и	2	4
422	одно и	2	4
423	в чисто	4	4
424	всего того	3	4
425	второй половине	2	4
426	в подлиннике	2	4
427	или же	3	4
428	этот вопрос	7	4
429	внимание на	5	4
430	имеет дело	5	4
431	на рубеже	2	4
432	них не	2	4
433	в очень	3	4
434	и тем	5	4
435	не исчерпывается	2	4
436	и той	3	4
437	на тему	2	4
438	по себе	11	4
439	традиции и	4	4
440	собственном смысле	3	4
441	в каком	3	3
442	при всей	2	3
443	само собой	2	3
444	науки и	5	3
445	в подлинном	2	3
446	это только	4	3
447	смысле этого	9	3
448	не бывает	2	3
449	на нее	3	3
450	не что	5	3
451	в германии	3	3
452	иной раз	2	3
453	что иное	5	3
454	ни к	2	3
455	мы говорим	3	3
456	которое в	2	3
457	ближе к	2	3
458	как об	9	3
459	и того	3	3
460	в каждой	2	3
461	этого рода	9	3
462	со стороны	16	3
463	этой работы	3	3
464	после этого	2	3
465	тому что	2	3
466	из которой	2	3
467	быть в	5	3
468	целом ряде	2	3
469	и совершенно	2	3
470	есть еще	3	3
471	работа над	2	3
472	с конца	2	3
473	же это	2	3
474	с ней	2	3
475	в разной	2	3
476	него в	2	3
477	те кто	2	3
478	лишь как	2	3
479	большей степени	2	3
480	не существует	2	3
481	в прошлом	2	3
482	всего к	2	3
483	о природе	7	3
484	из того	2	3
485	для нее	2	3
486	об особом	2	3
487	иное как	6	3
488	в силу	3	3
489	наряду с	3	3
490	в следующем	2	3
491	на соответствующие	2	3
492	а с	2	3
493	а потому	5	3
494	вот почему	3	3
495	первый из	2	3
496	какой бы	2	3
497	том чтобы	6	3
498	которого мы	2	3
499	или иных	3	3
500	исторической действительности	2	3
501	ясно что	11	3
502	будто бы	2	3
503	все более	4	3
504	этом смысле	11	3
505	таким путем	2	3
506	что именно	2	3
507	котором он	2	3
508	что с	3	3
509	тех или	3	3
510	и уже	3	3
511	истории и	4	3
512	к самой	2	3
513	то это	3	3
514	и тогда	3	3
515	действительности в	2	3
516	которые не	2	3
517	как целое	3	3
518	не есть	5	3
519	знания и	3	3
520	которой в	2	3
521	языке и	4	3
522	так чтобы	3	3
523	к какому	2	3
524	природы и	2	3
525	этих двух	2	3
526	находятся в	2	2
527	при помощи	3	2
528	мы должны	2	2
529	xviii в	6	2
530	ними и	2	2
531	философской мысли	2	2
532	должна была	2	2
533	материал для	3	2
534	а только	8	2
535	этому поводу	3	2
536	своей природе	3	2
537	это понимание	2	2
538	более широком	2	2
539	известном смысле	3	2
540	понять что	3	2
541	по мере	4	2
542	что нет	2	2
543	так называемой	3	2
544	чем больше	2	2
545	половины xix	3	2
546	времени все	2	2
547	что такое	12	2
548	соответствии с	2	2
549	к числу	2	2
550	уже после	3	2
551	уже знаем	2	2
552	единого и	2	2
553	с которыми	2	2
554	за собой	3	2
555	было сказано	3	2
556	так называемая	2	2
557	этого не	2	2
558	речь идет	2	2
559	именно как	3	2
560	половине xix	2	2
561	на вопрос	6	2
562	том или	2	2
563	эта традиция	2	2
564	с теми	2	2
565	хотя в	2	2
566	что каждая	2	2
567	что если	2	2
568	собой в	2	2
569	по времени	2	2
570	наук и	4	2
571	в какой	6	2
572	работы в	3	2
573	мог бы	2	2
574	и развития	2	2
575	художественной литературы	2	2
576	вообще и	3	2
577	взгляде на	3	2
578	и чем	2	2
579	две части	2	2
580	историю и	2	2
581	смотреть на	5	2
582	гораздо более	3	2
583	мы называем	2	2
584	или ином	2	2
585	в работе	3	2
586	широком смысле	8	2
587	оказалось что	2	2
588	любовь к	4	2
589	на такие	2	2
590	культуры не	3	2
591	языка а	2	2
592	время не	2	2
593	в обоих	2	2
594	языка на	2	2
595	это делает	2	2
596	при жизни	2	2
597	или как	3	2
598	свое выражение	3	2
599	ко времени	2	2
600	филологическое изучение	3	2
601	на почве	5	2
602	сам по	2	2
603	только после	2	2
604	направление в	3	2
605	и историческими	2	2
606	в конечном	3	2
607	но зато	2	2
608	языков в	3	2
609	что может	3	2
610	что оно	2	2
611	от языка	2	2
612	случае не	2	2
613	этом случае	6	2
614	определяет как	2	2
615	культуры это	2	2
616	такого же	2	2
617	но также	16	2
618	что к	2	2
619	только о	2	2
620	смысле в	2	2
621	как только	2	2
622	не с	3	2
623	с историей	3	2
624	из наиболее	4	2
625	целое и	2	2
626	смысле и	2	2
627	только как	7	2
628	языка в	5	2
629	культурной жизни	2	2
630	чем они	2	2
631	по содержанию	3	2
632	со словом	2	2
633	однако не	4	2
